"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Below poverty level!!Estimate","Hawaii!!Percent below poverty level!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Below poverty level!!Estimate","Hawaii County, Hawaii!!Percent below poverty level!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Below poverty level!!Estimate","Honolulu County, Hawaii!!Percent below poverty level!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Below poverty level!!Estimate","Kauai County, Hawaii!!Percent below poverty level!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Below poverty level!!Estimate","Maui County, Hawaii!!Percent below poverty level!!Estimate"
"        Black or African American alone","22,898","1,294","5.7%","N","N","N","20,405","869","4.3%","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","4,848","637","13.1%","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","516,141","36,513","7.1%","44,713","4,552","10.2%","403,960","27,005","6.7%","21,789","2,264","10.4%","45,679","2,692","5.9%"
"        Native Hawaiian and Other Pacific Islander alone","134,389","27,269","20.3%","26,607","7,196","27.0%","84,876","16,685","19.7%","7,441","527","7.1%","15,452","2,861","18.5%"
"        Some other race alone","24,127","3,556","14.7%","N","N","N","13,225","1,569","11.9%","N","N","N","N","N","N"
"        Two or more races","402,797","37,125","9.2%","61,908","9,600","15.5%","272,465","21,393","7.9%","20,166","765","3.8%","48,245","5,367","11.1%"
"        Hispanic or Latino origin (of any race)","141,268","17,287","12.2%","25,352","7,357","29.0%","90,278","7,886","8.7%","7,969","296","3.7%","17,662","1,748","9.9%"
"        White alone, not Hispanic or Latino","289,406","31,666","10.9%","62,738","9,406","15.0%","160,764","16,248","10.1%","20,616","1,729","8.4%","45,246","4,283","9.5%"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","",""
"        Population 25 years and over","1,023,763","93,886","9.2%","151,671","22,390","14.8%","700,725","56,028","8.0%","53,091","3,733","7.0%","118,201","11,735","9.9%"
"            Less than high school graduate","64,426","12,151","18.9%","9,178","2,981","32.5%","45,064","8,624","19.1%","2,815","0","0.0%","7,362","546","7.4%"
"            High school graduate (includes equivalency)","276,042","37,350","13.5%","46,513","8,498","18.3%","176,523","22,078","12.5%","16,764","1,788","10.7%","36,205","4,986","13.8%"
"            Some college, associate's degree","294,072","23,657","8.0%","47,211","5,891","12.5%","195,606","12,783","6.5%","18,836","1,456","7.7%","32,399","3,527","10.9%"
"            Bachelor's degree or higher","389,223","20,728","5.3%","48,769","5,020","10.3%","283,532","12,543","4.4%","14,676","489","3.3%","42,235","2,676","6.3%"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","705,502","35,829","5.1%","94,743","7,997","8.4%","483,543","21,770","4.5%","42,475","1,645","3.9%","84,696","4,417","5.2%"
"            Employed","681,704","29,354","4.3%","90,569","6,598","7.3%","468,298","18,228","3.9%","41,245","1,315","3.2%","81,547","3,213","3.9%"
"                Male","343,084","12,206","3.6%","43,211","2,750","6.4%","237,576","8,048","3.4%","19,492","166","0.9%","42,791","1,242","2.9%"
"                Female","338,620","17,148","5.1%","47,358","3,848","8.1%","230,722","10,180","4.4%","21,753","1,149","5.3%","38,756","1,971","5.1%"
"            Unemployed","23,798","6,475","27.2%","4,174","1,399","33.5%","15,245","3,542","23.2%","1,230","330","26.8%","3,149","1,204","38.2%"
"                Male","13,534","3,200","23.6%","2,777","744","26.8%","8,563","1,856","21.7%","801","0","0.0%","1,393","600","43.1%"
"                Female","10,264","3,275","31.9%","1,397","655","46.9%","6,682","1,686","25.2%","429","330","76.9%","1,756","604","34.4%"
"    WORK EXPERIENCE","","","","","","","","","","","","","","",""
"        Population 16 years and over","1,154,386","111,609","9.7%","170,166","26,640","15.7%","791,412","68,351","8.6%","60,083","4,035","6.7%","132,650","12,583","9.5%"
"            Worked full-time, year-round in the past 12 months","526,580","9,490","1.8%","62,258","2,572","4.1%","381,766","5,493","1.4%","25,271","726","2.9%","57,253","699","1.2%"
"            Worked part-time or part-year in the past 12 months","233,578","26,829","11.5%","37,768","6,539","17.3%","147,732","16,476","11.2%","17,597","771","4.4%","30,468","3,043","10.0%"
"            Did not work","394,228","75,290","19.1%","70,140","17,529","25.0%","261,914","46,382","17.7%","17,215","2,538","14.7%","44,929","8,841","19.7%"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","",""
"        50 percent of poverty level","85,760","(X)","(X)","20,394","(X)","(X)","50,926","(X)","(X)","2,660","(X)","(X)","11,780","(X)","(X)"
"        125 percent of poverty level","176,587","(X)","(X)","44,313","(X)","(X)","107,820","(X)","(X)","6,952","(X)","(X)","17,472","(X)","(X)"
"        150 percent of poverty level","216,581","(X)","(X)","51,784","(X)","(X)","132,595","(X)","(X)","8,278","(X)","(X)","23,894","(X)","(X)"
"        185 percent of poverty level","281,418","(X)","(X)","64,280","(X)","(X)","171,336","(X)","(X)","11,647","(X)","(X)","34,112","(X)","(X)"
"        200 percent of poverty level","319,667","(X)","(X)","69,633","(X)","(X)","194,543","(X)","(X)","14,400","(X)","(X)","41,048","(X)","(X)"
"        300 percent of poverty level","517,198","(X)","(X)","100,674","(X)","(X)","326,338","(X)","(X)","28,956","(X)","(X)","61,187","(X)","(X)"
"        400 percent of poverty level","716,890","(X)","(X)","135,038","(X)","(X)","459,219","(X)","(X)","39,926","(X)","(X)","82,657","(X)","(X)"
"        500 percent of poverty level","886,638","(X)","(X)","151,637","(X)","(X)","585,862","(X)","(X)","49,351","(X)","(X)","99,731","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","284,311","68,532","24.1%","49,480","16,776","33.9%","184,519","41,816","22.7%","15,056","2,043","13.6%","35,194","7,897","22.4%"
"    Male","145,028","30,877","21.3%","24,655","7,743","31.4%","96,083","19,376","20.2%","7,171","559","7.8%","17,112","3,199","18.7%"
"    Female","139,283","37,655","27.0%","24,825","9,033","36.4%","88,436","22,440","25.4%","7,885","1,484","18.8%","18,082","4,698","26.0%"
"    15 years","668","549","82.2%","71","71","100.0%","597","478","80.1%","0","0","-","0","0","-"
"    16 to 17 years","795","743","93.5%","43","43","100.0%","703","651","92.6%","36","36","100.0%","13","13","100.0%"
"    18 to 24 years","23,211","9,447","40.7%","4,451","2,732","61.4%","16,451","6,509","39.6%","931","71","7.6%","1,378","135","9.8%"
"    25 to 34 years","59,227","11,206","18.9%","8,136","2,431","29.9%","42,371","6,387","15.1%","1,779","169","9.5%","6,941","2,219","32.0%"
"    35 to 44 years","42,472","8,002","18.8%","7,106","2,037","28.7%","25,993","4,268","16.4%","3,670","414","11.3%","5,698","1,283","22.5%"
"    45 to 54 years","33,974","8,153","24.0%","5,247","1,784","34.0%","23,796","5,009","21.0%","920","318","34.6%","3,997","1,042","26.1%"
"    55 to 64 years","38,503","9,429","24.5%","7,478","2,625","35.1%","22,860","5,282","23.1%","2,343","413","17.6%","5,814","1,109","19.1%"
"    65 to 74 years","46,415","11,583","25.0%","10,377","2,952","28.4%","26,291","6,832","26.0%","3,717","307","8.3%","5,995","1,492","24.9%"
"    75 years and over","39,046","9,420","24.1%","6,571","2,101","32.0%","25,457","6,400","25.1%","1,660","315","19.0%","5,358","604","11.3%"
"    Mean income deficit for unrelated individuals (dollars)","10,148","(X)","(X)","9,765","(X)","(X)","10,066","(X)","(X)","8,419","(X)","(X)","11,843","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","129,109","3,046","2.4%","16,817","309","1.8%","90,060","2,206","2.4%","7,546","308","4.1%","14,667","223","1.5%"
"    Worked less than full-time, year-round in the past 12 months","57,900","18,328","31.7%","12,309","5,520","44.8%","34,003","10,199","30.0%","3,562","548","15.4%","8,013","2,061","25.7%"
"    Did not work","97,302","47,158","48.5%","20,354","10,947","53.8%","60,456","29,411","48.6%","3,948","1,187","30.1%","12,514","5,613","44.9%"
"    Population in housing units for whom poverty status is determined","1,399,676","132,503","9.5%","206,401","33,998","16.5%","959,433","78,152","8.1%","72,935","5,237","7.2%","160,862","15,116","9.4%"
