"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Below poverty level!!Estimate","Hawaii!!Percent below poverty level!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Below poverty level!!Estimate","Hawaii County, Hawaii!!Percent below poverty level!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Below poverty level!!Estimate","Honolulu County, Hawaii!!Percent below poverty level!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Below poverty level!!Estimate","Kauai County, Hawaii!!Percent below poverty level!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Below poverty level!!Estimate","Maui County, Hawaii!!Percent below poverty level!!Estimate"
"        Asian alone","529,424","40,453","7.6%","44,933","4,079","9.1%","412,569","30,727","7.4%","21,952","1,684","7.7%","49,970","3,963","7.9%"
"        Native Hawaiian and Other Pacific Islander alone","139,112","22,948","16.5%","24,355","4,071","16.7%","92,298","15,875","17.2%","6,380","1,114","17.5%","16,079","1,888","11.7%"
"        Some other race alone","24,775","2,577","10.4%","N","N","N","16,205","1,680","10.4%","N","N","N","N","N","N"
"        Two or more races","372,499","49,390","13.3%","62,213","10,628","17.1%","248,176","28,132","11.3%","21,788","2,420","11.1%","40,312","8,210","20.4%"
"        Hispanic or Latino origin (of any race)","153,998","20,797","13.5%","27,758","4,191","15.1%","98,052","11,933","12.2%","8,479","562","6.6%","19,694","4,096","20.8%"
"        White alone, not Hispanic or Latino","286,683","33,537","11.7%","58,476","8,380","14.3%","159,654","17,331","10.9%","20,891","3,069","14.7%","47,652","4,747","10.0%"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","",""
"        Population 25 years and over","1,007,084","103,143","10.2%","146,061","19,693","13.5%","690,947","64,977","9.4%","52,078","5,481","10.5%","117,963","12,967","11.0%"
"            Less than high school graduate","69,396","13,554","19.5%","10,341","1,930","18.7%","48,328","9,994","20.7%","3,873","455","11.7%","6,854","1,175","17.1%"
"            High school graduate (includes equivalency)","263,271","39,018","14.8%","41,609","6,136","14.7%","172,139","25,443","14.8%","13,413","1,901","14.2%","36,110","5,538","15.3%"
"            Some college, associate's degree","315,122","29,453","9.3%","48,881","7,034","14.4%","211,020","16,954","8.0%","15,815","1,316","8.3%","39,391","4,134","10.5%"
"            Bachelor's degree or higher","359,295","21,118","5.9%","45,230","4,593","10.2%","259,460","12,586","4.9%","18,977","1,809","9.5%","35,608","2,120","6.0%"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","684,510","45,788","6.7%","93,331","9,404","10.1%","469,384","27,211","5.8%","37,526","2,553","6.8%","84,269","6,620","7.9%"
"            Employed","631,962","31,961","5.1%","83,872","6,407","7.6%","435,621","18,303","4.2%","33,832","2,063","6.1%","78,637","5,188","6.6%"
"                Male","320,189","14,954","4.7%","41,840","2,821","6.7%","222,496","8,261","3.7%","16,981","609","3.6%","38,872","3,263","8.4%"
"                Female","311,773","17,007","5.5%","42,032","3,586","8.5%","213,125","10,042","4.7%","16,851","1,454","8.6%","39,765","1,925","4.8%"
"            Unemployed","52,548","13,827","26.3%","9,459","2,997","31.7%","33,763","8,908","26.4%","3,694","490","13.3%","5,632","1,432","25.4%"
"                Male","26,530","7,065","26.6%","4,018","1,176","29.3%","17,822","5,040","28.3%","2,268","169","7.5%","2,422","680","28.1%"
"                Female","26,018","6,762","26.0%","5,441","1,821","33.5%","15,941","3,868","24.3%","1,426","321","22.5%","3,210","752","23.4%"
"    WORK EXPERIENCE","","","","","","","","","","","","","","",""
"        Population 16 years and over","1,134,067","120,124","10.6%","161,767","22,464","13.9%","782,705","76,212","9.7%","58,624","6,555","11.2%","130,936","14,868","11.4%"
"            Worked full-time, year-round in the past 12 months","457,132","10,298","2.3%","53,687","1,615","3.0%","336,148","7,363","2.2%","19,365","575","3.0%","47,932","745","1.6%"
"            Worked part-time or part-year in the past 12 months","266,630","31,865","12.0%","39,631","6,514","16.4%","170,978","17,698","10.4%","19,050","2,530","13.3%","36,971","5,123","13.9%"
"            Did not work","410,305","77,961","19.0%","68,449","14,335","20.9%","275,579","51,151","18.6%","20,209","3,450","17.1%","46,033","9,000","19.6%"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","",""
"        50 percent of poverty level","77,776","(X)","(X)","15,824","(X)","(X)","49,114","(X)","(X)","3,799","(X)","(X)","9,029","(X)","(X)"
"        125 percent of poverty level","194,832","(X)","(X)","35,651","(X)","(X)","126,056","(X)","(X)","10,282","(X)","(X)","22,818","(X)","(X)"
"        150 percent of poverty level","234,611","(X)","(X)","42,156","(X)","(X)","150,449","(X)","(X)","13,035","(X)","(X)","28,946","(X)","(X)"
"        185 percent of poverty level","300,719","(X)","(X)","52,226","(X)","(X)","191,487","(X)","(X)","18,432","(X)","(X)","38,539","(X)","(X)"
"        200 percent of poverty level","327,929","(X)","(X)","57,776","(X)","(X)","207,933","(X)","(X)","21,215","(X)","(X)","40,970","(X)","(X)"
"        300 percent of poverty level","520,618","(X)","(X)","88,569","(X)","(X)","337,457","(X)","(X)","28,799","(X)","(X)","65,758","(X)","(X)"
"        400 percent of poverty level","735,393","(X)","(X)","123,079","(X)","(X)","477,879","(X)","(X)","41,284","(X)","(X)","93,116","(X)","(X)"
"        500 percent of poverty level","904,265","(X)","(X)","146,656","(X)","(X)","595,832","(X)","(X)","52,590","(X)","(X)","109,152","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","259,127","68,060","26.3%","38,399","11,374","29.6%","173,012","44,678","25.8%","14,635","4,075","27.8%","33,046","7,908","23.9%"
"    Male","131,029","33,778","25.8%","18,045","6,126","33.9%","90,046","22,048","24.5%","6,836","1,339","19.6%","16,087","4,250","26.4%"
"    Female","128,098","34,282","26.8%","20,354","5,248","25.8%","82,966","22,630","27.3%","7,799","2,736","35.1%","16,959","3,658","21.6%"
"    15 years","822","822","100.0%","77","77","100.0%","671","671","100.0%","40","40","100.0%","34","34","100.0%"
"    16 to 17 years","775","775","100.0%","175","175","100.0%","443","443","100.0%","0","0","-","157","157","100.0%"
"    18 to 24 years","18,972","8,281","43.6%","2,532","1,247","49.2%","14,234","5,777","40.6%","850","474","55.8%","1,356","783","57.7%"
"    25 to 34 years","52,919","12,573","23.8%","6,851","2,197","32.1%","37,396","8,187","21.9%","3,018","958","31.7%","5,639","1,216","21.6%"
"    35 to 44 years","39,504","10,168","25.7%","4,657","1,673","35.9%","26,135","6,179","23.6%","3,431","855","24.9%","5,281","1,461","27.7%"
"    45 to 54 years","30,880","6,804","22.0%","4,846","590","12.2%","19,814","4,964","25.1%","1,392","278","20.0%","4,828","972","20.1%"
"    55 to 64 years","40,378","13,313","33.0%","6,226","3,349","53.8%","25,350","7,184","28.3%","2,285","636","27.8%","6,517","2,144","32.9%"
"    65 to 74 years","41,527","8,908","21.5%","8,238","1,658","20.1%","25,741","5,994","23.3%","2,353","481","20.4%","5,195","775","14.9%"
"    75 years and over","33,350","6,416","19.2%","4,797","408","8.5%","23,228","5,279","22.7%","1,266","353","27.9%","4,039","366","9.1%"
"    Mean income deficit for unrelated individuals (dollars)","8,808","(X)","(X)","8,085","(X)","(X)","8,890","(X)","(X)","8,832","(X)","(X)","9,377","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","98,956","4,951","5.0%","12,623","584","4.6%","71,126","3,629","5.1%","4,621","354","7.7%","10,586","384","3.6%"
"    Worked less than full-time, year-round in the past 12 months","65,448","19,107","29.2%","9,658","4,241","43.9%","40,064","10,770","26.9%","4,989","1,375","27.6%","10,737","2,721","25.3%"
"    Did not work","94,723","44,002","46.5%","16,118","6,549","40.6%","61,822","30,279","49.0%","5,025","2,346","46.7%","11,723","4,803","41.0%"
"    Population in housing units for whom poverty status is determined","1,393,122","149,814","10.8%","199,265","29,018","14.6%","960,342","93,886","9.8%","72,164","8,342","11.6%","161,331","18,558","11.5%"
