TABLE 1:  Summary of Visitor Statistics: 2017 vs. 2016,,,,
,,,,
Visitor arrivals by cruise ships,46.4 ,39.6 ,17.1   ,
,,,,
TOTAL VISITOR DAYS,"84,065,784 ","80,225,407 ",4.8   ,
Total by air,"83,506,498 ","79,669,135 ",4.8   ,
     O'ahu,"38,376,361 ","36,968,064 ",3.8   ,
     Maui,"22,084,752 ","21,447,140 ",3.0   ,
     Moloka'i,"278,372 ","285,221 ",-2.4   ,
     Lāna'i,"218,775 ","221,145 ",-1.1   ,
     Kaua'i,"9,622,709 ","9,092,351 ",5.8   ,
     Hawai'i Island,"12,925,530 ","11,655,215 ",10.9   ,
Visitor arrivals by cruise ships,"559,285 ","556,271 ",0.5   ,
,,,,
VISITOR ARRIVALS,"9,404,346 ","8,934,277 ",5.3   ,
Total by air,"9,277,613 ","8,821,802 ",5.2   ,
     O'ahu,"5,690,752 ","5,447,229 ",4.5   ,
     Maui,"2,744,994 ","2,634,237 ",4.2   ,
     Moloka'i,"58,450 ","58,932 ",-0.8   ,
     Lāna'i,"64,357 ","63,024 ",2.1   ,
     Kaua'i,"1,279,968 ","1,187,269 ",7.8   ,
     Hawai'i Island,"1,761,489 ","1,549,943 ",13.6   ,
Visitor arrivals by cruise ships,"126,733 ","112,475 ",12.7   ,
,,,,
AVERAGE LENGTH OF STAY,8.94 ,8.98 ,-0.5   ,
Total by air,9.00 ,9.03 ,-0.3   ,
     O'ahu,6.74 ,6.79 ,-0.6   ,
     Maui,8.05 ,8.14 ,-1.2   ,
     Moloka'i,4.76 ,4.84 ,-1.6   ,
     Lāna'i,3.40 ,3.51 ,-3.1   ,
     Kaua'i,7.52 ,7.66 ,-1.8   ,
     Hawai'i Island,7.34 ,7.52 ,-2.4   ,
Visitor arrivals by cruise ships,4.41 ,4.95 ,-10.8   ,
,,,,
PER PERSON PER DAY SPENDING ($),198.5 ,196.9 ,0.8   ,
Total by air,199.2 ,197.7 ,0.8   ,
     O'ahu,198.3 ,198.6 ,-0.1   ,
     Maui,211.9 ,210.9 ,0.5   ,
     Moloka'i,124.2 ,115.2 ,7.8   ,
     Lāna'i,483.8 ,414.6 ,16.7   ,
     Kaua'i,188.4 ,183.8 ,2.5   ,
     Hawai'i Island,185.2 ,179.6 ,3.1   ,
Visitor arrivals by cruise ships,83.0 ,71.2 ,16.5   ,
,,,,
PER PERSON PER TRIP SPENDING ($),"1,774.1 ","1,767.7 ",0.4   ,
Total by air,"1,793.3 ","1,785.7 ",0.4   ,
     O'ahu,"1,337.5 ","1,347.5 ",-0.7   ,
     Maui,"1,704.6 ","1,717.2 ",-0.7   ,
     Moloka'i,591.6 ,557.8 ,6.1   ,
     Lāna'i,"1,644.5 ","1,454.8 ",13.0   ,
     Kaua'i,"1,416.3 ","1,407.7 ",0.6   ,
     Hawai'i Island,"1,359.0 ","1,350.9 ",0.6   ,
Visitor arrivals by cruise ships,366.1 ,352.4 ,3.9   ,
,,,,
Note: Sums may not add up to total due to rounding.,,,,
Source: Hawai‘i Tourism Authority,,,,
