"TABLE 1:  Summary of Visitor Statistics
2011 vs. 2010R
",,,,,,,,,,,,,,,
VISITOR ARRIVALS BY SHIP,,,,,,,,,,,,,,,
     O'ahu," 124,073 "," 98,523 ",25.9   ,,,,,,,,,,,,
     Maui," 115,241 "," 94,210 ",22.3   ,,,,,,,,,,,,
     Moloka'i," 2,307 "," 2,005 ",15.1   ,,,,,,,,,,,,
     Lāna'i," 3,834 "," 3,268 ",17.3   ,,,,,,,,,,,,
     Kaua'i," 104,129 "," 77,909 ",33.7   ,,,,,,,,,,,,
     Hawai'i Island," 115,278 "," 88,062 ",30.9   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Note: Sums may not add up to total due to rounding.,,,,,,,,,,,,,,,
"R = 2010 total and domestic visitor days, length of stay, arrivals, total expenditures ",,,,,,,,,,,,,,,
and per person per trip spending statistics were revised.  ,,,,,,,,,,,,,,,
Source: Hawai‘i Tourism Authority,,,,,,,,,,,,,,,
