TABLE 1:  Summary of Visitor Statistics: 2010 vs. 2009,,,,,,,,,,,,,,,
     Canada, 145.0 , 143.0 ,1.4   ,,,,,,,,,,,,
     Europe, 159.0 , 144.3 ,10.2   ,,,,,,,,,,,,
     Oceania, 206.9 , 202.9 ,2.0   ,,,,,,,,,,,,
     Other Asia, 226.0 , 208.0 ,8.6   ,,,,,,,,,,,,
     Latin America, 212.4 , 184.9 ,14.9   ,,,,,,,,,,,,
     Other, 167.8 , 165.5 ,1.4   ,,,,,,,,,,,,
Visitor arrivals by cruise ships, 43.5 , 43.3 ,0.5   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PER PERSON PER TRIP SPENDING ($)," 1,576.3 "," 1,533.4 ",2.8   ,,,,,,,,,,,,
Visitor arrivals by air," 1,596.0 "," 1,552.5 ",2.8   ,,,,,,,,,,,,
     U.S. West," 1,337.8 "," 1,275.6 ",4.9   ,,,,,,,,,,,,
     U.S. East," 1,786.2 "," 1,725.7 ",3.5   ,,,,,,,,,,,,
     Japan," 1,532.9 "," 1,563.5 ",-2.0   ,,,,,,,,,,,,
     Canada," 1,840.4 "," 1,814.3 ",1.4   ,,,,,,,,,,,,
     Europe," 2,026.3 "," 1,888.7 ",7.3   ,,,,,,,,,,,,
     Oceania," 2,035.4 "," 1,873.7 ",8.6   ,,,,,,,,,,,,
     Other Asia," 1,654.0 "," 1,618.7 ",2.2   ,,,,,,,,,,,,
     Latin America," 2,527.5 "," 2,186.4 ",15.6   ,,,,,,,,,,,,
     Other," 1,978.7 "," 1,973.0 ",0.3   ,,,,,,,,,,,,
Visitor arrivals by cruise ships, 220.9 , 260.9 ,-15.3   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TOTAL EXPENDITURES ($mil.),,,,,,,,,,,,,,,
     O'ahu," 5,683.4 "," 5,105.9 ",11.3   ,,,,,,,,,,,,
     Maui," 2,953.3 "," 2,531.5 ",16.7   ,,,,,,,,,,,,
     Moloka'i, 24.4 , 25.1 ,-2.8   ,,,,,,,,,,,,
     Lāna'i, 72.4 , 63.3 ,14.4   ,,,,,,,,,,,,
     Kaua'i," 1,086.9 "," 1,017.1 ",6.9   ,,,,,,,,,,,,
     Hawai'i Island," 1,345.7 "," 1,250.2 ",7.6   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PER PERSON PER DAY SPENDING ($),,,,,,,,,,,,,,,
     O'ahu, 177.1 , 173.1 ,2.3   ,,,,,,,,,,,,
     Maui, 173.3 , 165.1 ,4.9   ,,,,,,,,,,,,
     Moloka'i, 99.5 , 106.4 ,-6.4   ,,,,,,,,,,,,
     Lāna'i, 290.0 , 284.7 ,1.9   ,,,,,,,,,,,,
     Kaua'i, 148.8 , 146.9 ,1.3   ,,,,,,,,,,,,
     Hawai'i Island, 145.1 , 144.8 ,0.2   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VISITOR ARRIVALS (AIR + SHIP),,,,,,,,,,,,,,,
     O'ahu," 4,427,372 "," 4,119,517 ",7.5   ,,,,,,,,,,,,
     Maui," 2,186,279 "," 1,976,852 ",10.6   ,,,,,,,,,,,,
     Moloka'i," 52,258 "," 52,908 ",-1.2   ,,,,,,,,,,,,
     Lāna'i," 72,152 "," 67,085 ",7.6   ,,,,,,,,,,,,
     Kaua'i," 1,042,633 "," 998,918 ",4.4   ,,,,,,,,,,,,
     Hawai'i Island," 1,378,921 "," 1,299,711 ",6.1   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VISITOR ARRIVALS BY AIR,,,,,,,,,,,,,,,
     O'ahu," 4,328,849 "," 4,024,888 ",7.6   ,,,,,,,,,,,,
     Maui," 2,092,069 "," 1,892,396 ",10.6   ,,,,,,,,,,,,
     Moloka'i," 50,253 "," 48,339 ",4.0   ,,,,,,,,,,,,
     Lāna'i," 68,884 "," 61,054 ",12.8   ,,,,,,,,,,,,
     Kaua'i," 964,724 "," 928,112 ",3.9   ,,,,,,,,,,,,
     Hawai'i Island," 1,290,859 "," 1,215,256 ",6.2   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VISITOR ARRIVALS BY SHIP,,,,,,,,,,,,,,,
     O'ahu," 98,523 "," 94,629 ",4.1   ,,,,,,,,,,,,
     Maui," 94,210 "," 84,456 ",11.5   ,,,,,,,,,,,,
     Moloka'i," 2,005 "," 4,569 ",-56.1   ,,,,,,,,,,,,
     Lāna'i," 3,268 "," 6,031 ",-45.8   ,,,,,,,,,,,,
     Kaua'i," 77,909 "," 70,806 ",10.0   ,,,,,,,,,,,,
     Hawai'i Island," 88,062 "," 84,455 ",4.3   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Note: Sums may not add up to total due to rounding.,,,,,,,,,,,,,,,
Source: Hawaii Tourism Authority,,,,,,,,,,,,,,,
