TABLE 1:  Summary of Visitor Statistics: 2016 vs. 2015,,,,
,,,,
Europe,"143,922 ","145,019 ",-0.8   ,
Oceania,"390,364 ","399,619 ",-2.3   ,
Other Asia,"448,414 ","393,833 ",13.9   ,
Latin America,"26,075 ","27,978 ",-6.8   ,
Other,"298,817 ","290,621 ",2.8   ,
Visitor arrivals by cruise ships,"112,475 ","116,546 ",-3.5   ,
,,,,
AVERAGE LENGTH OF STAY (days),8.98 ,9.06 ,-0.9   ,
Visitor arrivals of stay by air,9.03 ,9.12 ,-1.0   ,
U.S. West,9.16 ,9.28 ,-1.4   ,
U.S. East,10.19 ,10.30 ,-1.1   ,
Japan,5.86 ,5.86 ,0.0   ,
Canada,12.63 ,12.73 ,-0.8   ,
Europe,12.93 ,13.08 ,-1.2   ,
Oceania,9.57 ,9.53 ,0.4   ,
Other Asia,7.03 ,6.75 ,4.2   ,
Latin America,11.61 ,11.53 ,0.6   ,
Other,10.49 ,10.50 ,-0.1   ,
Visitor arrivals of stay by cruise ships,4.95 ,4.58 ,7.9   ,
,,,,
PER PERSON PER DAY SPENDING ($),196.9 ,190.5 ,3.3   ,
Visitor arrivals by air,197.7 ,191.3 ,3.4   ,
U.S. West,167.9 ,162.0 ,3.6   ,
U.S. East,201.7 ,197.8 ,2.0   ,
Japan,240.3 ,236.3 ,1.7   ,
Canada,161.1 ,161.5 ,-0.2   ,
Europe,189.9 ,177.7 ,6.9   ,
Oceania,286.5 ,262.8 ,9.0   ,
Other Asia,340.7 ,340.3 ,0.1   ,
Latin America,186.7 ,247.4 ,-24.5   ,
Other,199.5 ,183.6 ,8.7   ,
Visitor arrivals by cruise ships,71.2 ,71.8 ,-0.8   ,
,,,,
PER PERSON PER TRIP SPENDING ($),"1,767.7 ","1,725.5 ",2.4   ,
Visitor arrivals by air,"1,785.7 ","1,744.5 ",2.4   ,
U.S. West,"1,537.6 ","1,504.0 ",2.2   ,
U.S. East,"2,054.9 ","2,037.3 ",0.9   ,
Japan,"1,408.6 ","1,384.8 ",1.7   ,
Canada,"2,034.7 ","2,055.8 ",-1.0   ,
Europe,"2,455.6 ","2,325.0 ",5.6   ,
Oceania,"2,742.0 ","2,505.5 ",9.4   ,
Other Asia,"2,394.2 ","2,295.2 ",4.3   ,
Latin America,"2,167.1 ","2,853.1 ",-24.0   ,
Other,"2,092.1 ","1,927.4 ",8.5   ,
Visitor arrivals by cruise ships,352.4 ,329.2 ,7.0   ,
,,,,
,,,,
ISLAND (Air & Ship),2016,2015,(%) Change,
,,,,
"TOTAL EXPENDITURES ($mil, AIR + SHIP)","15,793.1 ","14,976.9 ",5.4   ,
Total by air,"15,753.5 ","14,938.5 ",5.5   ,
     O'ahu,"7,340.3 ","7,366.5 ",-0.4   ,
     Maui,"4,523.4 ","4,108.9 ",10.1   ,
     Moloka'i,32.9 ,33.7 ,-2.6   ,
     Lāna'i,91.7 ,42.9 ,113.7   ,
     Kaua'i,"1,671.4 ","1,548.0 ",8.0   ,
     Hawai'i Island,"2,093.8 ","1,838.5 ",13.9   ,
Visitor arrivals by cruise ships,39.6 ,38.4 ,3.3   ,
,,,,
TOTAL VISITOR DAYS,"80,225,407 ","78,620,086 ",2.0   ,
Total by air,"79,669,135 ","78,086,081 ",2.0   ,
     O'ahu,"36,968,064 ","36,420,503 ",1.5   ,
     Maui,"21,447,140 ","20,798,172 ",3.1   ,
     Moloka'i,"285,221 ","285,991 ",-0.3   ,
     Lāna'i,"221,145 ","162,933 ",35.7   ,
     Kaua'i,"9,092,351 ","8,954,641 ",1.5   ,
     Hawai'i Island,"11,655,215 ","11,463,840 ",1.7   ,
Visitor arrivals by cruise ships,"556,271 ","534,005 ",4.2   ,
,,,,
VISITOR ARRIVALS,"8,934,277 ","8,679,564 ",2.9   ,
Total by air,"8,821,802 ","8,563,018 ",3.0   ,
     O'ahu,"5,447,229 ","5,339,912 ",2.0   ,
     Maui,"2,634,237 ","2,540,162 ",3.7   ,
     Moloka'i,"58,932 ","64,767 ",-9.0   ,
     Lāna'i,"63,024 ","58,390 ",7.9   ,
     Kaua'i,"1,187,269 ","1,173,752 ",1.2   ,
     Hawai'i Island,"1,549,943 ","1,514,973 ",2.3   ,
Visitor arrivals by cruise ships,"112,475 ","116,546 ",-3.5   ,
,,,,
AVERAGE LENGTH OF STAY,8.98 ,9.06 ,-0.9   ,
Total by air,9.03 ,9.12 ,-1.0   ,
     O'ahu,6.79 ,6.82 ,-0.5   ,
     Maui,8.14 ,8.19 ,-0.6   ,
     Moloka'i,4.84 ,4.42 ,9.6   ,
     Lāna'i,3.51 ,2.79 ,25.7   ,
     Kaua'i,7.66 ,7.63 ,0.4   ,
     Hawai'i Island,7.52 ,7.57 ,-0.6   ,
Visitor arrivals by cruise ships,4.95 ,4.58 ,7.9   ,
,,,,
PER PERSON PER DAY SPENDING ($),196.9 ,190.5 ,3.3   ,
Total by air,197.7 ,191.3 ,3.4   ,
     O'ahu,198.6 ,202.3 ,-1.8   ,
     Maui,210.9 ,197.6 ,6.8   ,
     Moloka'i,115.2 ,118.0 ,-2.3   ,
     Lāna'i,414.6 ,263.3 ,57.4   ,
     Kaua'i,183.8 ,172.9 ,6.3   ,
     Hawai'i Island,179.6 ,160.4 ,12.0   ,
Visitor arrivals by cruise ships,71.2 ,71.8 ,-0.8   ,
,,,,
PER PERSON PER TRIP SPENDING ($),"1,767.7 ","1,725.5 ",2.4   ,
Total by air,"1,785.7 ","1,744.5 ",2.4   ,
     O'ahu,"1,347.5 ","1,379.5 ",-2.3   ,
     Maui,"1,717.2 ","1,617.6 ",6.2   ,
     Moloka'i,557.8 ,521.0 ,7.1   ,
     Lāna'i,"1,454.8 ",734.8 ,98.0   ,
     Kaua'i,"1,407.7 ","1,318.9 ",6.7   ,
     Hawai'i Island,"1,350.9 ","1,213.5 ",11.3   ,
Visitor arrivals by cruise ships,352.4 ,329.2 ,7.0   ,
,,,,
Note: Sums may not add up to total due to rounding.,,,,
Source: Hawai‘i Tourism Authority,,,,
