TABLE 1:  Summary of Visitor Statistics: 2015 vs. 2014R,,,,,,,,
,,,,,,,,
TOTAL EXPENDITURES ($mil.),2015,2014R,(%) Change,,,,,
Europe,"145,019 ","142,366 ",1.9   ,,,,,
Oceania,"399,619 ","371,367 ",7.6   ,,,,,
Other Asia,"393,833 ","368,110 ",7.0   ,,,,,
Latin America,"27,978 ","29,800 ",-6.1   ,,,,,
Other,"290,621 ","281,639 ",3.2   ,,,,,
Visitor arrivals by cruise ships,"116,546 ","124,443 ",-6.3   ,,,,,
,,,,,,,,
AVERAGE LENGTH OF STAY (days), 9.06 , 9.13 ,-0.7   ,,,,,
Visitor arrivals of stay by air, 9.12 , 9.18 ,-0.7   ,,,,,
U.S. West, 9.28 , 9.45 ,-1.8   ,,,,,
U.S. East, 10.30 , 10.42 ,-1.1   ,,,,,
Japan, 5.86 , 5.80 ,1.0   ,,,,,
Canada, 12.73 , 12.92 ,-1.5   ,,,,,
Europe, 13.08 , 13.13 ,-0.3   ,,,,,
Oceania, 9.53 , 9.31 ,2.4   ,,,,,
Other Asia, 6.75 , 6.83 ,-1.3   ,,,,,
Latin America, 11.53 , 11.64 ,-0.9   ,,,,,
Other, 10.50 , 10.43 ,0.7   ,,,,,
Visitor arrivals of stay by cruise ships, 4.58 , 5.33 ,-14.0   ,,,,,
,,,,,,,,
PER PERSON PER DAY SPENDING ($), 190.5 , 195.6 ,-2.6   ,,,,,
Visitor arrivals by air, 191.3 , 196.7 ,-2.8   ,,,,,
U.S. West, 162.0 , 160.2 ,1.1   ,,,,,
U.S. East, 197.8 , 204.9 ,-3.5   ,,,,,
Japan, 236.3 , 273.4 ,-13.6   ,,,,,
Canada, 161.5 , 158.9 ,1.6   ,,,,,
Europe, 177.7 , 181.5 ,-2.1   ,,,,,
Oceania, 262.8 , 258.6 ,1.6   ,,,,,
Other Asia, 340.3 , 320.6 ,6.1   ,,,,,
Latin America, 247.4 , 269.4 ,-8.2   ,,,,,
Other, 183.6 , 210.9 ,-13.0   ,,,,,
Visitor arrivals by cruise ships, 71.8 , 64.1 ,12.0   ,,,,,
,,,,,,,,
PER PERSON PER TRIP SPENDING ($)," 1,725.5 "," 1,784.8 ",-3.3   ,,,,,
Visitor arrivals by air," 1,744.5 "," 1,806.7 ",-3.4   ,,,,,
U.S. West," 1,504.0 "," 1,514.5 ",-0.7   ,,,,,
U.S. East," 2,037.3 "," 2,133.6 ",-4.5   ,,,,,
Japan," 1,384.8 "," 1,585.4 ",-12.7   ,,,,,
Canada," 2,055.8 "," 2,053.4 ",0.1   ,,,,,
Europe," 2,325.0 "," 2,381.9 ",-2.4   ,,,,,
Oceania," 2,505.5 "," 2,408.2 ",4.0   ,,,,,
Other Asia," 2,295.2 "," 2,191.4 ",4.7   ,,,,,
Latin America," 2,853.1 "," 3,136.1 ",-9.0   ,,,,,
Other," 1,927.4 "," 2,199.6 ",-12.4   ,,,,,
Visitor arrivals by cruise ships, 329.2 , 341.7 ,-3.7   ,,,,,
,,,,,,,,
,,,,,,,,
ISLAND (Air & Ship),2015,2014R,(%) Change,,,,,
,,,,,,,,
"TOTAL EXPENDITURES ($mil, AIR + SHIP)"," 14,976.9 "," 14,851.1 ",0.8   ,,,,,
Total by air," 14,938.5 "," 14,808.6 ",0.9   ,,,,,
     O'ahu," 7,366.5 "," 7,373.6 ",-0.1   ,,,,,
     Maui," 4,108.9 "," 4,010.5 ",2.5   ,,,,,
     Moloka'i, 33.7 , 33.9 ,-0.5   ,,,,,
     Lāna'i, 42.9 , 72.2 ,-40.6   ,,,,,
     Kaua'i," 1,548.0 "," 1,422.2 ",8.8   ,,,,,
     Hawai'i Island," 1,838.5 "," 1,896.2 ",-3.0   ,,,,,
Visitor arrivals by cruise ships, 38.4 , 42.5 ,-9.8   ,,,,,
,,,,,,,,
TOTAL VISITOR DAYS,"78,620,086 ","75,932,335 ",3.5   ,,,,,
Total by air,"78,086,081 ","75,269,197 ",3.7   ,,,,,
     O'ahu,"36,420,503 ","35,200,568 ",3.5   ,,,,,
     Maui,"20,798,172 ","19,932,485 ",4.3   ,,,,,
     Moloka'i,"285,991 ","277,293 ",3.1   ,,,,,
     Lāna'i,"162,933 ","225,820 ",-27.8   ,,,,,
     Kaua'i,"8,954,641 ","8,620,328 ",3.9   ,,,,,
     Hawai'i Island,"11,463,840 ","11,012,703 ",4.1   ,,,,,
Visitor arrivals by cruise ships,"534,005 ","663,138 ",-19.5   ,,,,,
,,,,,,,,
VISITOR ARRIVALS,"8,679,564 ","8,320,785 ",4.3   ,,,,,
Total by air,"8,563,018 ","8,196,342 ",4.5   ,,,,,
     O'ahu,"5,339,912 ","5,192,621 ",2.8   ,,,,,
     Maui,"2,540,162 ","2,417,417 ",5.1   ,,,,,
     Moloka'i,"64,767 ","60,100 ",7.8   ,,,,,
     Lāna'i,"58,390 ","68,150 ",-14.3   ,,,,,
     Kaua'i,"1,173,752 ","1,119,973 ",4.8   ,,,,,
     Hawai'i Island,"1,514,973 ","1,454,684 ",4.1   ,,,,,
Visitor arrivals by cruise ships,"116,546 ","124,443 ",-6.3   ,,,,,
,,,,,,,,
AVERAGE LENGTH OF STAY, 9.06 , 9.13 ,-0.7   ,,,,,
Total by air, 9.12 , 9.18 ,-0.7   ,,,,,
     O'ahu, 6.82 , 6.78 ,0.6   ,,,,,
     Maui, 8.19 , 8.25 ,-0.7   ,,,,,
     Moloka'i, 4.42 , 4.61 ,-4.3   ,,,,,
     Lāna'i, 2.79 , 3.31 ,-15.8   ,,,,,
     Kaua'i, 7.63 , 7.70 ,-0.9   ,,,,,
     Hawai'i Island, 7.57 , 7.57 ,0.0   ,,,,,
Visitor arrivals by cruise ships, 4.58 , 5.33 ,-14.0   ,,,,,
,,,,,,,,
PER PERSON PER DAY SPENDING ($), 190.5 , 195.6 ,-2.6   ,,,,,
Total by air, 191.3 , 196.7 ,-2.8   ,,,,,
     O'ahu, 202.3 , 209.5 ,-3.4   ,,,,,
     Maui, 197.6 , 201.2 ,-1.8   ,,,,,
     Moloka'i, 118.0 , 122.3 ,-3.5   ,,,,,
     Lāna'i, 263.3 , 319.8 ,-17.7   ,,,,,
     Kaua'i, 172.9 , 165.0 ,4.8   ,,,,,
     Hawai'i Island, 160.4 , 172.2 ,-6.9   ,,,,,
Visitor arrivals by cruise ships, 71.8 , 64.1 ,12.0   ,,,,,
,,,,,,,,
PER PERSON PER TRIP SPENDING ($)," 1,725.5 "," 1,784.8 ",-3.3   ,,,,,
Total by air," 1,744.5 "," 1,806.7 ",-3.4   ,,,,,
     O'ahu," 1,379.5 "," 1,420.0 ",-2.9   ,,,,,
     Maui," 1,617.6 "," 1,659.0 ",-2.5   ,,,,,
     Moloka'i, 521.0 , 564.4 ,-7.7   ,,,,,
     Lāna'i, 734.8 ," 1,059.6 ",-30.7   ,,,,,
     Kaua'i," 1,318.9 "," 1,269.8 ",3.9   ,,,,,
     Hawai'i Island," 1,213.5 "," 1,303.5 ",-6.9   ,,,,,
Visitor arrivals by cruise ships, 329.2 , 341.7 ,-3.7   ,,,,,
,,,,,,,,
Note: Sums may not add up to total due to rounding.,,,,,,,,
Source: Hawai‘i Tourism Authority,,,,,,,,
