TABLE 1:  Summary of Visitor Statistics: 2012 vs. 2011,,,,,,
,,,,,,
     U.S. West,"3,178,824 ","2,994,731 ",6.1   ,,,
     U.S. East,"1,699,625 ","1,642,279 ",3.5   ,,,
     Japan,"1,465,654 ","1,241,805 ",18.0   ,,,
     Canada,"499,144 ","477,564 ",4.5   ,,,
     Europe,"129,252 ","119,825 ",7.9   ,,,
     Oceania,"273,039 ","209,976 ",30.0   ,,,
     Other Asia,"289,977 ","211,028 ",37.4   ,,,
     Latin America ,"25,519 ","22,116 ",15.4   ,,,
     Other,"306,110 ","255,073 ",20.0   ,,,
Visitor arrivals by cruise ships,"161,600 ","124,650 ",29.6   ,,,
,,,,,,
AVERAGE LENGTH OF STAY (days), 9.28 , 9.38 ,-1.1   ,,,
Visitor arrivals by air, 9.36 , 9.45 ,-1.0   ,,,
     U.S. West, 9.59 , 9.61 ,-0.2   ,,,
     U.S. East, 10.50 , 10.46 ,0.4   ,,,
     Japan, 6.02 , 6.03 ,-0.2   ,,,
     Canada, 13.02 , 12.65 ,2.9   ,,,
     Europe, 12.91 , 12.73 ,1.4   ,,,
     Oceania, 9.55 , 9.96 ,-4.2   ,,,
     Other Asia, 6.73 , 6.84 ,-1.6   ,,,
     Latin America, 12.11 , 11.54 ,5.0   ,,,
     Other, 11.39 , 11.90 ,-4.4   ,,,
Visitor arrivals by cruise ships, 5.29 , 5.14 ,3.0   ,,,
PER PERSON PER DAY SPENDING ($), 191.2 , 176.0 ,8.7   ,,,
Visitor arrivals by air, 192.7 , 177.3 ,8.7   ,,,
     U.S. West, 152.3 , 144.0 ,5.7   ,,,
     U.S. East, 192.4 , 180.9 ,6.3   ,,,
     Japan, 310.1 , 289.1 ,7.3   ,,,
     Canada, 157.4 , 150.0 ,4.9   ,,,
     Europe, 175.0 , 160.0 ,9.4   ,,,
     Oceania, 245.5 , 228.1 ,7.6   ,,,
     Other Asia, 306.7 , 258.9 ,18.5   ,,,
     Latin America, 200.2 , 211.4 ,-5.3   ,,,
     Other, 220.3 , 182.9 ,20.4   ,,,
Visitor arrivals by cruise ships, 67.3 , 35.7 ,88.5   ,,,
,,,,,,
PER PERSON PER TRIP SPENDING ($)," 1,774.9 "," 1,650.7 ",7.5   ,,,
Visitor arrivals by air," 1,804.0 "," 1,676.2 ",7.6   ,,,
     U.S. West," 1,459.7 "," 1,383.4 ",5.5   ,,,
     U.S. East," 2,020.6 "," 1,892.6 ",6.8   ,,,
     Japan," 1,866.0 "," 1,742.6 ",7.1   ,,,
     Canada," 2,049.0 "," 1,897.0 ",8.0   ,,,
     Europe," 2,259.7 "," 2,036.7 ",11.0   ,,,
     Oceania," 2,343.4 "," 2,273.4 ",3.1   ,,,
     Other Asia," 2,065.5 "," 1,771.2 ",16.6   ,,,
     Latin America," 2,424.7 "," 2,439.8 ",-0.6   ,,,
     Other," 2,508.6 "," 2,177.6 ",15.2   ,,,
Visitor arrivals by cruise ships, 356.0 , 183.4 ,94.1   ,,,
TABLE 1:  Summary of Visitor Statistics: 2012 vs. 2011 continued,,,,,,
,,,,,,
ISLAND (Air & Ship),2012,2011,(%) Change,,,
,,,,,,
"TOTAL EXPENDITURES ($mil, AIR + SHIP)"," 14,250.2 "," 12,048.3 ",18.3   ,,,
Total by air," 14,192.7 "," 12,025.4 ",18.0   ,,,
     O'ahu," 7,672.5 "," 6,240.3 ",23.0   ,,,
     Maui," 3,461.2 "," 3,043.8 ",13.7   ,,,
     Moloka'i, 28.3 , 28.0 ,1.3   ,,,
     Lāna'i, 79.6 , 80.2 ,-0.7   ,,,
     Kaua'i," 1,290.3 "," 1,174.0 ",9.9   ,,,
     Hawai'i Island," 1,660.8 "," 1,459.2 ",13.8   ,,,
Visitor arrivals by cruise ships, 57.5 , 22.9 ,151.7   ,,,
TOTAL VISITOR DAYS," 74,519,278 "," 68,466,519 ",8.8   ,,,
Total by air,"73,663,903 ","67,825,871 ",8.6   ,,,
     O'ahu,"35,864,092 ","32,477,385 ",10.4   ,,,
     Maui,"18,657,257 ","17,540,085 ",6.4   ,,,
     Moloka'i,"258,772 ","256,889 ",0.7   ,,,
     Lāna'i,"262,733 ","263,737 ",-0.4   ,,,
     Kaua'i,"8,168,533 ","7,597,107 ",7.5   ,,,
     Hawai'i Island,"10,452,516 ","9,690,668 ",7.9   ,,,
Visitor arrivals by cruise ships,"855,375 ","640,648 ",33.5   ,,,
VISITOR ARRIVALS," 8,028,743 "," 7,299,047 ",10.0   ,,,
Total by air,"7,867,143 ","7,174,397 ",9.7   ,,,
     O'ahu,"4,904,045 ","4,401,624 ",11.4   ,,,
     Maui,"2,309,194 ","2,168,487 ",6.5   ,,,
     Moloka'i,"53,323 ","55,250 ",-3.5   ,,,
     Lāna'i,"72,649 ","75,004 ",-3.1   ,,,
     Kaua'i,"1,084,681 ","1,011,500 ",7.2   ,,,
     Hawai'i Island,"1,433,282 ","1,318,310 ",8.7   ,,,
Visitor arrivals by cruise ships,"161,600 ","124,650 ",29.6   ,,,
AVERAGE LENGTH OF STAY, 9.28 , 9.38 ,-1.1   ,,,
Total by air, 9.36 , 9.45 ,-1.0   ,,,
     O'ahu, 7.31 , 7.38 ,-0.9   ,,,
     Maui, 8.08 , 8.09 ,-0.1   ,,,
     Moloka'i, 4.85 , 4.65 ,4.4   ,,,
     Lāna'i, 3.62 , 3.52 ,2.8   ,,,
     Kaua'i, 7.53 , 7.51 ,0.3   ,,,
     Hawai'i Island, 7.29 , 7.35 ,-0.8   ,,,
Visitor arrivals by cruise ships, 5.29 , 5.14 ,3.0   ,,,
PER PERSON PER DAY SPENDING ($), 191.2 , 176.0 ,8.7   ,,,
Total by air, 192.7 , 177.3 ,8.7   ,,,
     O'ahu, 213.9 , 192.1 ,11.3   ,,,
     Maui, 185.5 , 173.5 ,6.9   ,,,
     Moloka'i, 109.5 , 108.9 ,0.5   ,,,
     Lāna'i, 303.1 , 304.0 ,-0.3   ,,,
     Kaua'i, 158.0 , 154.5 ,2.2   ,,,
     Hawai'i Island, 158.9 , 150.6 ,5.5   ,,,
Visitor arrivals by cruise ships, 67.3 , 35.7 ,88.5   ,,,
PER PERSON PER TRIP SPENDING ($)," 1,774.9 "," 1,650.7 ",7.5   ,,,
Total by air," 1,804.0 "," 1,676.2 ",7.6   ,,,
     O'ahu," 1,564.5 "," 1,417.7 ",10.4   ,,,
     Maui," 1,498.9 "," 1,403.6 ",6.8   ,,,
     Moloka'i, 531.6 , 506.5 ,4.9   ,,,
     Lāna'i," 1,096.1 "," 1,069.0 ",2.5   ,,,
     Kaua'i," 1,189.6 "," 1,160.7 ",2.5   ,,,
     Hawai'i Island," 1,158.7 "," 1,106.8 ",4.7   ,,,
Visitor arrivals by cruise ships, 356.0 , 183.4 ,94.1   ,,,
TABLE 1:  Summary of Visitor Statistics: 2012 vs. 2011 continued,,,,,,
,,,,,,
TOTAL EXPENDITURES ($mil.)," 14,364.8 "," 12,158.2 ",18.1   ,,,
Visitor arrivals by air," 14,192.7 "," 12,025.4 ",18.0   ,,,
Visitor arrivals by cruise ships, 57.5 , 22.9 ,151.7   ,,,
Supplemental business (all MMAs), 114.6 , 109.9 ,4.3   ,,,
,,,,,,
"TOTAL EXPENDITURES ($mil, AIR, SHIP & SUPPL.)"," 14,364.8 "," 12,158.2 ",18.1   ,,,
     O'ahu," 7,745.7 "," 6,299.0 ",23.0   ,,,
     Maui," 3,506.6 "," 3,078.2 ",13.9   ,,,
     Moloka'i, 28.7 , 28.4 ,1.1   ,,,
     Lāna'i, 80.6 , 81.4 ,-1.0   ,,,
     Kaua'i," 1,310.0 "," 1,187.0 ",10.4   ,,,
     Hawai'i Island," 1,693.3 "," 1,484.2 ",14.1   ,,,
,,,,,,
"PER PERSON PER DAY SPENDING ($, AIR, SHIP & SUPPL.)",,,,,,
     O'ahu, 214.2 , 192.8 ,11.1   ,,,
     Maui, 185.9 , 174.0 ,6.8   ,,,
     Moloka'i, 110.8 , 110.5 ,0.3   ,,,
     Lāna'i, 306.3 , 308.5 ,-0.7   ,,,
     Kaua'i, 157.6 , 153.9 ,2.4   ,,,
     Hawai'i Island, 158.7 , 150.4 ,5.5   ,,,
,,,,,,
VISITOR ARRIVALS (AIR + SHIP),,,,,,
     O'ahu,"5,065,645 ","4,525,697 ",11.9   ,,,
     Maui,"2,451,674 ","2,283,728 ",7.4   ,,,
     Moloka'i,"57,223 ","57,557 ",-0.6   ,,,
     Lāna'i,"78,598 ","78,838 ",-0.3   ,,,
     Kaua'i,"1,211,482 ","1,115,629 ",8.6   ,,,
     Hawai'i Island,"1,581,690 ","1,433,588 ",10.3   ,,,
,,,,,,
VISITOR ARRIVALS BY AIR,,,,,,
     O'ahu,"4,904,045 ","4,401,624 ",11.4   ,,,
     Maui,"2,309,194 ","2,168,487 ",6.5   ,,,
     Moloka'i,"53,323 ","55,250 ",-3.5   ,,,
     Lāna'i,"72,649 ","75,004 ",-3.1   ,,,
     Kaua'i,"1,084,681 ","1,011,500 ",7.2   ,,,
     Hawai'i Island,"1,433,282 ","1,318,310 ",8.7   ,,,
,,,,,,
VISITOR ARRIVALS BY SHIP,,,,,,
     O'ahu,"161,600 ","124,073 ",30.2   ,,,
     Maui,"142,480 ","115,241 ",23.6   ,,,
     Moloka'i,"3,901 ","2,307 ",69.1   ,,,
     Lāna'i,"5,949 ","3,834 ",55.2   ,,,
     Kaua'i,"126,801 ","104,129 ",21.8   ,,,
     Hawai'i Island,"148,408 ","115,278 ",28.7   ,,,
,,,,,,
Note: Sums may not add up to total due to rounding.,,,,,,
Source: Hawai‘i Tourism Authority,,,,,,
