TABLE 1:  Summary of Visitor Statistics: 2013 vs. 2012,,,
,,,
PER PERSON PER TRIP SPENDING ($)," 1,764.2 "," 1,774.9 ",-0.6   
Visitor arrivals by air," 1,793.3 "," 1,804.0 ",-0.6   
     U.S. West," 1,496.6 "," 1,459.7 ",2.5   
     U.S. East," 2,082.8 "," 2,020.6 ",3.1   
     Japan," 1,637.1 "," 1,866.0 ",-12.3   
     Canada," 2,094.7 "," 2,049.0 ",2.2   
     Europe," 2,351.1 "," 2,259.7 ",4.0   
     Oceania," 2,466.8 "," 2,343.4 ",5.3   
     Other Asia," 2,121.3 "," 2,065.5 ",2.7   
     Latin America," 2,451.5 "," 2,424.7 ",1.1   
     Other," 2,279.0 "," 2,508.6 ",-9.2   
Visitor arrivals by cruise ships, 402.5 , 356.0 ,13.1   
,,,
ISLAND (Air & Ship),2013,2012,% Change
,,,
"TOTAL EXPENDITURES ($mil, AIR + SHIP)"," 14,421.3 "," 14,250.2 ",1.2   
Total by air," 14,352.4 "," 14,192.7 ",1.1   
     O'ahu," 7,358.7 "," 7,672.5 ",-4.1   
     Maui," 3,668.3 "," 3,461.2 ",6.0   
     Moloka'i, 30.1 , 28.3 ,6.2   
     Lāna'i, 79.6 , 79.6 ,-0.1   
     Kaua'i," 1,390.6 "," 1,290.3 ",7.8   
     Hawai'i Island," 1,825.2 "," 1,660.8 ",9.9   
Visitor arrivals by cruise ships, 68.8 , 57.5 ,19.7   
,,,
,,,
Note: Sums may not add up to total due to rounding.,,,
Source: Hawai‘i Tourism Authority,,,
,,,
MMA (Air & Ship),2013,2012,% Change
,,,
TOTAL VISITOR DAYS,"74,942,169 ","74,519,278 ",0.6   
Total by air,"74,049,772 ","73,663,903 ",0.5   
     O'ahu,"35,059,623 ","35,864,092 ",-2.2   
     Maui,"19,271,412 ","18,657,257 ",3.3   
     Moloka'i,"264,463 ","258,772 ",2.2   
     Lāna'i,"259,165 ","262,733 ",-1.4   
     Kaua'i,"8,516,938 ","8,168,533 ",4.3   
     Hawai'i Island,"10,678,171 ","10,452,516 ",2.2   
Visitor arrivals by cruise ships,"892,397 ","855,375 ",4.3   
,,,
VISITOR ARRIVALS,"8,174,461 ","8,028,743 ",1.8   
Total by air,"8,003,474 ","7,867,143 ",1.7   
     O'ahu,"5,044,276 ","4,904,045 ",2.9   
     Maui,"2,358,784 ","2,309,194 ",2.1   
     Moloka'i,"55,157 ","53,323 ",3.4   
     Lāna'i,"74,310 ","72,649 ",2.3   
     Kaua'i,"1,114,354 ","1,084,681 ",2.7   
     Hawai'i Island,"1,435,245 ","1,433,282 ",0.1   
Visitor arrivals by cruise ships,"170,987 ","161,600 ",5.8   
,,,
AVERAGE LENGTH OF STAY, 9.17 , 9.28 ,-1.2   
Total by air, 9.25 , 9.36 ,-1.2   
     O'ahu, 6.95 , 7.31 ,-5.0   
     Maui, 8.17 , 8.08 ,1.1   
     Moloka'i, 4.79 , 4.85 ,-1.2   
     Lāna'i, 3.49 , 3.62 ,-3.6   
     Kaua'i, 7.64 , 7.53 ,1.5   
     Hawai'i Island, 7.44 , 7.29 ,2.0   
Visitor arrivals by cruise ships, 5.22 , 5.29 ,-1.4   
,,,
PER PERSON PER DAY SPENDING ($), 192.4 , 191.2 ,0.6   
Total by air, 193.8 , 192.7 ,0.6   
     O'ahu, 209.9 , 213.9 ,-1.9   
     Maui, 190.3 , 185.5 ,2.6   
     Moloka'i, 113.8 , 109.5 ,3.9   
     Lāna'i, 307.0 , 303.1 ,1.3   
     Kaua'i, 163.3 , 158.0 ,3.4   
     Hawai'i Island, 170.9 , 158.9 ,7.6   
Visitor arrivals by cruise ships, 77.1 , 67.3 ,14.7   
,,,
PER PERSON PER TRIP SPENDING ($)," 1,764.2 "," 1,774.9 ",-0.6   
Total by air," 1,793.3 "," 1,804.0 ",-0.6   
     O'ahu," 1,458.8 "," 1,564.5 ",-6.8   
     Maui," 1,555.2 "," 1,498.9 ",3.8   
     Moloka'i, 545.7 , 531.6 ,2.7   
     Lāna'i," 1,070.8 "," 1,096.1 ",-2.3   
     Kaua'i," 1,247.9 "," 1,189.6 ",4.9   
     Hawai'i Island," 1,271.7 "," 1,158.7 ",9.7   
Visitor arrivals by cruise ships, 402.5 , 356.0 ,13.1   
,,,
Note: Sums may not add up to total due to rounding.,,,
Source: Hawai‘i Tourism Authority,,,
