TABLE 1:  Summary of Visitor Statistics: 2014 vs. 2013,,,,,,,,
,,,,,,,,
,,,,,,,,
AVERAGE LENGTH OF STAY (days), 9.11 , 9.17 ,-0.7   ,,,,,
Visitor arrivals of stay by air, 9.16 , 9.25 ,-1.0   ,,,,,
U.S. West, 9.45 , 9.56 ,-1.1   ,,,,,
U.S. East, 10.42 , 10.47 ,-0.5   ,,,,,
Japan, 5.80 , 5.94 ,-2.3   ,,,,,
Canada, 12.92 , 12.77 ,1.2   ,,,,,
Europe, 13.15 , 13.29 ,-1.1   ,,,,,
Oceania, 9.31 , 9.50 ,-2.1   ,,,,,
Other Asia, 6.83 , 6.79 ,0.7   ,,,,,
Latin America, 11.64 , 11.04 ,5.5   ,,,,,
Other, 9.78 , 10.64 ,-8.1   ,,,,,
Visitor arrivals of stay by cruise ships, 5.33 , 5.22 ,2.1   ,,,,,
,,,,,,,,
PER PERSON PER DAY SPENDING ($), 195.9 , 192.3 ,1.9   ,,,,,
Visitor arrivals by air, 197.1 , 193.8 ,1.7   ,,,,,
U.S. West, 160.7 , 156.5 ,2.7   ,,,,,
U.S. East, 206.7 , 198.9 ,3.9   ,,,,,
Japan, 273.4 , 275.7 ,-0.9   ,,,,,
Canada, 158.9 , 164.1 ,-3.1   ,,,,,
Europe, 181.9 , 176.9 ,2.8   ,,,,,
Oceania, 259.4 , 259.5 ,0.0   ,,,,,
Other Asia, 320.6 , 312.5 ,2.6   ,,,,,
Latin America, 270.1 , 222.2 ,21.6   ,,,,,
Other, 209.4 , 214.2 ,-2.3   ,,,,,
Visitor arrivals by cruise ships, 64.1 , 67.4 ,-4.8   ,,,,,
,,,,,,,,
PER PERSON PER TRIP SPENDING ($)," 1,783.9 "," 1,763.1 ",1.2   ,,,,,
Visitor arrivals by air," 1,805.8 "," 1,793.3 ",0.7   ,,,,,
U.S. West," 1,518.9 "," 1,496.6 ",1.5   ,,,,,
U.S. East," 2,153.6 "," 2,082.8 ",3.4   ,,,,,
Japan," 1,585.4 "," 1,637.1 ",-3.2   ,,,,,
Canada," 2,053.0 "," 2,094.7 ",-2.0   ,,,,,
Europe," 2,392.1 "," 2,351.1 ",1.7   ,,,,,
Oceania," 2,414.1 "," 2,466.8 ",-2.1   ,,,,,
Other Asia," 2,191.5 "," 2,121.3 ",3.3   ,,,,,
Latin America," 3,145.1 "," 2,451.5 ",28.3   ,,,,,
Other," 2,047.2 "," 2,279.0 ",-10.2   ,,,,,
Visitor arrivals by cruise ships, 341.7 , 351.7 ,-2.8   ,,,,,
,,,,,,,,
,,,,,,,,
ISLAND (Air & Ship),2014,2013,(%) Change,,,,,
,,,,,,,,
"TOTAL EXPENDITURES ($mil, AIR + SHIP)"," 14,821.0 "," 14,412.6 ",2.8   ,,,,,
Total by air," 14,778.5 "," 14,352.4 ",3.0   ,,,,,
     O'ahu," 7,343.8 "," 7,358.7 ",-0.2   ,,,,,
     Maui," 4,051.4 "," 3,668.3 ",10.4   ,,,,,
     Moloka'i, 33.4 , 30.1 ,11.1   ,,,,,
     Lāna'i, 71.9 , 79.6 ,-9.6   ,,,,,
     Kaua'i," 1,409.9 "," 1,390.6 ",1.4   ,,,,,
     Hawai'i Island," 1,868.0 "," 1,825.2 ",2.3   ,,,,,
Visitor arrivals by cruise ships, 42.5 , 60.1 ,-29.3   ,,,,,
,,,,,,,,
TOTAL VISITOR DAYS,"75,646,053 ","74,942,169 ",0.9   ,,,,,
Total by air,"74,982,915 ","74,049,772 ",1.3   ,,,,,
     O'ahu,"35,044,667 ","35,059,623 ",0.0   ,,,,,
     Maui,"19,872,876 ","19,271,412 ",3.1   ,,,,,
     Moloka'i,"276,685 ","264,463 ",4.6   ,,,,,
     Lāna'i,"225,583 ","259,165 ",-13.0   ,,,,,
     Kaua'i,"8,610,146 ","8,516,938 ",1.1   ,,,,,
     Hawai'i Island,"10,952,958 ","10,678,171 ",2.6   ,,,,,
Visitor arrivals by cruise ships,"663,138 ","892,397 ",-25.7   ,,,,,
,,,,,,,,
VISITOR ARRIVALS,"8,308,114 ","8,174,461 ",1.6   ,,,,,
Total by air,"8,183,671 ","8,003,474 ",2.3   ,,,,,
     O'ahu,"5,176,858 ","5,044,276 ",2.6   ,,,,,
     Maui,"2,410,214 ","2,358,784 ",2.2   ,,,,,
     Moloka'i,"59,647 ","55,157 ",8.1   ,,,,,
     Lāna'i,"67,948 ","74,310 ",-8.6   ,,,,,
     Kaua'i,"1,117,703 ","1,114,354 ",0.3   ,,,,,
     Hawai'i Island,"1,449,070 ","1,435,245 ",1.0   ,,,,,
Visitor arrivals by cruise ships,"124,443 ","170,987 ",-27.2   ,,,,,
,,,,,,,,
AVERAGE LENGTH OF STAY, 9.11 , 9.17 ,-0.7   ,,,,,
Total by air, 9.16 , 9.25 ,-1.0   ,,,,,
     O'ahu, 6.77 , 6.95 ,-2.6   ,,,,,
     Maui, 8.25 , 8.17 ,0.9   ,,,,,
     Moloka'i, 4.64 , 4.79 ,-3.3   ,,,,,
     Lāna'i, 3.32 , 3.49 ,-4.8   ,,,,,
     Kaua'i, 7.70 , 7.64 ,0.8   ,,,,,
     Hawai'i Island, 7.56 , 7.44 ,1.6   ,,,,,
Visitor arrivals by cruise ships, 5.33 , 5.22 ,2.1   ,,,,,
,,,,,,,,
PER PERSON PER DAY SPENDING ($), 195.9 , 192.3 ,1.9   ,,,,,
Total by air, 197.1 , 193.8 ,1.7   ,,,,,
     O'ahu, 209.6 , 209.9 ,-0.2   ,,,,,
     Maui, 203.9 , 190.3 ,7.1   ,,,,,
     Moloka'i, 120.9 , 113.8 ,6.2   ,,,,,
     Lāna'i, 318.9 , 307.0 ,3.9   ,,,,,
     Kaua'i, 163.7 , 163.3 ,0.3   ,,,,,
     Hawai'i Island, 170.5 , 170.9 ,-0.2   ,,,,,
Visitor arrivals by cruise ships, 64.1 , 67.4 ,-4.8   ,,,,,
,,,,,,,,
PER PERSON PER TRIP SPENDING ($)," 1,783.9 "," 1,763.1 ",1.2   ,,,,,
Total by air," 1,805.8 "," 1,793.3 ",0.7   ,,,,,
     O'ahu," 1,418.6 "," 1,458.8 ",-2.8   ,,,,,
     Maui," 1,680.9 "," 1,555.2 ",8.1   ,,,,,
     Moloka'i, 560.7 , 545.7 ,2.8   ,,,,,
     Lāna'i," 1,058.8 "," 1,070.8 ",-1.1   ,,,,,
     Kaua'i," 1,261.4 "," 1,247.9 ",1.1   ,,,,,
     Hawai'i Island," 1,289.1 "," 1,271.7 ",1.4   ,,,,,
Visitor arrivals by cruise ships, 341.7 , 351.7 ,-2.8   ,,,,,
,,,,,,,,
Note: Sums may not add up to total due to rounding.,,,,,,,,
Source: Hawai‘i Tourism Authority,,,,,,,,
