"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii County, Hawaii!!Employment/Population Ratio!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Labor Force Participation Rate!!Estimate","Honolulu County, Hawaii!!Employment/Population Ratio!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Labor Force Participation Rate!!Estimate","Kauai County, Hawaii!!Employment/Population Ratio!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Labor Force Participation Rate!!Estimate","Maui County, Hawaii!!Employment/Population Ratio!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"        White alone","278,015","62.7%","49.2%","8.1%","55,680","52.3%","46.8%","10.4%","157,287","67.4%","48.2%","6.0%","19,157","60.3%","52.7%","12.6%","45,866","60.0%","53.9%","10.0%"
"        Black or African American alone","23,319","69.3%","34.4%","12.7%","N","N","N","N","20,031","75.2%","36.1%","10.8%","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","469,782","61.5%","57.0%","5.7%","38,188","59.4%","56.0%","5.7%","368,778","60.9%","56.0%","5.9%","19,561","63.7%","60.1%","5.6%","43,255","67.7%","64.6%","3.7%"
"        Native Hawaiian and Other Pacific Islander alone","110,301","59.0%","51.5%","11.4%","19,584","53.7%","47.4%","10.5%","73,991","59.7%","51.3%","12.6%","N","N","N","N","12,037","61.4%","55.8%","8.9%"
"        Some other race alone","21,467","76.2%","57.2%","6.1%","N","N","N","N","14,285","74.8%","48.1%","7.1%","N","N","N","N","N","N","N","N"
"        Two or more races","259,034","68.0%","59.3%","9.2%","43,504","63.8%","54.4%","14.8%","173,858","69.3%","60.2%","8.0%","15,089","69.5%","58.4%","12.9%","26,573","65.7%","62.0%","5.6%"
"        Hispanic or Latino origin (of any race)","103,559","70.6%","54.6%","11.2%","17,349","66.2%","52.6%","20.6%","68,180","70.9%","52.1%","8.6%","N","N","N","N","N","N","N","N"
"        White alone, not Hispanic or Latino","263,941","62.6%","49.5%","7.6%","54,152","52.7%","47.4%","9.9%","147,765","67.6%","48.6%","5.7%","18,525","60.2%","52.8%","12.3%","43,489","59.1%","53.7%","8.9%"
"Population 20 to 64 years","825,335","79.6%","68.4%","7.4%","110,398","73.3%","65.8%","10.0%","581,037","80.6%","67.7%","6.8%","40,234","82.5%","72.9%","10.6%","93,651","79.5%","73.8%","6.8%"
"    SEX","","","","","","","","","","","","","","","","","","","",""
"        Male","422,114","82.5%","68.0%","7.3%","54,129","72.7%","66.1%","8.8%","301,569","84.7%","67.0%","6.9%","20,034","83.5%","72.8%","12.6%","46,367","79.7%","74.7%","5.8%"
"        Female","403,221","76.5%","68.9%","7.6%","56,269","73.8%","65.5%","11.2%","279,468","76.3%","68.5%","6.7%","20,200","81.5%","73.1%","8.5%","47,284","79.4%","73.0%","7.9%"
"            With own children under 18 years","131,660","74.2%","67.1%","7.0%","17,239","80.6%","74.5%","7.6%","92,978","72.0%","64.8%","6.4%","5,646","86.6%","71.3%","17.7%","15,797","75.7%","71.4%","5.6%"
"                With own children under 6 years only","27,627","68.3%","56.3%","10.2%","2,559","90.5%","81.9%","9.4%","20,955","63.7%","50.6%","10.2%","877","84.4%","44.9%","46.8%","3,236","76.4%","76.4%","0.0%"
"                With own children under 6 years and 6 to 17  years","28,426","68.3%","61.6%","7.4%","3,815","77.5%","72.7%","6.2%","19,672","63.4%","56.0%","7.9%","1,200","88.2%","82.2%","6.8%","3,739","78.3%","73.0%","6.8%"
"                With own children 6 to 17 years only","75,607","78.6%","73.1%","6.0%","10,865","79.3%","73.3%","7.6%","52,351","78.6%","73.7%","4.8%","3,569","86.6%","74.1%","14.4%","8,822","74.3%","68.9%","7.2%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"        Below poverty level","87,242","49.5%","33.6%","29.4%","16,060","52.4%","36.9%","29.5%","55,138","47.8%","30.6%","31.9%","4,570","49.9%","40.6%","17.6%","11,459","54.0%","40.6%","23.5%"
"        At or above the poverty level","714,171","83.8%","74.3%","5.9%","93,313","77.7%","71.5%","7.7%","503,980","84.6%","73.8%","5.3%","35,475","87.1%","77.5%","10.1%","81,403","83.9%","79.2%","5.3%"
"    DISABILITY STATUS","","","","","","","","","","","","","","","","","","","",""
"        With any disability","70,551","48.9%","39.0%","14.0%","14,257","39.4%","29.1%","26.0%","44,763","51.8%","40.5%","12.4%","3,356","60.3%","53.0%","12.1%","8,175","45.3%","42.3%","6.2%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","739,120","79.7%","70.3%","6.9%","101,043","73.3%","66.2%","9.6%","514,668","80.8%","70.2%","6.2%","36,854","83.3%","74.2%","10.9%","86,540","79.0%","73.9%","6.3%"
"        Less than high school graduate","42,536","59.1%","52.0%","12.2%","7,519","60.8%","54.4%","10.5%","27,690","56.4%","49.6%","12.0%","2,577","71.3%","52.5%","26.4%","4,750","66.1%","61.3%","7.3%"
"        High school graduate (includes equivalency)","190,104","73.7%","64.8%","8.9%","30,183","68.0%","60.9%","10.4%","123,396","74.1%","64.0%","9.1%","9,566","79.4%","70.5%","11.2%","26,959","75.7%","71.3%","5.8%"
"        Some college or associate's degree","239,769","80.2%","68.7%","7.8%","34,842","75.0%","66.6%","11.2%","163,988","80.8%","67.7%","6.6%","12,113","83.3%","72.7%","12.5%","28,811","81.6%","75.1%","7.8%"
"        Bachelor's degree or higher","266,711","86.9%","78.6%","4.4%","28,499","80.2%","74.6%","6.8%","199,594","88.3%","79.1%","3.8%","12,598","88.6%","82.8%","6.6%","26,020","81.9%","77.6%","5.2%"
