"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii County, Hawaii!!Employment/Population Ratio!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Labor Force Participation Rate!!Estimate","Honolulu County, Hawaii!!Employment/Population Ratio!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Labor Force Participation Rate!!Estimate","Kauai County, Hawaii!!Employment/Population Ratio!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Labor Force Participation Rate!!Estimate","Maui County, Hawaii!!Employment/Population Ratio!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"        White alone, not Hispanic or Latino","265,109","64.2%","53.2%","3.7%","54,873","53.5%","50.4%","5.2%","147,716","68.6%","51.2%","3.1%","18,200","67.8%","65.4%","3.0%","44,320","61.5%","58.3%","4.2%"
"Population 20 to 64 years","816,298","80.7%","72.9%","3.1%","110,283","75.5%","71.6%","5.0%","570,403","81.5%","71.7%","2.7%","39,682","80.8%","78.9%","1.9%","95,917","81.9%","78.9%","3.2%"
"    SEX","","","","","","","","","","","","","","","","","","","",""
"        Male","415,459","84.2%","72.4%","3.5%","54,157","76.3%","72.4%","5.0%","293,971","85.7%","70.7%","3.2%","19,828","81.2%","78.8%","2.0%","47,498","84.6%","80.6%","4.0%"
"        Female","400,839","77.1%","73.4%","2.6%","56,126","74.8%","70.9%","5.0%","276,432","77.0%","72.9%","2.2%","19,854","80.4%","79.0%","1.7%","48,419","79.3%","77.2%","2.5%"
"            With own children under 18 years","121,856","75.1%","70.8%","3.2%","17,131","75.9%","72.8%","4.1%","86,320","74.1%","69.3%","3.0%","6,313","78.9%","78.9%","0.0%","12,092","78.4%","74.5%","5.0%"
"                With own children under 6 years only","29,784","64.2%","55.7%","7.6%","2,338","42.3%","33.0%","21.9%","23,672","66.3%","56.9%","7.2%","581","49.6%","49.6%","0.0%","3,193","67.4%","64.3%","4.6%"
"                With own children under 6 years and 6 to 17  years","22,746","66.9%","62.9%","3.5%","4,638","75.8%","74.8%","1.4%","14,500","64.5%","58.5%","5.2%","1,847","63.6%","63.6%","0.0%","1,761","66.8%","66.8%","0.0%"
"                With own children 6 to 17 years only","69,326","82.4%","79.9%","1.7%","10,155","83.7%","81.1%","3.2%","48,148","80.9%","78.7%","0.8%","3,885","90.5%","90.5%","0.0%","7,138","86.2%","80.9%","6.1%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"        Below poverty level","66,214","45.4%","37.0%","16.7%","12,451","52.3%","38.8%","24.7%","40,343","43.4%","35.1%","16.3%","2,961","50.6%","49.4%","2.2%","10,459","43.6%","38.4%","11.8%"
"        At or above the poverty level","727,359","84.6%","78.2%","2.4%","96,695","79.4%","76.7%","3.3%","509,677","85.2%","77.2%","2.2%","36,295","84.2%","82.3%","1.9%","84,679","87.3%","84.4%","2.7%"
"    DISABILITY STATUS","","","","","","","","","","","","","","","","","","","",""
"        With any disability","62,862","43.7%","37.8%","8.6%","13,363","42.0%","36.5%","13.1%","40,571","45.5%","38.5%","7.7%","4,111","41.1%","37.8%","8.2%","4,817","36.3%","35.1%","3.0%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","727,198","80.7%","74.6%","2.8%","99,847","74.9%","71.9%","4.0%","502,850","81.6%","74.0%","2.6%","36,188","80.8%","78.8%","2.1%","88,300","82.2%","79.2%","3.3%"
"        Less than high school graduate","40,519","65.6%","62.2%","5.0%","6,225","66.7%","60.0%","10.1%","25,157","60.2%","58.1%","3.1%","1,974","85.0%","76.1%","10.4%","7,163","78.3%","74.6%","4.8%"
"        High school graduate (includes equivalency)","198,198","75.2%","69.7%","4.1%","34,477","71.1%","66.9%","5.9%","122,591","74.2%","67.2%","4.3%","11,415","71.2%","70.7%","0.8%","29,715","85.9%","83.2%","3.0%"
"        Some college or associate's degree","238,831","81.7%","74.0%","2.7%","31,268","75.5%","72.9%","3.1%","165,803","83.1%","73.4%","2.7%","12,479","82.4%","81.1%","0.8%","29,276","79.6%","75.9%","3.7%"
"        Bachelor's degree or higher","249,650","86.5%","81.0%","1.7%","27,877","80.8%","79.4%","1.7%","189,299","87.8%","81.1%","1.6%","10,320","88.7%","85.4%","3.0%","22,146","82.0%","79.7%","2.8%"
