"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Below poverty level!!Estimate","Puerto Rico!!Percent below poverty level!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Below poverty level!!Estimate","Arecibo Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Below poverty level!!Estimate","Bayamón Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Below poverty level!!Estimate","Caguas Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Below poverty level!!Estimate","Carolina Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Below poverty level!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Below poverty level!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Below poverty level!!Estimate","Ponce Municipio, Puerto Rico!!Percent below poverty level!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Below poverty level!!Estimate","San Juan Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Below poverty level!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Below poverty level!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Below poverty level!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent below poverty level!!Estimate"
"                Male","612,012","120,100","19.6%","14,603","1,538","10.5%","36,692","4,684","12.8%","26,235","3,755","14.3%","32,530","3,769","11.6%","21,726","1,748","8.0%","11,329","3,359","29.6%","20,193","5,489","27.2%","67,049","12,404","18.5%","15,160","3,104","20.5%","16,000","2,166","13.5%","16,609","1,634","9.8%"
"                Female","573,193","122,713","21.4%","13,699","2,211","16.1%","34,847","5,098","14.6%","23,758","4,847","20.4%","30,467","3,339","11.0%","17,472","1,106","6.3%","9,270","3,396","36.6%","19,281","6,453","33.5%","66,185","13,591","20.5%","14,589","2,641","18.1%","16,546","2,876","17.4%","15,956","1,177","7.4%"
"            Unemployed","119,584","76,721","64.2%","3,883","2,459","63.3%","4,880","2,661","54.5%","4,634","2,563","55.3%","5,573","2,634","47.3%","1,900","727","38.3%","5,114","4,403","86.1%","8,201","6,394","78.0%","13,385","8,898","66.5%","1,582","958","60.6%","1,775","1,041","58.6%","2,490","1,318","52.9%"
"                Male","60,173","36,328","60.4%","1,927","1,019","52.9%","2,072","895","43.2%","2,218","1,110","50.0%","2,035","1,027","50.5%","773","293","37.9%","2,595","2,111","81.3%","3,325","2,565","77.1%","6,042","3,573","59.1%","1,158","646","55.8%","1,339","715","53.4%","904","458","50.7%"
"                Female","59,411","40,393","68.0%","1,956","1,440","73.6%","2,808","1,766","62.9%","2,416","1,453","60.1%","3,538","1,607","45.4%","1,127","434","38.5%","2,519","2,292","91.0%","4,876","3,829","78.5%","7,343","5,325","72.5%","424","312","73.6%","436","326","74.8%","1,586","860","54.2%"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","2,752,295","1,022,647","37.2%","72,255","24,319","33.7%","153,158","46,133","30.1%","107,804","35,064","32.5%","131,299","29,135","22.2%","77,685","16,073","20.7%","59,260","30,239","51.0%","108,071","51,407","47.6%","286,733","101,846","35.5%","56,929","19,292","33.9%","62,156","17,179","27.6%","58,113","12,649","21.8%"
"            Worked full-time, year-round in the past 12 months","838,310","94,081","11.2%","17,731","934","5.3%","51,222","4,438","8.7%","36,120","2,921","8.1%","52,459","3,755","7.2%","30,423","1,064","3.5%","12,241","2,502","20.4%","27,558","5,479","19.9%","97,411","10,178","10.4%","21,211","2,648","12.5%","24,735","2,359","9.5%","24,382","1,550","6.4%"
"            Worked part-time or part-year in the past 12 months","432,736","184,275","42.6%","13,938","4,338","31.1%","26,350","7,990","30.3%","18,368","7,114","38.7%","15,161","5,158","34.0%","10,692","2,321","21.7%","10,231","5,818","56.9%","14,336","7,516","52.4%","43,958","19,649","44.7%","9,865","3,479","35.3%","9,359","2,985","31.9%","9,958","1,809","18.2%"
"            Did not work","1,481,249","744,291","50.2%","40,586","19,047","46.9%","75,586","33,705","44.6%","53,316","25,029","46.9%","63,679","20,222","31.8%","36,570","12,688","34.7%","36,788","21,919","59.6%","66,177","38,412","58.0%","145,364","72,019","49.5%","25,853","13,165","50.9%","28,062","11,835","42.2%","23,773","9,290","39.1%"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","621,687","(X)","(X)","13,870","(X)","(X)","31,093","(X)","(X)","22,423","(X)","(X)","18,176","(X)","(X)","8,683","(X)","(X)","20,732","(X)","(X)","37,358","(X)","(X)","69,069","(X)","(X)","8,723","(X)","(X)","7,933","(X)","(X)","4,991","(X)","(X)"
"        125 percent of poverty level","1,542,270","(X)","(X)","38,529","(X)","(X)","72,273","(X)","(X)","49,460","(X)","(X)","52,436","(X)","(X)","25,393","(X)","(X)","42,787","(X)","(X)","72,496","(X)","(X)","151,958","(X)","(X)","28,991","(X)","(X)","29,174","(X)","(X)","18,378","(X)","(X)"
"        150 percent of poverty level","1,785,214","(X)","(X)","44,924","(X)","(X)","84,955","(X)","(X)","62,421","(X)","(X)","62,266","(X)","(X)","28,721","(X)","(X)","47,628","(X)","(X)","79,239","(X)","(X)","167,073","(X)","(X)","31,586","(X)","(X)","35,201","(X)","(X)","21,157","(X)","(X)"
"        185 percent of poverty level","2,064,707","(X)","(X)","53,084","(X)","(X)","99,156","(X)","(X)","73,424","(X)","(X)","75,885","(X)","(X)","38,473","(X)","(X)","51,985","(X)","(X)","88,733","(X)","(X)","188,092","(X)","(X)","36,861","(X)","(X)","41,817","(X)","(X)","29,727","(X)","(X)"
"        200 percent of poverty level","2,169,402","(X)","(X)","56,741","(X)","(X)","107,003","(X)","(X)","78,846","(X)","(X)","83,347","(X)","(X)","40,822","(X)","(X)","53,224","(X)","(X)","94,787","(X)","(X)","198,106","(X)","(X)","40,276","(X)","(X)","47,106","(X)","(X)","32,042","(X)","(X)"
"        300 percent of poverty level","2,646,565","(X)","(X)","69,123","(X)","(X)","136,849","(X)","(X)","98,854","(X)","(X)","117,527","(X)","(X)","52,890","(X)","(X)","61,538","(X)","(X)","110,242","(X)","(X)","251,216","(X)","(X)","51,567","(X)","(X)","62,034","(X)","(X)","42,992","(X)","(X)"
"        400 percent of poverty level","2,873,804","(X)","(X)","78,592","(X)","(X)","154,488","(X)","(X)","108,960","(X)","(X)","134,318","(X)","(X)","60,672","(X)","(X)","64,426","(X)","(X)","117,756","(X)","(X)","278,233","(X)","(X)","58,140","(X)","(X)","65,411","(X)","(X)","49,431","(X)","(X)"
"        500 percent of poverty level","3,000,977","(X)","(X)","81,693","(X)","(X)","165,399","(X)","(X)","114,260","(X)","(X)","139,498","(X)","(X)","70,651","(X)","(X)","65,545","(X)","(X)","120,346","(X)","(X)","293,287","(X)","(X)","61,641","(X)","(X)","69,279","(X)","(X)","54,879","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","654,316","347,360","53.1%","16,879","9,660","57.2%","39,229","17,575","44.8%","21,837","10,246","46.9%","33,180","12,435","37.5%","18,761","6,243","33.3%","20,074","14,486","72.2%","28,269","18,053","63.9%","96,777","44,400","45.9%","9,197","4,631","50.4%","14,780","5,404","36.6%","11,901","4,549","38.2%"
"    Male","300,514","147,307","49.0%","7,783","4,680","60.1%","16,445","6,652","40.4%","10,828","4,123","38.1%","15,241","5,519","36.2%","7,483","2,847","38.0%","10,552","7,278","69.0%","12,894","7,828","60.7%","43,064","18,257","42.4%","4,633","2,326","50.2%","6,753","1,822","27.0%","5,395","2,342","43.4%"
"    Female","353,802","200,053","56.5%","9,096","4,980","54.7%","22,784","10,923","47.9%","11,009","6,123","55.6%","17,939","6,916","38.6%","11,278","3,396","30.1%","9,522","7,208","75.7%","15,375","10,225","66.5%","53,713","26,143","48.7%","4,564","2,305","50.5%","8,027","3,582","44.6%","6,506","2,207","33.9%"
"    15 years","548","548","100.0%","0","0","-","0","0","-","0","0","-","0","0","-","263","263","100.0%","0","0","-","0","0","-","0","0","-","0","0","-","35","35","100.0%","0","0","-"
"    16 to 17 years","1,435","1,435","100.0%","146","146","100.0%","0","0","-","0","0","-","12","12","100.0%","137","137","100.0%","376","376","100.0%","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-"
"    18 to 24 years","21,614","15,289","70.7%","357","357","100.0%","713","502","70.4%","648","547","84.4%","757","556","73.4%","594","85","14.3%","3,964","3,964","100.0%","1,151","758","65.9%","3,168","2,263","71.4%","128","128","100.0%","704","0","0.0%","60","60","100.0%"
"    25 to 34 years","82,675","33,606","40.6%","2,120","747","35.2%","5,419","1,628","30.0%","3,460","1,533","44.3%","6,269","1,997","31.9%","2,093","528","25.2%","3,046","1,514","49.7%","4,888","3,613","73.9%","13,590","4,721","34.7%","801","243","30.3%","2,043","243","11.9%","2,547","677","26.6%"
"    35 to 44 years","78,965","30,114","38.1%","1,372","952","69.4%","4,281","1,241","29.0%","2,215","81","3.7%","4,279","1,140","26.6%","2,993","214","7.2%","1,638","1,181","72.1%","2,728","1,951","71.5%","11,060","2,961","26.8%","1,321","365","27.6%","2,331","680","29.2%","1,336","486","36.4%"
"    45 to 54 years","84,603","40,590","48.0%","2,144","1,187","55.4%","4,203","1,887","44.9%","3,079","1,318","42.8%","2,811","845","30.1%","2,347","766","32.6%","1,711","935","54.6%","2,567","836","32.6%","13,010","6,127","47.1%","2,238","623","27.8%","1,585","645","40.7%","1,580","596","37.7%"
"    55 to 64 years","125,021","71,020","56.8%","3,493","2,033","58.2%","7,918","4,286","54.1%","4,888","2,725","55.7%","5,706","2,550","44.7%","2,693","616","22.9%","3,094","2,320","75.0%","4,158","2,576","62.0%","18,459","9,266","50.2%","2,092","1,444","69.0%","2,547","1,033","40.6%","1,392","485","34.8%"
"    65 to 74 years","126,289","74,080","58.7%","3,224","1,926","59.7%","7,073","3,076","43.5%","3,776","2,028","53.7%","5,473","1,834","33.5%","3,789","1,777","46.9%","2,815","1,844","65.5%","6,293","4,294","68.2%","16,223","8,156","50.3%","1,419","904","63.7%","2,809","1,461","52.0%","2,995","1,228","41.0%"
"    75 years and over","133,166","80,678","60.6%","4,023","2,312","57.5%","9,622","4,955","51.5%","3,771","2,014","53.4%","7,873","3,501","44.5%","3,852","1,857","48.2%","3,430","2,352","68.6%","6,484","4,025","62.1%","21,267","10,906","51.3%","1,198","924","77.1%","2,726","1,307","47.9%","1,991","1,017","51.1%"
"    Mean income deficit for unrelated individuals (dollars)","8,891","(X)","(X)","9,429","(X)","(X)","7,992","(X)","(X)","9,678","(X)","(X)","8,505","(X)","(X)","7,776","(X)","(X)","10,245","(X)","(X)","8,996","(X)","(X)","9,145","(X)","(X)","8,409","(X)","(X)","8,761","(X)","(X)","8,273","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","188,712","21,036","11.1%","3,042","69","2.3%","12,345","1,502","12.2%","6,862","734","10.7%","12,824","1,172","9.1%","7,752","59","0.8%","3,999","1,221","30.5%","6,293","1,606","25.5%","33,257","3,470","10.4%","3,300","187","5.7%","6,388","298","4.7%","5,043","523","10.4%"
"    Worked less than full-time, year-round in the past 12 months","93,288","58,620","62.8%","2,679","1,776","66.3%","6,245","3,544","56.7%","4,592","2,232","48.6%","4,209","3,003","71.3%","2,142","730","34.1%","3,032","1,959","64.6%","3,432","2,340","68.2%","13,504","7,071","52.4%","1,727","1,091","63.2%","2,625","951","36.2%","1,479","860","58.1%"
"    Did not work","372,316","267,704","71.9%","11,158","7,815","70.0%","20,639","12,529","60.7%","10,383","7,280","70.1%","16,147","8,260","51.2%","8,867","5,454","61.5%","13,043","11,306","86.7%","18,544","14,107","76.1%","50,016","33,859","67.7%","4,170","3,353","80.4%","5,767","4,155","72.0%","5,379","3,166","58.9%"
"    Population in housing units for whom poverty status is determined","3,164,739","1,247,098","39.4%","83,361","28,729","34.5%","175,869","57,383","32.6%","123,737","43,645","35.3%","150,298","37,273","24.8%","87,256","18,258","20.9%","68,035","36,546","53.7%","125,930","63,252","50.2%","326,435","124,820","38.2%","65,150","23,332","35.8%","71,438","21,077","29.5%","65,843","14,430","21.9%"
