"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Below poverty level!!Estimate","Puerto Rico!!Percent below poverty level!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Below poverty level!!Estimate","Arecibo Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Below poverty level!!Estimate","Bayamón Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Below poverty level!!Estimate","Caguas Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Below poverty level!!Estimate","Carolina Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Below poverty level!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Below poverty level!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Below poverty level!!Estimate","Ponce Municipio, Puerto Rico!!Percent below poverty level!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Below poverty level!!Estimate","San Juan Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Below poverty level!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Below poverty level!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Below poverty level!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent below poverty level!!Estimate"
"            Unemployed","171,370","117,667","68.7%","6,116","4,513","73.8%","6,931","4,956","71.5%","5,092","3,668","72.0%","8,097","5,711","70.5%","3,244","1,319","40.7%","6,053","5,054","83.5%","3,998","2,879","72.0%","25,193","18,655","74.0%","1,219","341","28.0%","3,882","2,553","65.8%","721","288","39.9%"
"                Male","88,751","58,067","65.4%","2,690","1,908","70.9%","3,083","2,269","73.6%","3,220","2,561","79.5%","3,808","2,571","67.5%","1,801","921","51.1%","3,207","2,837","88.5%","2,079","1,612","77.5%","12,019","8,338","69.4%","940","200","21.3%","1,626","1,309","80.5%","297","0","0.0%"
"                Female","82,619","59,600","72.1%","3,426","2,605","76.0%","3,848","2,687","69.8%","1,872","1,107","59.1%","4,289","3,140","73.2%","1,443","398","27.6%","2,846","2,217","77.9%","1,919","1,267","66.0%","13,174","10,317","78.3%","279","141","50.5%","2,256","1,244","55.1%","424","288","67.9%"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","2,675,742","1,090,617","40.8%","69,110","32,705","47.3%","140,897","43,009","30.5%","105,339","36,841","35.0%","124,311","38,810","31.2%","72,124","15,504","21.5%","60,749","29,729","48.9%","107,923","54,405","50.4%","266,969","98,539","36.9%","60,840","18,817","30.9%","62,416","22,834","36.6%","53,744","13,546","25.2%"
"            Worked full-time, year-round in the past 12 months","705,958","79,934","11.3%","13,112","2,801","21.4%","45,507","4,024","8.8%","32,666","2,050","6.3%","41,829","2,752","6.6%","26,033","1,280","4.9%","11,398","907","8.0%","23,828","3,148","13.2%","80,844","7,064","8.7%","22,108","1,529","6.9%","18,587","2,199","11.8%","20,010","1,303","6.5%"
"            Worked part-time or part-year in the past 12 months","416,994","184,538","44.3%","13,339","5,541","41.5%","24,472","9,162","37.4%","18,994","8,075","42.5%","19,297","7,812","40.5%","12,509","3,319","26.5%","9,728","5,388","55.4%","15,671","8,417","53.7%","42,821","17,749","41.4%","7,145","2,193","30.7%","10,601","3,298","31.1%","8,857","3,739","42.2%"
"            Did not work","1,552,790","826,145","53.2%","42,659","24,363","57.1%","70,918","29,823","42.1%","53,679","26,716","49.8%","63,185","28,246","44.7%","33,582","10,905","32.5%","39,623","23,434","59.1%","68,424","42,840","62.6%","143,304","73,726","51.4%","31,587","15,095","47.8%","33,228","17,337","52.2%","24,877","8,504","34.2%"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","737,603","(X)","(X)","18,756","(X)","(X)","27,021","(X)","(X)","23,970","(X)","(X)","26,555","(X)","(X)","8,497","(X)","(X)","23,942","(X)","(X)","43,265","(X)","(X)","79,631","(X)","(X)","9,519","(X)","(X)","16,236","(X)","(X)","7,962","(X)","(X)"
"        125 percent of poverty level","1,664,313","(X)","(X)","48,733","(X)","(X)","65,373","(X)","(X)","54,500","(X)","(X)","61,414","(X)","(X)","24,187","(X)","(X)","43,182","(X)","(X)","78,284","(X)","(X)","148,798","(X)","(X)","28,103","(X)","(X)","39,206","(X)","(X)","21,023","(X)","(X)"
"        150 percent of poverty level","1,905,863","(X)","(X)","55,530","(X)","(X)","78,769","(X)","(X)","63,250","(X)","(X)","71,873","(X)","(X)","29,977","(X)","(X)","49,008","(X)","(X)","87,058","(X)","(X)","168,949","(X)","(X)","32,040","(X)","(X)","44,136","(X)","(X)","24,794","(X)","(X)"
"        185 percent of poverty level","2,204,602","(X)","(X)","65,386","(X)","(X)","94,590","(X)","(X)","76,284","(X)","(X)","85,479","(X)","(X)","37,508","(X)","(X)","54,484","(X)","(X)","95,922","(X)","(X)","191,264","(X)","(X)","41,509","(X)","(X)","47,567","(X)","(X)","32,132","(X)","(X)"
"        200 percent of poverty level","2,297,406","(X)","(X)","68,200","(X)","(X)","100,419","(X)","(X)","81,094","(X)","(X)","91,845","(X)","(X)","39,018","(X)","(X)","55,969","(X)","(X)","98,696","(X)","(X)","198,623","(X)","(X)","44,238","(X)","(X)","50,174","(X)","(X)","34,256","(X)","(X)"
"        300 percent of poverty level","2,712,080","(X)","(X)","75,649","(X)","(X)","135,314","(X)","(X)","99,832","(X)","(X)","116,452","(X)","(X)","53,483","(X)","(X)","61,677","(X)","(X)","112,495","(X)","(X)","237,113","(X)","(X)","57,596","(X)","(X)","61,236","(X)","(X)","47,955","(X)","(X)"
"        400 percent of poverty level","2,914,444","(X)","(X)","79,328","(X)","(X)","149,948","(X)","(X)","109,512","(X)","(X)","130,898","(X)","(X)","62,060","(X)","(X)","66,012","(X)","(X)","120,078","(X)","(X)","262,834","(X)","(X)","64,784","(X)","(X)","67,551","(X)","(X)","53,535","(X)","(X)"
"        500 percent of poverty level","3,002,798","(X)","(X)","80,221","(X)","(X)","157,555","(X)","(X)","114,782","(X)","(X)","135,637","(X)","(X)","66,586","(X)","(X)","66,750","(X)","(X)","122,488","(X)","(X)","277,476","(X)","(X)","67,547","(X)","(X)","71,146","(X)","(X)","56,650","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","554,093","310,712","56.1%","16,123","10,590","65.7%","30,303","13,951","46.0%","22,807","12,425","54.5%","29,915","13,145","43.9%","17,890","6,810","38.1%","17,607","11,408","64.8%","24,069","15,188","63.1%","81,522","39,324","48.2%","7,402","4,442","60.0%","13,573","5,900","43.5%","10,214","4,726","46.3%"
"    Male","258,505","132,474","51.2%","7,820","4,340","55.5%","13,976","5,668","40.6%","10,452","5,182","49.6%","12,909","4,668","36.2%","7,890","3,145","39.9%","9,913","6,530","65.9%","10,797","7,021","65.0%","38,953","18,190","46.7%","3,956","1,935","48.9%","7,154","3,147","44.0%","3,910","1,819","46.5%"
"    Female","295,588","178,238","60.3%","8,303","6,250","75.3%","16,327","8,283","50.7%","12,355","7,243","58.6%","17,006","8,477","49.8%","10,000","3,665","36.7%","7,694","4,878","63.4%","13,272","8,167","61.5%","42,569","21,134","49.6%","3,446","2,507","72.8%","6,419","2,753","42.9%","6,304","2,907","46.1%"
"    15 years","300","300","100.0%","0","0","-","0","0","-","0","0","-","201","201","100.0%","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-"
"    16 to 17 years","1,198","1,198","100.0%","65","65","100.0%","108","108","100.0%","0","0","-","191","191","100.0%","95","95","100.0%","249","249","100.0%","62","62","100.0%","188","188","100.0%","0","0","-","0","0","-","0","0","-"
"    18 to 24 years","21,830","18,157","83.2%","1,435","1,271","88.6%","726","461","63.5%","959","885","92.3%","955","728","76.2%","431","239","55.5%","3,233","3,093","95.7%","551","508","92.2%","4,680","3,824","81.7%","224","17","7.6%","195","72","36.9%","0","0","-"
"    25 to 34 years","61,273","32,538","53.1%","1,903","1,163","61.1%","3,493","1,821","52.1%","3,200","1,343","42.0%","2,336","485","20.8%","2,489","737","29.6%","2,066","1,332","64.5%","2,597","1,950","75.1%","10,224","5,112","50.0%","218","218","100.0%","1,930","397","20.6%","1,103","444","40.3%"
"    35 to 44 years","64,699","27,496","42.5%","1,345","716","53.2%","3,445","1,169","33.9%","3,062","1,197","39.1%","4,542","964","21.2%","2,707","683","25.2%","1,484","673","45.4%","2,151","1,368","63.6%","9,370","4,283","45.7%","865","565","65.3%","2,181","716","32.8%","1,064","114","10.7%"
"    45 to 54 years","85,227","43,275","50.8%","2,470","1,763","71.4%","4,973","1,696","34.1%","4,073","2,017","49.5%","5,295","2,135","40.3%","2,048","836","40.8%","1,263","721","57.1%","3,980","2,500","62.8%","11,412","4,902","43.0%","1,604","255","15.9%","1,960","917","46.8%","2,113","921","43.6%"
"    55 to 64 years","108,002","60,488","56.0%","3,289","2,222","67.6%","5,471","2,399","43.8%","3,598","2,204","61.3%","5,425","2,703","49.8%","3,232","1,346","41.6%","2,552","1,269","49.7%","4,326","2,348","54.3%","15,618","6,448","41.3%","1,198","930","77.6%","2,704","1,077","39.8%","2,392","1,349","56.4%"
"    65 to 74 years","109,762","62,672","57.1%","2,632","1,734","65.9%","4,847","2,203","45.5%","3,837","2,019","52.6%","5,564","2,582","46.4%","3,780","1,438","38.0%","3,301","2,196","66.5%","5,871","3,843","65.5%","14,326","5,941","41.5%","2,081","1,523","73.2%","2,500","1,224","49.0%","1,538","1,050","68.3%"
"    75 years and over","101,802","64,588","63.4%","2,984","1,656","55.5%","7,240","4,094","56.5%","4,078","2,760","67.7%","5,406","3,156","58.4%","3,108","1,436","46.2%","3,459","1,875","54.2%","4,531","2,609","57.6%","15,704","8,626","54.9%","1,212","934","77.1%","2,103","1,497","71.2%","2,004","848","42.3%"
"    Mean income deficit for unrelated individuals (dollars)","7,848","(X)","(X)","8,357","(X)","(X)","7,184","(X)","(X)","7,137","(X)","(X)","7,832","(X)","(X)","7,619","(X)","(X)","9,167","(X)","(X)","8,258","(X)","(X)","8,375","(X)","(X)","7,475","(X)","(X)","6,873","(X)","(X)","7,243","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","142,214","15,073","10.6%","1,729","276","16.0%","9,979","1,088","10.9%","6,679","421","6.3%","11,105","611","5.5%","6,503","140","2.2%","3,129","312","10.0%","4,763","567","11.9%","25,333","2,256","8.9%","2,251","140","6.2%","4,886","373","7.6%","3,650","223","6.1%"
"    Worked less than full-time, year-round in the past 12 months","75,425","50,027","66.3%","3,157","2,080","65.9%","4,207","2,534","60.2%","3,892","3,032","77.9%","3,503","2,009","57.4%","2,695","1,199","44.5%","1,818","1,155","63.5%","3,056","2,065","67.6%","11,844","7,271","61.4%","360","217","60.3%","1,827","747","40.9%","1,581","1,116","70.6%"
"    Did not work","336,454","245,612","73.0%","11,237","8,234","73.3%","16,117","10,329","64.1%","12,236","8,972","73.3%","15,307","10,525","68.8%","8,692","5,471","62.9%","12,660","9,941","78.5%","16,250","12,556","77.3%","44,345","29,797","67.2%","4,791","4,085","85.3%","6,860","4,780","69.7%","4,983","3,387","68.0%"
