"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Below poverty level!!Estimate","Puerto Rico!!Percent below poverty level!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Below poverty level!!Estimate","Arecibo Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Below poverty level!!Estimate","Bayamón Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Below poverty level!!Estimate","Caguas Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Below poverty level!!Estimate","Carolina Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Below poverty level!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Below poverty level!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Below poverty level!!Estimate","Ponce Municipio, Puerto Rico!!Percent below poverty level!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Below poverty level!!Estimate","San Juan Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Below poverty level!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Below poverty level!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Below poverty level!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent below poverty level!!Estimate"
"        65 years and over","747,870","300,932","40.2%","20,299","7,903","38.9%","43,883","16,109","36.7%","28,068","12,257","43.7%","37,202","8,988","24.2%","22,741","7,306","32.1%","18,366","7,274","39.6%","32,797","14,857","45.3%","84,627","30,671","36.2%","11,247","3,131","27.8%","16,102","6,031","37.5%","14,590","4,852","33.3%"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","1,509,567","594,644","39.4%","40,200","14,621","36.4%","80,049","27,714","34.6%","58,317","22,442","38.5%","68,589","18,632","27.2%","41,513","11,760","28.3%","33,064","16,303","49.3%","59,023","29,053","49.2%","150,364","53,259","35.4%","30,925","8,396","27.1%","34,050","10,331","30.3%","31,115","9,650","31.0%"
"        Female","1,685,487","738,467","43.8%","43,898","16,367","37.3%","96,532","41,382","42.9%","66,329","27,343","41.2%","82,596","27,781","33.6%","47,259","14,119","29.9%","36,210","18,969","52.4%","69,133","39,065","56.5%","180,572","73,469","40.7%","34,960","10,095","28.9%","38,563","14,153","36.7%","35,489","10,552","29.7%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","841,937","352,796","41.9%","N","N","N","20,430","6,422","31.4%","44,735","14,616","32.7%","28,299","8,209","29.0%","10,187","1,734","17.0%","6,446","2,990","46.4%","30,813","16,020","52.0%","88,096","24,584","27.9%","N","N","N","5,009","1,476","29.5%","11,532","3,622","31.4%"
"        Black or African American alone","186,017","77,018","41.4%","N","N","N","10,129","3,452","34.1%","8,928","4,876","54.6%","16,329","5,374","32.9%","N","N","N","N","N","N","5,262","2,421","46.0%","40,353","21,733","53.9%","N","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","6,911","2,753","39.8%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","5,638","2,196","38.9%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","936,748","398,946","42.6%","17,845","9,327","52.3%","58,256","23,722","40.7%","32,840","16,648","50.7%","57,264","21,512","37.6%","20,540","5,795","28.2%","53,522","29,402","54.9%","20,822","10,179","48.9%","82,254","40,872","49.7%","24,814","6,289","25.3%","53,572","20,444","38.2%","19,908","5,041","25.3%"
"        Two or more races","1,217,710","499,309","41.0%","59,033","19,374","32.8%","86,967","35,157","40.4%","37,435","13,477","36.0%","48,206","10,940","22.7%","55,517","17,631","31.8%","7,472","1,860","24.9%","70,952","39,303","55.4%","118,107","38,529","32.6%","34,879","11,072","31.7%","10,946","2,172","19.8%","30,427","10,468","34.4%"
"        Hispanic or Latino origin (of any race)","3,163,832","1,325,374","41.9%","83,863","30,811","36.7%","175,102","68,293","39.0%","122,290","49,596","40.6%","148,496","45,865","30.9%","86,626","25,739","29.7%","69,124","35,272","51.0%","127,499","67,905","53.3%","324,196","125,290","38.6%","65,699","18,491","28.1%","72,107","24,451","33.9%","65,882","19,720","29.9%"
"        White alone, not Hispanic or Latino","17,584","4,051","23.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","2,383,169","910,196","38.2%","63,184","21,262","33.7%","132,996","46,511","35.0%","93,752","34,781","37.1%","114,324","29,039","25.4%","69,340","19,485","28.1%","48,001","20,405","42.5%","93,727","45,389","48.4%","250,531","86,374","34.5%","48,656","12,096","24.9%","54,226","16,750","30.9%","48,855","13,889","28.4%"
"            Less than high school graduate","433,630","277,989","64.1%","9,878","6,181","62.6%","19,639","11,405","58.1%","12,545","9,095","72.5%","12,153","5,622","46.3%","9,592","5,960","62.1%","9,899","6,160","62.2%","17,669","12,255","69.4%","34,745","22,183","63.8%","4,745","2,116","44.6%","6,845","4,040","59.0%","4,748","3,517","74.1%"
"            High school graduate (includes equivalency)","662,512","314,071","47.4%","18,384","8,104","44.1%","31,347","14,252","45.5%","23,469","11,073","47.2%","32,910","10,759","32.7%","11,116","5,627","50.6%","16,590","7,425","44.8%","27,424","16,302","59.4%","51,786","28,346","54.7%","13,450","4,104","30.5%","13,498","5,391","39.9%","6,806","2,973","43.7%"
"            Some college, associate's degree","572,764","206,572","36.1%","15,156","5,344","35.3%","38,862","14,356","36.9%","25,237","10,337","41.0%","30,197","7,412","24.5%","13,689","4,829","35.3%","9,420","4,138","43.9%","21,530","10,535","48.9%","53,500","19,055","35.6%","14,767","4,554","30.8%","18,077","5,558","30.7%","13,053","3,407","26.1%"
"            Bachelor's degree or higher","714,263","111,564","15.6%","19,766","1,633","8.3%","43,148","6,498","15.1%","32,501","4,276","13.2%","39,064","5,246","13.4%","34,943","3,069","8.8%","12,092","2,682","22.2%","27,104","6,297","23.2%","110,500","16,790","15.2%","15,694","1,322","8.4%","15,806","1,761","11.1%","24,248","3,992","16.5%"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","1,290,628","349,713","27.1%","32,735","8,153","24.9%","74,158","18,147","24.5%","52,700","14,060","26.7%","71,182","14,449","20.3%","42,168","7,017","16.6%","26,120","10,769","41.2%","42,890","15,574","36.3%","152,360","38,279","25.1%","31,453","5,538","17.6%","35,481","7,238","20.4%","32,341","6,385","19.7%"
"            Employed","1,162,875","267,243","23.0%","29,016","6,272","21.6%","68,324","13,816","20.2%","49,068","11,460","23.4%","63,785","10,652","16.7%","39,706","5,511","13.9%","20,380","6,328","31.1%","37,630","11,526","30.6%","137,332","29,074","21.2%","28,504","4,084","14.3%","32,493","5,779","17.8%","30,194","5,164","17.1%"
"                Male","605,367","136,593","22.6%","15,573","3,858","24.8%","32,820","5,820","17.7%","24,778","5,067","20.4%","31,844","4,850","15.2%","20,958","2,728","13.0%","10,617","3,319","31.3%","20,074","5,629","28.0%","68,629","14,692","21.4%","15,182","2,240","14.8%","15,808","2,567","16.2%","14,321","2,447","17.1%"
"                Female","557,508","130,650","23.4%","13,443","2,414","18.0%","35,504","7,996","22.5%","24,290","6,393","26.3%","31,941","5,802","18.2%","18,748","2,783","14.8%","9,763","3,009","30.8%","17,556","5,897","33.6%","68,703","14,382","20.9%","13,322","1,844","13.8%","16,685","3,212","19.3%","15,873","2,717","17.1%"
"            Unemployed","127,753","82,470","64.6%","3,719","1,881","50.6%","5,834","4,331","74.2%","3,632","2,600","71.6%","7,397","3,797","51.3%","2,462","1,506","61.2%","5,740","4,441","77.4%","5,260","4,048","77.0%","15,028","9,205","61.3%","2,949","1,454","49.3%","2,988","1,459","48.8%","2,147","1,221","56.9%"
"                Male","62,859","36,638","58.3%","2,039","700","34.3%","3,130","1,948","62.2%","1,502","958","63.8%","2,696","544","20.2%","1,351","676","50.0%","3,151","2,045","64.9%","3,266","2,185","66.9%","6,768","3,742","55.3%","1,475","746","50.6%","1,571","513","32.7%","730","465","63.7%"
"                Female","64,894","45,832","70.6%","1,680","1,181","70.3%","2,704","2,383","88.1%","2,130","1,642","77.1%","4,701","3,253","69.2%","1,111","830","74.7%","2,589","2,396","92.5%","1,994","1,863","93.4%","8,260","5,463","66.1%","1,474","708","48.0%","1,417","946","66.8%","1,417","756","53.4%"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","2,757,415","1,076,591","39.0%","72,852","24,592","33.8%","152,507","55,215","36.2%","108,284","41,492","38.3%","131,565","36,099","27.4%","78,762","22,105","28.1%","60,241","28,867","47.9%","108,440","53,739","49.6%","287,033","102,726","35.8%","56,690","13,572","23.9%","62,921","18,924","30.1%","58,764","18,405","31.3%"
"            Worked full-time, year-round in the past 12 months","787,531","94,855","12.0%","21,062","2,092","9.9%","49,068","5,755","11.7%","33,362","2,929","8.8%","48,371","4,304","8.9%","26,991","1,312","4.9%","11,569","1,712","14.8%","24,742","4,358","17.6%","94,622","12,078","12.8%","20,869","2,151","10.3%","20,758","1,003","4.8%","22,310","2,285","10.2%"
"            Worked part-time or part-year in the past 12 months","467,588","214,098","45.8%","10,632","4,661","43.8%","26,018","11,013","42.3%","20,002","10,211","51.0%","20,704","9,124","44.1%","14,915","5,308","35.6%","12,268","6,180","50.4%","15,257","8,627","56.5%","52,028","21,120","40.6%","9,417","2,710","28.8%","13,997","5,924","42.3%","10,607","4,696","44.3%"
"            Did not work","1,502,296","767,638","51.1%","41,158","17,839","43.3%","77,421","38,447","49.7%","54,920","28,352","51.6%","62,490","22,671","36.3%","36,856","15,485","42.0%","36,404","20,975","57.6%","68,441","40,754","59.5%","140,383","69,528","49.5%","26,404","8,711","33.0%","28,166","11,997","42.6%","25,847","11,424","44.2%"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","658,966","(X)","(X)","16,024","(X)","(X)","34,240","(X)","(X)","20,851","(X)","(X)","21,270","(X)","(X)","14,284","(X)","(X)","21,769","(X)","(X)","36,749","(X)","(X)","71,781","(X)","(X)","7,255","(X)","(X)","12,208","(X)","(X)","11,102","(X)","(X)"
"        125 percent of poverty level","1,621,521","(X)","(X)","37,759","(X)","(X)","82,128","(X)","(X)","58,128","(X)","(X)","60,924","(X)","(X)","29,548","(X)","(X)","40,868","(X)","(X)","79,800","(X)","(X)","153,585","(X)","(X)","22,238","(X)","(X)","30,173","(X)","(X)","23,569","(X)","(X)"
"        150 percent of poverty level","1,857,267","(X)","(X)","46,497","(X)","(X)","92,368","(X)","(X)","64,776","(X)","(X)","71,454","(X)","(X)","32,928","(X)","(X)","47,064","(X)","(X)","89,366","(X)","(X)","171,703","(X)","(X)","26,722","(X)","(X)","36,278","(X)","(X)","28,768","(X)","(X)"
"        185 percent of poverty level","2,134,558","(X)","(X)","55,375","(X)","(X)","107,117","(X)","(X)","74,241","(X)","(X)","85,232","(X)","(X)","37,988","(X)","(X)","52,654","(X)","(X)","97,218","(X)","(X)","194,714","(X)","(X)","33,126","(X)","(X)","43,391","(X)","(X)","36,167","(X)","(X)"
"        200 percent of poverty level","2,229,390","(X)","(X)","57,600","(X)","(X)","113,914","(X)","(X)","78,901","(X)","(X)","88,759","(X)","(X)","41,148","(X)","(X)","53,044","(X)","(X)","101,740","(X)","(X)","204,443","(X)","(X)","35,573","(X)","(X)","45,934","(X)","(X)","38,226","(X)","(X)"
"        300 percent of poverty level","2,684,136","(X)","(X)","70,066","(X)","(X)","145,515","(X)","(X)","95,324","(X)","(X)","120,542","(X)","(X)","54,065","(X)","(X)","62,362","(X)","(X)","113,718","(X)","(X)","251,574","(X)","(X)","47,153","(X)","(X)","60,475","(X)","(X)","48,781","(X)","(X)"
"        400 percent of poverty level","2,898,907","(X)","(X)","75,235","(X)","(X)","162,641","(X)","(X)","105,039","(X)","(X)","136,348","(X)","(X)","64,216","(X)","(X)","64,781","(X)","(X)","120,039","(X)","(X)","275,233","(X)","(X)","56,875","(X)","(X)","67,341","(X)","(X)","52,618","(X)","(X)"
"        500 percent of poverty level","3,003,573","(X)","(X)","78,482","(X)","(X)","166,624","(X)","(X)","109,287","(X)","(X)","142,015","(X)","(X)","70,551","(X)","(X)","66,800","(X)","(X)","124,830","(X)","(X)","289,962","(X)","(X)","61,364","(X)","(X)","69,235","(X)","(X)","57,739","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","648,060","342,578","52.9%","15,631","8,105","51.9%","39,303","18,912","48.1%","26,897","13,782","51.2%","33,374","11,569","34.7%","18,708","7,815","41.8%","18,698","13,304","71.2%","27,605","16,393","59.4%","103,572","48,562","46.9%","8,500","3,043","35.8%","13,939","6,395","45.9%","15,988","8,410","52.6%"
"    Male","293,095","138,208","47.2%","7,127","3,358","47.1%","16,917","6,856","40.5%","11,613","5,287","45.5%","14,672","3,589","24.5%","8,835","3,301","37.4%","9,494","6,863","72.3%","11,955","6,595","55.2%","45,078","20,764","46.1%","4,489","1,830","40.8%","6,247","2,592","41.5%","7,639","3,946","51.7%"
"    Female","354,965","204,370","57.6%","8,504","4,747","55.8%","22,386","12,056","53.9%","15,284","8,495","55.6%","18,702","7,980","42.7%","9,873","4,514","45.7%","9,204","6,441","70.0%","15,650","9,798","62.6%","58,494","27,798","47.5%","4,011","1,213","30.2%","7,692","3,803","49.4%","8,349","4,464","53.5%"
"    15 years","408","408","100.0%","0","0","-","86","86","100.0%","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","62","62","100.0%","0","0","-","0","0","-","0","0","-"
"    16 to 17 years","1,098","1,098","100.0%","0","0","-","125","125","100.0%","271","271","100.0%","149","149","100.0%","0","0","-","200","200","100.0%","0","0","-","177","177","100.0%","0","0","-","0","0","-","0","0","-"
"    18 to 24 years","24,550","17,933","73.0%","593","353","59.5%","1,653","651","39.4%","686","493","71.9%","1,334","710","53.2%","199","119","59.8%","4,232","3,581","84.6%","306","306","100.0%","4,959","3,901","78.7%","211","94","44.5%","757","290","38.3%","779","779","100.0%"
"    25 to 34 years","81,929","34,978","42.7%","2,069","1,020","49.3%","4,921","1,965","39.9%","3,082","1,099","35.7%","4,786","1,156","24.2%","3,376","746","22.1%","2,449","1,872","76.4%","3,390","2,250","66.4%","16,625","6,191","37.2%","1,100","498","45.3%","1,779","262","14.7%","3,235","1,873","57.9%"
"    35 to 44 years","76,894","31,066","40.4%","1,060","531","50.1%","3,744","1,335","35.7%","3,205","1,772","55.3%","4,539","1,186","26.1%","1,904","762","40.0%","1,396","544","39.0%","3,612","1,409","39.0%","10,841","4,648","42.9%","833","82","9.8%","1,869","760","40.7%","1,558","46","3.0%"
"    45 to 54 years","92,994","41,270","44.4%","2,667","743","27.9%","5,370","2,010","37.4%","3,929","1,928","49.1%","4,583","1,327","29.0%","2,895","926","32.0%","1,659","1,268","76.4%","4,205","2,631","62.6%","11,734","4,501","38.4%","1,823","551","30.2%","2,316","872","37.7%","2,270","803","35.4%"
"    55 to 64 years","120,746","68,652","56.9%","2,807","1,401","49.9%","7,840","4,296","54.8%","4,400","2,445","55.6%","6,347","2,726","42.9%","2,802","1,106","39.5%","3,077","2,123","69.0%","5,401","3,516","65.1%","19,040","8,633","45.3%","2,118","690","32.6%","1,512","755","49.9%","2,185","1,342","61.4%"
"    65 to 74 years","123,974","69,432","56.0%","2,779","1,977","71.1%","7,195","3,760","52.3%","5,229","2,566","49.1%","6,135","2,018","32.9%","3,503","1,863","53.2%","2,890","1,812","62.7%","5,595","3,138","56.1%","18,364","8,800","47.9%","1,509","753","49.9%","2,618","1,360","51.9%","3,636","1,987","54.6%"
"    75 years and over","125,467","77,741","62.0%","3,656","2,080","56.9%","8,369","4,684","56.0%","6,095","3,208","52.6%","5,501","2,297","41.8%","4,029","2,293","56.9%","2,795","1,904","68.1%","5,096","3,143","61.7%","21,770","11,649","53.5%","906","375","41.4%","3,088","2,096","67.9%","2,325","1,580","68.0%"
"    Mean income deficit for unrelated individuals (dollars)","8,574","(X)","(X)","8,958","(X)","(X)","8,153","(X)","(X)","7,828","(X)","(X)","7,835","(X)","(X)","8,109","(X)","(X)","10,423","(X)","(X)","9,324","(X)","(X)","8,557","(X)","(X)","8,318","(X)","(X)","8,259","(X)","(X)","9,218","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","187,963","21,047","11.2%","4,680","317","6.8%","12,753","1,400","11.0%","7,105","249","3.5%","14,651","1,089","7.4%","6,898","365","5.3%","2,348","644","27.4%","5,423","332","6.1%","35,596","6,486","18.2%","3,601","196","5.4%","4,224","39","0.9%","5,246","151","2.9%"
"    Worked less than full-time, year-round in the past 12 months","101,502","65,871","64.9%","1,917","1,172","61.1%","6,402","4,098","64.0%","4,461","3,075","68.9%","4,927","3,201","65.0%","3,277","1,614","49.3%","4,314","2,872","66.6%","4,290","3,153","73.5%","16,188","8,994","55.6%","738","375","50.8%","2,553","1,262","49.4%","2,735","2,138","78.2%"
"    Did not work","358,595","255,660","71.3%","9,034","6,616","73.2%","20,148","13,414","66.6%","15,331","10,458","68.2%","13,796","7,279","52.8%","8,533","5,836","68.4%","12,036","9,788","81.3%","17,892","12,908","72.1%","51,788","33,082","63.9%","4,161","2,472","59.4%","7,162","5,094","71.1%","8,007","6,121","76.4%"
"    Population in housing units for whom poverty status is determined","3,182,720","1,324,071","41.6%","83,370","30,458","36.5%","175,685","68,483","39.0%","124,126","49,452","39.8%","151,047","46,319","30.7%","88,380","25,582","28.9%","68,907","34,971","50.8%","127,633","67,908","53.2%","328,313","124,773","38.0%","65,722","18,359","27.9%","72,448","24,345","33.6%","66,055","19,728","29.9%"
