"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Below poverty level!!Estimate","Puerto Rico!!Percent below poverty level!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Below poverty level!!Estimate","Arecibo Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Below poverty level!!Estimate","Bayamón Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Below poverty level!!Estimate","Caguas Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Below poverty level!!Estimate","Carolina Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Below poverty level!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Below poverty level!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Below poverty level!!Estimate","Ponce Municipio, Puerto Rico!!Percent below poverty level!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Below poverty level!!Estimate","San Juan Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Below poverty level!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Below poverty level!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Below poverty level!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent below poverty level!!Estimate"
"        65 years and over","732,519","277,996","38.0%","20,268","8,453","41.7%","42,488","12,844","30.2%","27,591","8,575","31.1%","36,449","10,294","28.2%","21,921","4,863","22.2%","18,319","9,445","51.6%","32,820","14,453","44.0%","82,120","27,193","33.1%","10,723","5,136","47.9%","15,736","4,973","31.6%","14,057","3,254","23.1%"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","1,526,282","583,160","38.2%","40,615","18,039","44.4%","81,274","26,652","32.8%","58,255","20,022","34.4%","68,862","18,011","26.2%","40,982","10,440","25.5%","33,536","18,249","54.4%","62,581","27,704","44.3%","152,039","56,243","37.0%","31,622","9,145","28.9%","33,591","8,705","25.9%","30,792","6,564","21.3%"
"        Female","1,709,021","727,304","42.6%","45,497","18,607","40.9%","96,257","36,729","38.2%","67,819","26,424","39.0%","82,491","24,050","29.2%","47,924","12,410","25.9%","37,256","21,990","59.0%","70,063","33,843","48.3%","180,047","76,237","42.3%","35,715","12,124","33.9%","40,350","13,737","34.0%","36,054","11,657","32.3%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","904,157","376,501","41.6%","7,056","2,606","36.9%","16,516","4,667","28.3%","49,046","20,175","41.1%","28,828","7,374","25.6%","13,996","2,109","15.1%","5,217","1,534","29.4%","45,141","21,108","46.8%","83,289","25,528","30.6%","13,899","4,437","31.9%","10,397","2,915","28.0%","32,649","9,778","29.9%"
"        Black or African American alone","199,489","79,371","39.8%","N","N","N","8,759","2,091","23.9%","14,201","6,813","48.0%","23,980","8,114","33.8%","N","N","N","N","N","N","5,171","2,150","41.6%","33,903","16,277","48.0%","N","N","N","N","N","N","9,533","3,449","36.2%"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","962,141","418,483","43.5%","27,033","14,142","52.3%","65,092","26,620","40.9%","34,334","10,869","31.7%","55,988","15,659","28.0%","23,666","8,794","37.2%","56,742","34,806","61.3%","13,344","6,645","49.8%","110,879","55,494","50.0%","16,955","6,343","37.4%","41,662","14,210","34.1%","N","N","N"
"        Two or more races","1,156,482","430,563","37.2%","49,195","18,343","37.3%","87,038","30,003","34.5%","27,693","8,163","29.5%","41,871","10,702","25.6%","47,871","10,051","21.0%","7,274","2,882","39.6%","68,953","31,609","45.8%","103,114","35,101","34.0%","34,736","9,611","27.7%","17,554","4,193","23.9%","12,219","2,758","22.6%"
"        Hispanic or Latino origin (of any race)","3,211,194","1,302,659","40.6%","85,717","36,428","42.5%","176,760","63,206","35.8%","124,704","45,846","36.8%","150,599","41,747","27.7%","87,870","22,710","25.8%","70,552","40,100","56.8%","132,120","61,431","46.5%","326,000","130,126","39.9%","67,124","21,269","31.7%","73,751","22,331","30.3%","66,399","18,221","27.4%"
"        White alone, not Hispanic or Latino","14,771","5,295","35.8%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","2,380,723","876,722","36.8%","63,983","24,329","38.0%","132,402","39,820","30.1%","93,830","31,159","33.2%","114,117","27,765","24.3%","68,868","15,279","22.2%","48,975","24,822","50.7%","96,329","41,078","42.6%","248,982","86,925","34.9%","48,390","15,505","32.0%","54,659","14,857","27.2%","49,553","11,729","23.7%"
"            Less than high school graduate","481,805","284,773","59.1%","12,182","7,989","65.6%","18,661","8,616","46.2%","16,281","8,660","53.2%","14,571","6,071","41.7%","9,630","4,496","46.7%","14,099","9,989","70.8%","18,450","12,625","68.4%","38,317","21,751","56.8%","5,741","3,278","57.1%","10,044","4,193","41.7%","7,013","3,469","49.5%"
"            High school graduate (includes equivalency)","663,359","297,754","44.9%","19,969","8,233","41.2%","30,507","11,659","38.2%","27,029","10,488","38.8%","32,355","10,037","31.0%","12,323","4,766","38.7%","12,973","6,477","49.9%","25,648","14,621","57.0%","56,374","29,855","53.0%","12,512","5,303","42.4%","12,976","5,424","41.8%","9,908","1,663","16.8%"
"            Some college, associate's degree","553,635","189,736","34.3%","14,708","6,030","41.0%","41,443","13,334","32.2%","18,616","7,146","38.4%","29,080","8,336","28.7%","12,121","2,375","19.6%","9,815","4,405","44.9%","20,858","7,644","36.6%","54,252","20,897","38.5%","15,401","4,504","29.2%","16,684","4,058","24.3%","14,665","4,454","30.4%"
"            Bachelor's degree or higher","681,924","104,459","15.3%","17,124","2,077","12.1%","41,791","6,211","14.9%","31,904","4,865","15.2%","38,111","3,321","8.7%","34,794","3,642","10.5%","12,088","3,951","32.7%","31,373","6,188","19.7%","100,039","14,422","14.4%","14,736","2,420","16.4%","14,955","1,182","7.9%","17,967","2,143","11.9%"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","1,248,687","322,555","25.8%","28,953","6,635","22.9%","68,651","14,835","21.6%","52,533","11,923","22.7%","68,904","12,020","17.4%","38,048","5,097","13.4%","26,439","11,555","43.7%","47,302","13,772","29.1%","151,956","45,728","30.1%","31,381","7,039","22.4%","34,783","6,478","18.6%","33,051","5,401","16.3%"
"            Employed","1,085,333","227,842","21.0%","24,664","4,027","16.3%","62,737","11,196","17.8%","48,242","9,750","20.2%","59,206","7,915","13.4%","35,019","3,474","9.9%","20,435","7,308","35.8%","39,740","8,349","21.0%","129,775","29,618","22.8%","26,747","4,353","16.3%","31,144","5,186","16.7%","28,867","3,985","13.8%"
"                Male","557,721","110,141","19.7%","12,155","2,466","20.3%","30,716","4,910","16.0%","23,760","4,326","18.2%","28,092","3,833","13.6%","18,777","1,963","10.5%","11,599","3,811","32.9%","19,308","3,508","18.2%","66,459","12,832","19.3%","12,422","1,163","9.4%","15,610","2,182","14.0%","14,890","1,653","11.1%"
"                Female","527,612","117,701","22.3%","12,509","1,561","12.5%","32,021","6,286","19.6%","24,482","5,424","22.2%","31,114","4,082","13.1%","16,242","1,511","9.3%","8,836","3,497","39.6%","20,432","4,841","23.7%","63,316","16,786","26.5%","14,325","3,190","22.3%","15,534","3,004","19.3%","13,977","2,332","16.7%"
"            Unemployed","163,354","94,713","58.0%","4,289","2,608","60.8%","5,914","3,639","61.5%","4,291","2,173","50.6%","9,698","4,105","42.3%","3,029","1,623","53.6%","6,004","4,247","70.7%","7,562","5,423","71.7%","22,181","16,110","72.6%","4,634","2,686","58.0%","3,639","1,292","35.5%","4,184","1,416","33.8%"
"                Male","87,013","47,045","54.1%","2,592","1,479","57.1%","2,998","1,325","44.2%","2,949","1,162","39.4%","4,982","2,343","47.0%","1,101","773","70.2%","2,861","1,882","65.8%","4,016","2,463","61.3%","10,701","7,600","71.0%","2,436","1,029","42.2%","1,969","518","26.3%","1,479","295","19.9%"
"                Female","76,341","47,668","62.4%","1,697","1,129","66.5%","2,916","2,314","79.4%","1,342","1,011","75.3%","4,716","1,762","37.4%","1,928","850","44.1%","3,143","2,365","75.2%","3,546","2,960","83.5%","11,480","8,510","74.1%","2,198","1,657","75.4%","1,670","774","46.3%","2,705","1,121","41.4%"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","2,770,612","1,051,580","38.0%","73,367","29,031","39.6%","152,883","49,587","32.4%","107,691","35,883","33.3%","131,693","33,523","25.5%","78,496","17,996","22.9%","61,237","33,006","53.9%","111,650","49,439","44.3%","286,711","104,299","36.4%","56,833","17,946","31.6%","63,784","18,907","29.6%","57,043","13,786","24.2%"
"            Worked full-time, year-round in the past 12 months","698,951","62,403","8.9%","15,926","544","3.4%","42,102","4,753","11.3%","32,034","2,966","9.3%","43,862","2,853","6.5%","24,909","1,665","6.7%","11,967","2,166","18.1%","26,572","1,672","6.3%","74,946","4,597","6.1%","20,841","1,800","8.6%","19,555","1,217","6.2%","20,048","1,423","7.1%"
"            Worked part-time or part-year in the past 12 months","478,082","202,613","42.4%","10,304","4,406","42.8%","26,930","8,951","33.2%","19,826","8,575","43.3%","20,537","6,654","32.4%","11,557","2,293","19.8%","12,102","7,139","59.0%","16,657","7,991","48.0%","69,246","30,177","43.6%","7,138","3,002","42.1%","14,308","5,401","37.7%","11,408","4,082","35.8%"
"            Did not work","1,593,579","786,564","49.4%","47,137","24,081","51.1%","83,851","35,883","42.8%","55,831","24,342","43.6%","67,294","24,016","35.7%","42,030","14,038","33.4%","37,168","23,701","63.8%","68,421","39,776","58.1%","142,519","69,525","48.8%","28,854","13,144","45.6%","29,921","12,289","41.1%","25,587","8,281","32.4%"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","678,095","(X)","(X)","24,040","(X)","(X)","32,465","(X)","(X)","25,722","(X)","(X)","19,846","(X)","(X)","10,012","(X)","(X)","18,461","(X)","(X)","36,038","(X)","(X)","87,103","(X)","(X)","8,432","(X)","(X)","10,801","(X)","(X)","5,201","(X)","(X)"
"        125 percent of poverty level","1,610,731","(X)","(X)","44,720","(X)","(X)","79,374","(X)","(X)","59,005","(X)","(X)","55,143","(X)","(X)","27,691","(X)","(X)","47,028","(X)","(X)","73,539","(X)","(X)","156,923","(X)","(X)","28,260","(X)","(X)","29,967","(X)","(X)","25,001","(X)","(X)"
"        150 percent of poverty level","1,882,000","(X)","(X)","54,841","(X)","(X)","92,511","(X)","(X)","70,011","(X)","(X)","70,957","(X)","(X)","30,712","(X)","(X)","52,627","(X)","(X)","80,532","(X)","(X)","176,744","(X)","(X)","32,590","(X)","(X)","35,916","(X)","(X)","28,575","(X)","(X)"
"        185 percent of poverty level","2,165,518","(X)","(X)","58,964","(X)","(X)","105,949","(X)","(X)","79,498","(X)","(X)","86,210","(X)","(X)","34,031","(X)","(X)","57,518","(X)","(X)","92,314","(X)","(X)","201,430","(X)","(X)","40,139","(X)","(X)","43,427","(X)","(X)","35,285","(X)","(X)"
"        200 percent of poverty level","2,269,568","(X)","(X)","62,374","(X)","(X)","113,015","(X)","(X)","83,281","(X)","(X)","95,598","(X)","(X)","34,532","(X)","(X)","58,936","(X)","(X)","95,440","(X)","(X)","208,043","(X)","(X)","43,953","(X)","(X)","45,933","(X)","(X)","39,354","(X)","(X)"
"        300 percent of poverty level","2,743,361","(X)","(X)","79,054","(X)","(X)","146,501","(X)","(X)","101,107","(X)","(X)","124,161","(X)","(X)","48,904","(X)","(X)","63,705","(X)","(X)","111,356","(X)","(X)","253,839","(X)","(X)","54,814","(X)","(X)","59,057","(X)","(X)","51,355","(X)","(X)"
"        400 percent of poverty level","2,956,668","(X)","(X)","82,684","(X)","(X)","161,629","(X)","(X)","107,692","(X)","(X)","135,862","(X)","(X)","61,814","(X)","(X)","66,154","(X)","(X)","119,857","(X)","(X)","279,044","(X)","(X)","59,037","(X)","(X)","65,813","(X)","(X)","55,815","(X)","(X)"
"        500 percent of poverty level","3,060,558","(X)","(X)","83,952","(X)","(X)","167,745","(X)","(X)","113,533","(X)","(X)","141,702","(X)","(X)","70,717","(X)","(X)","67,626","(X)","(X)","124,600","(X)","(X)","292,643","(X)","(X)","65,316","(X)","(X)","70,269","(X)","(X)","61,159","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","601,485","328,124","54.6%","15,633","9,455","60.5%","31,729","15,692","49.5%","24,608","11,867","48.2%","33,202","12,766","38.4%","14,896","5,523","37.1%","17,235","11,532","66.9%","26,977","16,635","61.7%","84,635","39,125","46.2%","9,573","4,803","50.2%","14,585","6,873","47.1%","10,997","5,261","47.8%"
"    Male","272,522","137,338","50.4%","7,036","4,590","65.2%","12,859","6,169","48.0%","10,636","4,145","39.0%","14,830","5,685","38.3%","6,552","2,703","41.3%","8,499","5,330","62.7%","11,741","6,904","58.8%","38,205","16,511","43.2%","5,024","2,716","54.1%","6,538","2,603","39.8%","3,738","885","23.7%"
"    Female","328,963","190,786","58.0%","8,597","4,865","56.6%","18,870","9,523","50.5%","13,972","7,722","55.3%","18,372","7,081","38.5%","8,344","2,820","33.8%","8,736","6,202","71.0%","15,236","9,731","63.9%","46,430","22,614","48.7%","4,549","2,087","45.9%","8,047","4,270","53.1%","7,259","4,376","60.3%"
"    15 years","449","449","100.0%","0","0","-","0","0","-","0","0","-","390","390","100.0%","0","0","-","0","0","-","0","0","-","32","32","100.0%","0","0","-","0","0","-","0","0","-"
"    16 to 17 years","978","978","100.0%","47","47","100.0%","0","0","-","0","0","-","0","0","-","0","0","-","72","72","100.0%","0","0","-","42","42","100.0%","0","0","-","0","0","-","0","0","-"
"    18 to 24 years","21,725","16,783","77.3%","1,052","784","74.5%","1,145","866","75.6%","333","207","62.2%","1,458","876","60.1%","153","89","58.2%","4,056","3,386","83.5%","1,249","829","66.4%","2,654","2,228","83.9%","0","0","-","305","235","77.0%","385","385","100.0%"
"    25 to 34 years","69,145","30,970","44.8%","1,319","771","58.5%","3,726","2,028","54.4%","3,153","1,223","38.8%","5,109","961","18.8%","1,809","591","32.7%","1,737","1,114","64.1%","2,267","1,368","60.3%","12,470","4,868","39.0%","885","554","62.6%","1,508","382","25.3%","1,422","399","28.1%"
"    35 to 44 years","73,712","29,997","40.7%","2,696","1,112","41.2%","3,176","1,169","36.8%","3,362","1,054","31.4%","4,991","1,222","24.5%","1,917","676","35.3%","1,174","721","61.4%","3,634","2,030","55.9%","10,841","3,185","29.4%","1,437","566","39.4%","2,371","623","26.3%","1,420","849","59.8%"
"    45 to 54 years","87,521","43,923","50.2%","2,371","1,624","68.5%","4,105","2,013","49.0%","3,559","1,522","42.8%","5,488","1,942","35.4%","1,399","281","20.1%","1,105","483","43.7%","3,116","1,615","51.8%","12,263","5,769","47.0%","1,801","609","33.8%","1,859","746","40.1%","2,138","668","31.2%"
"    55 to 64 years","117,756","69,355","58.9%","2,859","1,766","61.8%","7,340","3,432","46.8%","4,910","2,644","53.8%","5,035","2,471","49.1%","3,126","932","29.8%","2,489","1,257","50.5%","5,021","3,053","60.8%","14,630","7,590","51.9%","2,295","1,152","50.2%","3,533","2,254","63.8%","1,679","816","48.6%"
"    65 to 74 years","119,377","66,572","55.8%","2,687","1,559","58.0%","5,645","2,737","48.5%","5,204","2,946","56.6%","5,743","2,683","46.7%","3,649","1,560","42.8%","2,851","1,795","63.0%","6,193","4,156","67.1%","15,821","6,371","40.3%","2,158","1,185","54.9%","2,869","1,536","53.5%","1,789","701","39.2%"
"    75 years and over","110,822","69,097","62.3%","2,602","1,792","68.9%","6,592","3,447","52.3%","4,087","2,271","55.6%","4,988","2,221","44.5%","2,843","1,394","49.0%","3,751","2,704","72.1%","5,497","3,584","65.2%","15,882","9,040","56.9%","997","737","73.9%","2,140","1,097","51.3%","2,164","1,443","66.7%"
"    Mean income deficit for unrelated individuals (dollars)","8,007","(X)","(X)","8,780","(X)","(X)","7,724","(X)","(X)","7,783","(X)","(X)","7,230","(X)","(X)","8,214","(X)","(X)","8,806","(X)","(X)","8,516","(X)","(X)","8,327","(X)","(X)","8,537","(X)","(X)","7,734","(X)","(X)","8,440","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","149,794","10,887","7.3%","2,959","156","5.3%","9,292","1,508","16.2%","7,100","189","2.7%","13,031","1,126","8.6%","4,777","0","0.0%","2,907","198","6.8%","5,153","264","5.1%","24,926","1,685","6.8%","3,164","253","8.0%","4,186","206","4.9%","3,512","92","2.6%"
"    Worked less than full-time, year-round in the past 12 months","94,597","61,752","65.3%","2,579","1,595","61.8%","4,356","2,575","59.1%","4,249","2,439","57.4%","5,397","2,957","54.8%","1,901","532","28.0%","3,305","2,150","65.1%","3,783","2,218","58.6%","19,766","12,290","62.2%","1,559","1,272","81.6%","2,973","1,875","63.1%","976","486","49.8%"
"    Did not work","357,094","255,485","71.5%","10,095","7,704","76.3%","18,081","11,609","64.2%","13,259","9,239","69.7%","14,774","8,683","58.8%","8,218","4,991","60.7%","11,023","9,184","83.3%","18,041","14,153","78.4%","39,943","25,150","63.0%","4,850","3,278","67.6%","7,426","4,792","64.5%","6,509","4,683","71.9%"
"    Population in housing units for whom poverty status is determined","3,224,869","1,301,154","40.3%","85,478","36,012","42.1%","176,752","62,616","35.4%","125,581","45,953","36.6%","151,277","41,985","27.8%","88,500","22,444","25.4%","70,432","39,879","56.6%","131,657","60,600","46.0%","329,701","130,493","39.6%","67,178","21,110","31.4%","73,783","22,327","30.3%","66,348","17,723","26.7%"
