"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii County, Hawaii!!Employment/Population Ratio!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Labor Force Participation Rate!!Estimate","Honolulu County, Hawaii!!Employment/Population Ratio!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Labor Force Participation Rate!!Estimate","Kauai County, Hawaii!!Employment/Population Ratio!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Labor Force Participation Rate!!Estimate","Maui County, Hawaii!!Employment/Population Ratio!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"        White alone, not Hispanic or Latino","264,492","61.7%","50.9%","3.5%","57,699","47.6%","45.1%","5.0%","147,430","68.0%","50.2%","3.5%","18,573","65.8%","63.7%","3.2%","40,748","57.1%","55.8%","1.8%"
"Population 20 to 64 years","810,543","81.6%","73.3%","3.3%","109,063","74.4%","71.3%","3.7%","572,183","82.6%","72.2%","3.1%","N","N","N","N","89,982","81.0%","77.6%","4.0%"
"    SEX","","","","","","","","","","","","","","","","","","","",""
"        Male","412,879","84.8%","72.2%","3.7%","52,950","74.6%","70.1%","5.3%","295,389","86.5%","70.4%","3.5%","N","N","N","N","44,915","85.2%","81.8%","3.5%"
"        Female","397,664","78.2%","74.4%","2.8%","56,113","74.3%","72.5%","2.2%","276,794","78.4%","74.1%","2.6%","N","N","N","N","45,067","76.9%","73.4%","4.5%"
"            With own children under 18 years","128,198","77.1%","73.9%","2.6%","19,326","75.7%","72.3%","4.6%","88,376","76.6%","73.4%","2.0%","N","N","N","N","14,170","74.6%","72.2%","3.3%"
"                With own children under 6 years only","27,709","66.0%","61.9%","2.4%","2,465","57.4%","56.7%","1.2%","20,538","66.1%","60.8%","3.0%","N","N","N","N","3,338","59.8%","59.0%","1.3%"
"                With own children under 6 years and 6 to 17  years","24,829","68.3%","64.6%","3.1%","3,882","79.3%","79.3%","0.0%","17,056","62.4%","59.2%","1.4%","N","N","N","N","2,242","76.5%","67.8%","11.4%"
"                With own children 6 to 17 years only","75,660","84.0%","81.3%","2.5%","12,979","78.1%","73.1%","6.4%","50,782","85.6%","83.2%","1.9%","N","N","N","N","8,590","79.9%","78.4%","1.9%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"        Below poverty level","75,278","43.9%","35.1%","18.0%","18,041","38.2%","31.1%","18.7%","45,557","44.7%","36.0%","16.0%","N","N","N","N","8,631","48.1%","35.8%","25.6%"
"        At or above the poverty level","714,616","85.8%","79.0%","2.4%","90,144","82.3%","79.9%","2.3%","507,616","86.2%","77.5%","2.5%","N","N","N","N","80,766","85.1%","82.6%","2.7%"
"    DISABILITY STATUS","","","","","","","","","","","","","","","","","","","",""
"        With any disability","71,350","49.7%","43.0%","8.2%","15,548","42.1%","38.4%","8.7%","47,334","52.4%","45.4%","5.7%","N","N","N","N","7,107","50.9%","39.8%","21.9%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","725,668","81.6%","75.1%","3.0%","100,003","74.4%","71.9%","3.4%","507,285","82.8%","74.7%","2.9%","35,400","86.8%","84.8%","2.2%","82,940","80.3%","77.4%","3.5%"
"        Less than high school graduate","39,628","66.7%","63.3%","5.0%","5,622","46.2%","41.8%","9.6%","27,354","67.0%","63.1%","5.6%","1,864","95.4%","95.4%","0.0%","4,781","78.0%","76.9%","1.5%"
"        High school graduate (includes equivalency)","199,671","75.0%","69.2%","4.1%","32,809","68.9%","64.1%","6.8%","127,392","75.7%","68.5%","3.8%","12,325","85.1%","82.8%","2.7%","27,138","74.6%","72.1%","3.4%"
"        Some college or associate's degree","209,154","82.2%","74.0%","3.0%","30,124","78.3%","76.2%","2.6%","145,490","82.6%","71.9%","3.1%","11,319","84.2%","81.8%","2.8%","22,206","83.4%","80.6%","2.9%"
"        Bachelor's degree or higher","277,215","88.0%","81.9%","2.1%","31,448","81.6%","81.3%","0.4%","207,049","89.4%","82.0%","2.1%","9,892","90.2%","88.8%","1.6%","28,815","83.7%","79.9%","4.4%"
