"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate"
"        $75,000 to $99,999","62,750","13.5%","39,267","14.0%","23,483","12.7%","9,339","13.1%","7,566","15.2%","1,773","8.3%","42,616","13.5%","24,560","13.5%","18,056","13.4%","2,733","11.9%","2,178","14.1%","555","7.4%","8,054","14.7%","4,963","14.9%","3,091","14.4%"
"        $100,000 to $149,999","92,806","19.9%","64,410","23.0%","28,396","15.3%","11,917","16.7%","9,689","19.5%","2,228","10.4%","65,353","20.7%","43,423","23.9%","21,930","16.3%","5,289","23.1%","3,770","24.4%","1,519","20.3%","10,247","18.7%","7,528","22.6%","2,719","12.7%"
"        $150,000 or more","98,534","21.2%","79,090","28.3%","19,444","10.5%","11,230","15.8%","9,293","18.7%","1,937","9.0%","72,575","22.9%","57,731","31.8%","14,844","11.0%","4,056","17.7%","3,224","20.9%","832","11.1%","10,673","19.5%","8,842","26.6%","1,831","8.5%"
"        Median household income (dollars)","83,102","83,102","101,537","101,537","60,844","60,844","67,075","67,075","80,159","80,159","44,150","44,150","87,470","87,470","111,560","111,560","64,573","64,573","81,971","81,971","92,742","92,742","57,670","57,670","80,754","80,754","97,404","97,404","58,520","58,520"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $300","24,691","5.3%","17,022","6.1%","7,669","4.1%","9,172","12.9%","7,847","15.8%","1,325","6.2%","9,940","3.1%","4,760","2.6%","5,180","3.8%","1,629","7.1%","1,408","9.1%","N","N","3,950","7.2%","3,007","9.0%","943","4.4%"
"        $300 to $499","33,875","7.3%","29,236","10.4%","4,639","2.5%","7,593","10.7%","6,511","13.1%","1,082","5.0%","18,893","6.0%","16,562","9.1%","2,331","1.7%","2,801","12.2%","2,303","14.9%","N","N","4,588","8.4%","3,860","11.6%","728","3.4%"
"        $500 to $799","45,616","9.8%","35,507","12.7%","10,109","5.5%","7,133","10.0%","5,716","11.5%","1,417","6.6%","32,207","10.2%","25,104","13.8%","7,103","5.3%","2,476","10.8%","1,995","12.9%","N","N","3,800","6.9%","2,692","8.1%","1,108","5.2%"
"        $800 to $999","26,694","5.7%","15,826","5.7%","10,868","5.9%","5,017","7.0%","2,829","5.7%","2,188","10.2%","17,843","5.6%","10,821","6.0%","7,022","5.2%","1,507","6.6%","790","5.1%","N","N","2,327","4.3%","1,386","4.2%","941","4.4%"
"        $1,000 to $1,499","73,412","15.8%","29,145","10.4%","44,267","23.9%","14,849","20.9%","6,983","14.0%","7,866","36.6%","46,650","14.7%","16,721","9.2%","29,929","22.2%","3,740","16.3%","1,769","11.5%","N","N","8,173","14.9%","3,672","11.0%","4,501","21.0%"
"        $1,500 to $1,999","64,824","13.9%","30,758","11.0%","34,066","18.4%","9,377","13.2%","7,222","14.5%","2,155","10.0%","42,987","13.6%","18,026","9.9%","24,961","18.5%","2,969","13.0%","1,458","9.4%","N","N","9,491","17.3%","4,052","12.2%","5,439","25.4%"
"        $2,000 to $2,499","59,608","12.8%","33,425","11.9%","26,183","14.1%","7,098","10.0%","5,080","10.2%","2,018","9.4%","42,701","13.5%","22,505","12.4%","20,196","15.0%","2,328","10.2%","1,758","11.4%","N","N","7,481","13.7%","4,082","12.3%","3,399","15.8%"
"        $2,500 to $2,999","45,775","9.8%","27,246","9.7%","18,529","10.0%","4,631","6.5%","3,298","6.6%","1,333","6.2%","36,100","11.4%","20,295","11.2%","15,805","11.7%","1,542","6.7%","1,058","6.9%","N","N","3,502","6.4%","2,595","7.8%","907","4.2%"
"        $3,000 or more","81,086","17.4%","61,795","22.1%","19,291","10.4%","4,296","6.0%","4,222","8.5%","74","0.3%","64,704","20.4%","46,740","25.7%","17,964","13.3%","3,167","13.8%","2,890","18.7%","N","N","8,919","16.3%","7,943","23.9%","976","4.5%"
"        No cash rent","9,718","2.1%","(X)","(X)","9,718","5.2%","2,027","2.8%","(X)","(X)","2,027","9.4%","4,431","1.4%","(X)","(X)","4,431","3.3%","739","3.2%","(X)","(X)","N","N","2,513","4.6%","(X)","(X)","2,513","11.7%"
"        Median (dollars)","1,665","1,665","1,713","1,713","1,651","1,651","1,178","1,178","1,134","1,134","1,215","1,215","1,847","1,847","1,971","1,971","1,774","1,774","1,326","1,326","1,327","1,327","1,326","1,326","1,650","1,650","1,763","1,763","1,615","1,615"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","40,598","8.7%","14,762","5.3%","25,836","13.9%","9,079","12.8%","4,605","9.3%","4,474","20.8%","25,157","7.9%","7,302","4.0%","17,855","13.2%","1,389","6.1%","797","5.2%","592","7.9%","4,973","9.1%","2,058","6.2%","2,915","13.6%"
"            Less than 20 percent","2,312","0.5%","1,197","0.4%","1,115","0.6%","1,180","1.7%","721","1.5%","459","2.1%","724","0.2%","235","0.1%","489","0.4%","101","0.4%","0","0.0%","101","1.4%","307","0.6%","241","0.7%","66","0.3%"
"            20 to 29 percent","4,235","0.9%","637","0.2%","3,598","1.9%","543","0.8%","123","0.2%","420","2.0%","2,823","0.9%","179","0.1%","2,644","2.0%","74","0.3%","74","0.5%","0","0.0%","795","1.5%","261","0.8%","534","2.5%"
"            30 percent or more","34,051","7.3%","12,928","4.6%","21,123","11.4%","7,356","10.3%","3,761","7.6%","3,595","16.7%","21,610","6.8%","6,888","3.8%","14,722","10.9%","1,214","5.3%","723","4.7%","491","6.6%","3,871","7.1%","1,556","4.7%","2,315","10.8%"
"        $20,000 to $34,999","43,616","9.4%","20,633","7.4%","22,983","12.4%","9,361","13.1%","5,890","11.8%","3,471","16.2%","27,392","8.7%","11,865","6.5%","15,527","11.5%","1,983","8.7%","896","5.8%","1,087","14.6%","4,880","8.9%","1,982","6.0%","2,898","13.5%"
"            Less than 20 percent","5,572","1.2%","4,506","1.6%","1,066","0.6%","1,993","2.8%","1,860","3.7%","133","0.6%","2,384","0.8%","1,514","0.8%","870","0.6%","411","1.8%","411","2.7%","0","0.0%","784","1.4%","721","2.2%","63","0.3%"
"            20 to 29 percent","6,905","1.5%","4,267","1.5%","2,638","1.4%","1,674","2.4%","1,474","3.0%","200","0.9%","3,817","1.2%","2,505","1.4%","1,312","1.0%","868","3.8%","219","1.4%","649","8.7%","546","1.0%","69","0.2%","477","2.2%"
"            30 percent or more","31,139","6.7%","11,860","4.2%","19,279","10.4%","5,694","8.0%","2,556","5.1%","3,138","14.6%","21,191","6.7%","7,846","4.3%","13,345","9.9%","704","3.1%","266","1.7%","438","5.9%","3,550","6.5%","1,192","3.6%","2,358","11.0%"
"        $35,000 to $49,999","39,244","8.4%","19,534","7.0%","19,710","10.6%","6,785","9.5%","4,648","9.4%","2,137","9.9%","25,471","8.0%","10,727","5.9%","14,744","10.9%","2,579","11.3%","1,373","8.9%","1,206","16.1%","4,409","8.1%","2,786","8.4%","1,623","7.6%"
"            Less than 20 percent","9,463","2.0%","8,050","2.9%","1,413","0.8%","2,635","3.7%","2,267","4.6%","368","1.7%","4,882","1.5%","4,064","2.2%","818","0.6%","727","3.2%","617","4.0%","110","1.5%","1,219","2.2%","1,102","3.3%","117","0.5%"
"            20 to 29 percent","5,572","1.2%","2,804","1.0%","2,768","1.5%","1,096","1.5%","730","1.5%","366","1.7%","3,464","1.1%","1,770","1.0%","1,694","1.3%","398","1.7%","18","0.1%","380","5.1%","614","1.1%","286","0.9%","328","1.5%"
"            30 percent or more","24,209","5.2%","8,680","3.1%","15,529","8.4%","3,054","4.3%","1,651","3.3%","1,403","6.5%","17,125","5.4%","4,893","2.7%","12,232","9.1%","1,454","6.3%","738","4.8%","716","9.6%","2,576","4.7%","1,398","4.2%","1,178","5.5%"
"        $50,000 to $74,999","76,696","16.5%","40,526","14.5%","36,170","19.5%","11,162","15.7%","7,432","15.0%","3,730","17.4%","51,968","16.4%","25,179","13.9%","26,789","19.9%","4,113","18.0%","3,018","19.6%","1,095","14.7%","9,453","17.3%","4,897","14.7%","4,556","21.2%"
"            Less than 20 percent","21,273","4.6%","16,968","6.1%","4,305","2.3%","4,784","6.7%","3,654","7.4%","1,130","5.3%","12,822","4.1%","10,344","5.7%","2,478","1.8%","1,247","5.4%","1,164","7.5%","83","1.1%","2,420","4.4%","1,806","5.4%","614","2.9%"
"            20 to 29 percent","14,722","3.2%","5,325","1.9%","9,397","5.1%","2,781","3.9%","1,494","3.0%","1,287","6.0%","9,854","3.1%","3,195","1.8%","6,659","4.9%","721","3.1%","377","2.4%","344","4.6%","1,366","2.5%","259","0.8%","1,107","5.2%"
"            30 percent or more","40,701","8.7%","18,233","6.5%","22,468","12.1%","3,597","5.1%","2,284","4.6%","1,313","6.1%","29,292","9.3%","11,640","6.4%","17,652","13.1%","2,145","9.4%","1,477","9.6%","668","8.9%","5,667","10.4%","2,832","8.5%","2,835","13.2%"
"        $75,000 or more","250,447","53.8%","182,767","65.3%","67,680","36.5%","31,951","44.9%","26,548","53.4%","5,403","25.1%","178,869","56.5%","125,714","69.3%","53,155","39.4%","11,813","51.6%","9,172","59.4%","2,641","35.4%","27,814","50.8%","21,333","64.1%","6,481","30.2%"
"            Less than 20 percent","136,484","29.3%","105,743","37.8%","30,741","16.6%","22,111","31.1%","18,178","36.6%","3,933","18.3%","90,852","28.7%","69,503","38.3%","21,349","15.8%","7,511","32.8%","5,568","36.1%","1,943","26.0%","16,010","29.2%","12,494","37.5%","3,516","16.4%"
"            20 to 29 percent","66,654","14.3%","43,435","15.5%","23,219","12.5%","6,165","8.7%","5,182","10.4%","983","4.6%","51,745","16.4%","32,085","17.7%","19,660","14.6%","2,404","10.5%","2,003","13.0%","401","5.4%","6,340","11.6%","4,165","12.5%","2,175","10.1%"
"            30 percent or more","47,309","10.2%","33,589","12.0%","13,720","7.4%","3,675","5.2%","3,188","6.4%","487","2.3%","36,272","11.5%","24,126","13.3%","12,146","9.0%","1,898","8.3%","1,601","10.4%","297","4.0%","5,464","10.0%","4,674","14.0%","790","3.7%"
"        Zero or negative income","4,980","1.1%","1,738","0.6%","3,242","1.7%","828","1.2%","585","1.2%","243","1.1%","3,168","1.0%","747","0.4%","2,421","1.8%","282","1.2%","173","1.1%","109","1.5%","702","1.3%","233","0.7%","469","2.2%"
"        No cash rent","9,718","2.1%","(X)","(X)","9,718","5.2%","2,027","2.8%","(X)","(X)","2,027","9.4%","4,431","1.4%","(X)","(X)","4,431","3.3%","739","3.2%","(X)","(X)","739","9.9%","2,513","4.6%","(X)","(X)","2,513","11.7%"
