"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate"
"        $150,000 or more","116,555","23.8%","95,306","31.1%","21,249","11.6%","12,324","17.1%","10,489","19.8%","1,835","9.5%","86,228","25.5%","69,790","34.8%","16,438","12.0%","4,632","19.7%","3,579","23.3%","1,053","13.0%","13,371","23.7%","11,448","30.3%","1,923","10.4%"
"        Median household income (dollars)","84,857","84,857","102,536","102,536","61,905","61,905","69,473","69,473","74,697","74,697","48,622","48,622","90,704","90,704","113,129","113,129","65,690","65,690","80,582","80,582","90,074","90,074","60,797","60,797","76,273","76,273","95,374","95,374","48,477","48,477"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $300","20,141","4.1%","15,989","5.2%","4,152","2.3%","7,427","10.3%","7,130","13.5%","N","N","7,893","2.3%","4,357","2.2%","3,536","2.6%","725","3.1%","590","3.8%","N","N","4,096","7.3%","3,912","10.4%","184","1.0%"
"        $300 to $499","31,501","6.4%","26,753","8.7%","4,748","2.6%","6,972","9.7%","6,436","12.2%","N","N","17,636","5.2%","14,065","7.0%","3,571","2.6%","2,492","10.6%","2,178","14.2%","N","N","4,401","7.8%","4,074","10.8%","327","1.8%"
"        $500 to $799","48,020","9.8%","40,415","13.2%","7,605","4.1%","9,102","12.6%","6,983","13.2%","N","N","30,361","9.0%","26,683","13.3%","3,678","2.7%","2,302","9.8%","2,077","13.5%","N","N","6,255","11.1%","4,672","12.4%","1,583","8.5%"
"        $800 to $999","27,918","5.7%","17,766","5.8%","10,152","5.5%","6,807","9.4%","4,117","7.8%","N","N","17,533","5.2%","11,816","5.9%","5,717","4.2%","1,712","7.3%","1,129","7.3%","N","N","1,866","3.3%","704","1.9%","1,162","6.3%"
"        $1,000 to $1,499","72,594","14.8%","33,798","11.0%","38,796","21.2%","14,066","19.5%","8,845","16.7%","N","N","46,221","13.7%","19,128","9.5%","27,093","19.7%","3,640","15.5%","1,522","9.9%","N","N","8,667","15.4%","4,303","11.4%","4,364","23.5%"
"        $1,500 to $1,999","70,353","14.4%","32,816","10.7%","37,537","20.5%","9,521","13.2%","5,296","10.0%","N","N","50,578","15.0%","22,391","11.2%","28,187","20.5%","2,742","11.7%","1,683","11.0%","N","N","7,512","13.3%","3,446","9.1%","4,066","21.9%"
"        $2,000 to $2,499","57,014","11.6%","34,321","11.2%","22,693","12.4%","6,512","9.0%","5,232","9.9%","N","N","39,955","11.8%","22,095","11.0%","17,860","13.0%","2,893","12.3%","1,717","11.2%","N","N","7,654","13.6%","5,277","14.0%","2,377","12.8%"
"        $2,500 to $2,999","51,992","10.6%","31,994","10.4%","19,998","10.9%","3,436","4.8%","3,054","5.8%","N","N","40,520","12.0%","23,257","11.6%","17,263","12.6%","2,595","11.1%","1,530","10.0%","N","N","5,441","9.7%","4,153","11.0%","1,288","6.9%"
"        $3,000 or more","99,232","20.2%","72,801","23.7%","26,431","14.4%","6,610","9.2%","5,869","11.1%","N","N","80,385","23.8%","56,752","28.3%","23,633","17.2%","3,604","15.4%","2,940","19.1%","N","N","8,633","15.3%","7,240","19.2%","1,393","7.5%"
"        No cash rent","11,315","2.3%","(X)","(X)","11,315","6.2%","1,741","2.4%","(X)","(X)","N","N","7,011","2.1%","(X)","(X)","7,011","5.1%","759","3.2%","(X)","(X)","N","N","1,794","3.2%","(X)","(X)","1,794","9.7%"
"        Median (dollars)","1,765","1,765","1,790","1,790","1,774","1,774","1,191","1,191","1,105","1,105","1,328","1,328","1,951","1,951","2,041","2,041","1,884","1,884","1,575","1,575","1,554","1,554","1,639","1,639","1,633","1,633","1,680","1,680","1,592","1,592"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","45,174","9.2%","19,352","6.3%","25,822","14.1%","9,643","13.4%","5,980","11.3%","3,663","19.0%","28,038","8.3%","9,137","4.6%","18,901","13.7%","1,732","7.4%","840","5.5%","892","11.0%","5,761","10.2%","3,395","9.0%","2,366","12.8%"
"            Less than 20 percent","2,306","0.5%","1,827","0.6%","479","0.3%","1,335","1.8%","1,219","2.3%","116","0.6%","629","0.2%","266","0.1%","363","0.3%","113","0.5%","113","0.7%","0","0.0%","229","0.4%","229","0.6%","0","0.0%"
"            20 to 29 percent","3,965","0.8%","1,897","0.6%","2,068","1.1%","1,391","1.9%","1,051","2.0%","340","1.8%","2,168","0.6%","597","0.3%","1,571","1.1%","119","0.5%","47","0.3%","72","0.9%","287","0.5%","202","0.5%","85","0.5%"
"            30 percent or more","38,903","7.9%","15,628","5.1%","23,275","12.7%","6,917","9.6%","3,710","7.0%","3,207","16.7%","25,241","7.5%","8,274","4.1%","16,967","12.3%","1,500","6.4%","680","4.4%","820","10.1%","5,245","9.3%","2,964","7.8%","2,281","12.3%"
"        $20,000 to $34,999","37,924","7.7%","18,757","6.1%","19,167","10.4%","5,902","8.2%","3,804","7.2%","2,098","10.9%","23,917","7.1%","11,379","5.7%","12,538","9.1%","2,681","11.4%","1,065","6.9%","1,616","20.0%","5,424","9.6%","2,509","6.6%","2,915","15.7%"
"            Less than 20 percent","4,403","0.9%","3,859","1.3%","544","0.3%","1,379","1.9%","1,293","2.4%","86","0.4%","2,227","0.7%","1,817","0.9%","410","0.3%","125","0.5%","77","0.5%","48","0.6%","672","1.2%","672","1.8%","0","0.0%"
"            20 to 29 percent","3,912","0.8%","2,012","0.7%","1,900","1.0%","652","0.9%","286","0.5%","366","1.9%","2,409","0.7%","1,378","0.7%","1,031","0.7%","391","1.7%","188","1.2%","203","2.5%","460","0.8%","160","0.4%","300","1.6%"
"            30 percent or more","29,609","6.0%","12,886","4.2%","16,723","9.1%","3,871","5.4%","2,225","4.2%","1,646","8.6%","19,281","5.7%","8,184","4.1%","11,097","8.1%","2,165","9.2%","800","5.2%","1,365","16.9%","4,292","7.6%","1,677","4.4%","2,615","14.1%"
"        $35,000 to $49,999","44,217","9.0%","22,259","7.3%","21,958","12.0%","7,761","10.8%","4,940","9.3%","2,821","14.7%","28,696","8.5%","13,108","6.5%","15,588","11.3%","2,117","9.0%","1,529","10.0%","588","7.3%","5,643","10.0%","2,682","7.1%","2,961","16.0%"
"            Less than 20 percent","8,214","1.7%","7,004","2.3%","1,210","0.7%","1,885","2.6%","1,475","2.8%","410","2.1%","4,511","1.3%","3,791","1.9%","720","0.5%","517","2.2%","492","3.2%","25","0.3%","1,301","2.3%","1,246","3.3%","55","0.3%"
"            20 to 29 percent","5,520","1.1%","2,795","0.9%","2,725","1.5%","1,411","2.0%","666","1.3%","745","3.9%","2,456","0.7%","1,471","0.7%","985","0.7%","469","2.0%","408","2.7%","61","0.8%","1,184","2.1%","250","0.7%","934","5.0%"
"            30 percent or more","30,483","6.2%","12,460","4.1%","18,023","9.8%","4,465","6.2%","2,799","5.3%","1,666","8.7%","21,729","6.4%","7,846","3.9%","13,883","10.1%","1,131","4.8%","629","4.1%","502","6.2%","3,158","5.6%","1,186","3.1%","1,972","10.6%"
"        $50,000 to $74,999","75,622","15.4%","43,157","14.1%","32,465","17.7%","12,762","17.7%","10,571","20.0%","2,191","11.4%","50,589","15.0%","24,123","12.0%","26,466","19.2%","3,149","13.4%","2,060","13.4%","1,089","13.4%","9,122","16.2%","6,403","16.9%","2,719","14.7%"
"            Less than 20 percent","21,428","4.4%","17,689","5.8%","3,739","2.0%","7,025","9.7%","6,704","12.7%","321","1.7%","10,043","3.0%","7,362","3.7%","2,681","1.9%","863","3.7%","787","5.1%","76","0.9%","3,497","6.2%","2,836","7.5%","661","3.6%"
"            20 to 29 percent","12,936","2.6%","5,302","1.7%","7,634","4.2%","2,299","3.2%","1,467","2.8%","832","4.3%","9,166","2.7%","2,839","1.4%","6,327","4.6%","462","2.0%","247","1.6%","215","2.7%","1,009","1.8%","749","2.0%","260","1.4%"
"            30 percent or more","41,258","8.4%","20,166","6.6%","21,092","11.5%","3,438","4.8%","2,400","4.5%","1,038","5.4%","31,380","9.3%","13,922","6.9%","17,458","12.7%","1,824","7.8%","1,026","6.7%","798","9.9%","4,616","8.2%","2,818","7.5%","1,798","9.7%"
"        $75,000 or more","268,999","54.9%","199,425","65.0%","69,574","37.9%","32,805","45.4%","26,373","49.8%","6,432","33.4%","195,447","57.8%","140,835","70.2%","54,612","39.7%","12,662","54.0%","9,525","62.0%","3,137","38.7%","28,085","49.9%","22,692","60.1%","5,393","29.1%"
"            Less than 20 percent","147,038","30.0%","117,861","38.4%","29,177","15.9%","21,270","29.5%","17,727","33.5%","3,543","18.4%","101,284","30.0%","79,776","39.8%","21,508","15.6%","7,496","31.9%","6,202","40.4%","1,294","16.0%","16,988","30.2%","14,156","37.5%","2,832","15.3%"
"            20 to 29 percent","67,502","13.8%","45,987","15.0%","21,515","11.7%","7,087","9.8%","5,084","9.6%","2,003","10.4%","50,870","15.0%","33,785","16.8%","17,085","12.4%","3,001","12.8%","1,994","13.0%","1,007","12.4%","6,544","11.6%","5,124","13.6%","1,420","7.7%"
"            30 percent or more","54,459","11.1%","35,577","11.6%","18,882","10.3%","4,448","6.2%","3,562","6.7%","886","4.6%","43,293","12.8%","27,274","13.6%","16,019","11.6%","2,165","9.2%","1,329","8.6%","836","10.3%","4,553","8.1%","3,412","9.0%","1,141","6.2%"
"        Zero or negative income","6,829","1.4%","3,703","1.2%","3,126","1.7%","1,580","2.2%","1,294","2.4%","286","1.5%","4,395","1.3%","1,962","1.0%","2,433","1.8%","364","1.6%","347","2.3%","17","0.2%","490","0.9%","100","0.3%","390","2.1%"
"        No cash rent","11,315","2.3%","(X)","(X)","11,315","6.2%","1,741","2.4%","(X)","(X)","1,741","9.1%","7,011","2.1%","(X)","(X)","7,011","5.1%","759","3.2%","(X)","(X)","759","9.4%","1,794","3.2%","(X)","(X)","1,794","9.7%"
