"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate"
"            30 percent or more","33,753","6.8%","14,326","4.6%","19,427","10.5%","6,387","8.5%","4,297","7.8%","2,090","10.7%","22,466","6.6%","7,915","3.9%","14,551","10.7%","991","4.1%","544","3.5%","447","5.2%","3,909","6.8%","1,570","4.2%","2,339","11.5%"
"        $20,000 to $34,999","37,945","7.7%","15,991","5.2%","21,954","11.9%","7,591","10.2%","4,604","8.3%","2,987","15.3%","24,038","7.1%","8,187","4.1%","15,851","11.6%","1,727","7.1%","649","4.2%","1,078","12.5%","4,573","8.0%","2,551","6.9%","2,022","9.9%"
"            Less than 20 percent","5,261","1.1%","4,680","1.5%","581","0.3%","2,510","3.4%","2,314","4.2%","196","1.0%","1,351","0.4%","1,042","0.5%","309","0.2%","239","1.0%","208","1.3%","31","0.4%","1,161","2.0%","1,116","3.0%","45","0.2%"
"            20 to 29 percent","4,147","0.8%","2,331","0.8%","1,816","1.0%","1,132","1.5%","409","0.7%","723","3.7%","2,373","0.7%","1,445","0.7%","928","0.7%","65","0.3%","65","0.4%","0","0.0%","577","1.0%","412","1.1%","165","0.8%"
"            30 percent or more","28,537","5.8%","8,980","2.9%","19,557","10.6%","3,949","5.3%","1,881","3.4%","2,068","10.6%","20,314","6.0%","5,700","2.8%","14,614","10.7%","1,423","5.9%","376","2.4%","1,047","12.1%","2,835","4.9%","1,023","2.8%","1,812","8.9%"
"        $35,000 to $49,999","40,982","8.3%","22,403","7.2%","18,579","10.0%","6,150","8.2%","4,130","7.5%","2,020","10.3%","29,155","8.6%","14,230","7.0%","14,925","10.9%","1,251","5.2%","922","5.9%","329","3.8%","4,426","7.7%","3,121","8.4%","1,305","6.4%"
"            Less than 20 percent","7,401","1.5%","7,053","2.3%","348","0.2%","2,383","3.2%","2,383","4.3%","0","0.0%","3,613","1.1%","3,330","1.6%","283","0.2%","462","1.9%","439","2.8%","23","0.3%","943","1.6%","901","2.4%","42","0.2%"
"            20 to 29 percent","7,128","1.4%","3,853","1.2%","3,275","1.8%","1,056","1.4%","437","0.8%","619","3.2%","5,551","1.6%","3,169","1.6%","2,382","1.7%","104","0.4%","104","0.7%","0","0.0%","417","0.7%","143","0.4%","274","1.3%"
"            30 percent or more","26,453","5.3%","11,497","3.7%","14,956","8.1%","2,711","3.6%","1,310","2.4%","1,401","7.2%","19,991","5.9%","7,731","3.8%","12,260","9.0%","685","2.8%","379","2.4%","306","3.5%","3,066","5.3%","2,077","5.6%","989","4.9%"
"        $50,000 to $74,999","71,321","14.4%","41,279","13.3%","30,042","16.2%","12,499","16.7%","9,302","16.9%","3,197","16.3%","45,573","13.5%","24,385","12.1%","21,188","15.5%","5,232","21.6%","3,530","22.6%","1,702","19.7%","8,017","14.0%","4,062","11.0%","3,955","19.4%"
"            Less than 20 percent","20,353","4.1%","17,094","5.5%","3,259","1.8%","5,904","7.9%","4,924","8.9%","980","5.0%","9,717","2.9%","8,589","4.3%","1,128","0.8%","1,810","7.5%","1,558","10.0%","252","2.9%","2,922","5.1%","2,023","5.5%","899","4.4%"
"            20 to 29 percent","12,918","2.6%","6,608","2.1%","6,310","3.4%","2,242","3.0%","1,364","2.5%","878","4.5%","9,149","2.7%","4,511","2.2%","4,638","3.4%","617","2.5%","424","2.7%","193","2.2%","910","1.6%","309","0.8%","601","3.0%"
"            30 percent or more","38,050","7.7%","17,577","5.7%","20,473","11.1%","4,353","5.8%","3,014","5.5%","1,339","6.8%","26,707","7.9%","11,285","5.6%","15,422","11.3%","2,805","11.6%","1,548","9.9%","1,257","14.6%","4,185","7.3%","1,730","4.7%","2,455","12.1%"
"        $75,000 or more","285,358","57.7%","208,287","67.3%","77,071","41.6%","35,284","47.2%","29,319","53.1%","5,965","30.5%","201,555","59.6%","143,816","71.2%","57,739","42.3%","13,764","56.8%","9,864","63.2%","3,900","45.2%","34,744","60.6%","25,288","68.4%","9,456","46.4%"
"            Less than 20 percent","155,458","31.4%","124,771","40.3%","30,687","16.6%","23,600","31.6%","20,027","36.3%","3,573","18.3%","102,790","30.4%","82,153","40.7%","20,637","15.1%","7,886","32.5%","6,557","42.0%","1,329","15.4%","21,182","36.9%","16,034","43.4%","5,148","25.3%"
"            20 to 29 percent","64,577","13.1%","41,704","13.5%","22,873","12.4%","6,966","9.3%","5,244","9.5%","1,722","8.8%","47,854","14.1%","30,848","15.3%","17,006","12.5%","3,326","13.7%","1,359","8.7%","1,967","22.8%","6,431","11.2%","4,253","11.5%","2,178","10.7%"
"            30 percent or more","65,323","13.2%","41,812","13.5%","23,511","12.7%","4,718","6.3%","4,048","7.3%","670","3.4%","50,911","15.0%","30,815","15.3%","20,096","14.7%","2,552","10.5%","1,948","12.5%","604","7.0%","7,131","12.4%","5,001","13.5%","2,130","10.5%"
"        Zero or negative income","8,354","1.7%","4,816","1.6%","3,538","1.9%","2,245","3.0%","1,743","3.2%","502","2.6%","5,683","1.7%","2,810","1.4%","2,873","2.1%","180","0.7%","56","0.4%","124","1.4%","246","0.4%","207","0.6%","39","0.2%"
"        No cash rent","12,270","2.5%","(X)","(X)","12,270","6.6%","2,628","3.5%","(X)","(X)","2,628","13.4%","7,570","2.2%","(X)","(X)","7,570","5.5%","949","3.9%","(X)","(X)","949","11.0%","1,117","1.9%","(X)","(X)","1,117","5.5%"
