"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate"
"        $800 to $999","26,741","5.4%","21,430","7.0%","5,311","2.8%","4,358","5.7%","3,546","6.2%","812","4.1%","18,548","5.5%","14,974","7.6%","3,574","2.5%","1,445","6.2%","1,202","7.7%","N","N","2,379","4.4%","1,708","4.9%","N","N"
"        $1,000 to $1,499","64,882","13.2%","35,860","11.8%","29,022","15.3%","10,307","13.5%","7,413","13.1%","2,894","14.6%","46,215","13.6%","23,518","12.0%","22,697","16.0%","2,608","11.2%","1,500","9.7%","N","N","5,752","10.5%","3,429","9.7%","N","N"
"        $1,500 to $1,999","70,673","14.3%","28,224","9.3%","42,449","22.4%","11,635","15.2%","6,217","10.9%","5,418","27.4%","47,990","14.2%","17,745","9.0%","30,245","21.3%","3,887","16.7%","1,529","9.8%","N","N","7,161","13.1%","2,733","7.8%","N","N"
"        $2,000 to $2,499","61,178","12.4%","29,353","9.7%","31,825","16.8%","7,773","10.2%","5,147","9.1%","2,626","13.3%","43,436","12.8%","19,737","10.0%","23,699","16.7%","2,753","11.8%","1,157","7.4%","N","N","7,216","13.2%","3,312","9.4%","N","N"
"        $2,500 to $2,999","46,678","9.5%","30,106","9.9%","16,572","8.8%","4,255","5.6%","3,243","5.7%","1,012","5.1%","33,688","9.9%","20,367","10.4%","13,321","9.4%","2,213","9.5%","1,511","9.7%","N","N","6,522","11.9%","4,985","14.2%","N","N"
"        $3,000 or more","126,758","25.7%","91,726","30.2%","35,032","18.5%","11,299","14.8%","10,423","18.4%","876","4.4%","98,281","29.0%","67,643","34.4%","30,638","21.6%","4,767","20.5%","3,920","25.2%","N","N","12,411","22.7%","9,740","27.7%","N","N"
"        No cash rent","12,428","2.5%","(X)","(X)","12,428","6.6%","3,068","4.0%","(X)","(X)","3,068","15.5%","6,949","2.1%","(X)","(X)","6,949","4.9%","218","0.9%","(X)","(X)","N","N","2,174","4.0%","(X)","(X)","N","N"
"        Median (dollars)","1,958","1,958","1,986","1,986","1,942","1,942","1,397","1,397","1,219","1,219","1,645","1,645","2,110","2,110","2,241","2,241","2,001","2,001","1,766","1,766","1,642","1,642","1,866","1,866","1,996","1,996","2,065","2,065","1,944","1,944"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","36,016","7.3%","14,216","4.7%","21,800","11.5%","8,301","10.8%","5,020","8.8%","3,281","16.6%","22,201","6.6%","6,677","3.4%","15,524","10.9%","1,511","6.5%","968","6.2%","543","7.0%","4,003","7.3%","1,551","4.4%","2,452","12.6%"
"            Less than 20 percent","1,755","0.4%","1,191","0.4%","564","0.3%","1,004","1.3%","1,004","1.8%","0","0.0%","661","0.2%","97","0.0%","564","0.4%","22","0.1%","22","0.1%","0","0.0%","68","0.1%","68","0.2%","0","0.0%"
"            20 to 29 percent","3,874","0.8%","1,166","0.4%","2,708","1.4%","1,113","1.5%","659","1.2%","454","2.3%","2,045","0.6%","58","0.0%","1,987","1.4%","122","0.5%","122","0.8%","0","0.0%","594","1.1%","327","0.9%","267","1.4%"
"            30 percent or more","30,387","6.2%","11,859","3.9%","18,528","9.8%","6,184","8.1%","3,357","5.9%","2,827","14.3%","19,495","5.8%","6,522","3.3%","12,973","9.1%","1,367","5.9%","824","5.3%","543","7.0%","3,341","6.1%","1,156","3.3%","2,185","11.3%"
"        $20,000 to $34,999","30,716","6.2%","15,041","4.9%","15,675","8.3%","7,492","9.8%","4,596","8.1%","2,896","14.6%","17,998","5.3%","7,567","3.9%","10,431","7.3%","2,555","11.0%","1,516","9.8%","1,039","13.4%","2,663","4.9%","1,362","3.9%","1,301","6.7%"
"            Less than 20 percent","3,739","0.8%","3,195","1.1%","544","0.3%","1,998","2.6%","1,942","3.4%","56","0.3%","981","0.3%","506","0.3%","475","0.3%","345","1.5%","332","2.1%","13","0.2%","415","0.8%","415","1.2%","0","0.0%"
"            20 to 29 percent","2,824","0.6%","1,824","0.6%","1,000","0.5%","633","0.8%","622","1.1%","11","0.1%","1,679","0.5%","839","0.4%","840","0.6%","166","0.7%","137","0.9%","29","0.4%","338","0.6%","226","0.6%","112","0.6%"
"            30 percent or more","24,153","4.9%","10,022","3.3%","14,131","7.5%","4,861","6.3%","2,032","3.6%","2,829","14.3%","15,338","4.5%","6,222","3.2%","9,116","6.4%","2,044","8.8%","1,047","6.7%","997","12.8%","1,910","3.5%","721","2.0%","1,189","6.1%"
"        $35,000 to $49,999","34,461","7.0%","16,616","5.5%","17,845","9.4%","6,385","8.3%","4,495","7.9%","1,890","9.6%","22,891","6.8%","9,466","4.8%","13,425","9.4%","1,375","5.9%","676","4.4%","699","9.0%","3,810","7.0%","1,979","5.6%","1,831","9.4%"
"            Less than 20 percent","5,182","1.1%","4,983","1.6%","199","0.1%","1,553","2.0%","1,524","2.7%","29","0.1%","2,512","0.7%","2,342","1.2%","170","0.1%","479","2.1%","479","3.1%","0","0.0%","638","1.2%","638","1.8%","0","0.0%"
"            20 to 29 percent","6,218","1.3%","3,640","1.2%","2,578","1.4%","1,385","1.8%","938","1.7%","447","2.3%","4,375","1.3%","2,474","1.3%","1,901","1.3%","82","0.4%","57","0.4%","25","0.3%","376","0.7%","171","0.5%","205","1.1%"
"            30 percent or more","23,061","4.7%","7,993","2.6%","15,068","8.0%","3,447","4.5%","2,033","3.6%","1,414","7.1%","16,004","4.7%","4,650","2.4%","11,354","8.0%","814","3.5%","140","0.9%","674","8.7%","2,796","5.1%","1,170","3.3%","1,626","8.4%"
"        $50,000 to $74,999","72,039","14.6%","38,102","12.5%","33,937","17.9%","11,615","15.2%","9,215","16.2%","2,400","12.1%","48,356","14.3%","21,152","10.8%","27,204","19.1%","4,042","17.3%","2,936","18.9%","1,106","14.2%","8,026","14.7%","4,799","13.6%","3,227","16.6%"
"            Less than 20 percent","17,720","3.6%","15,369","5.1%","2,351","1.2%","3,977","5.2%","3,718","6.5%","259","1.3%","9,244","2.7%","7,612","3.9%","1,632","1.1%","1,865","8.0%","1,834","11.8%","31","0.4%","2,634","4.8%","2,205","6.3%","429","2.2%"
"            20 to 29 percent","12,615","2.6%","6,205","2.0%","6,410","3.4%","2,281","3.0%","1,439","2.5%","842","4.3%","8,686","2.6%","3,831","1.9%","4,855","3.4%","620","2.7%","213","1.4%","407","5.2%","1,028","1.9%","722","2.1%","306","1.6%"
"            30 percent or more","41,704","8.5%","16,528","5.4%","25,176","13.3%","5,357","7.0%","4,058","7.1%","1,299","6.6%","30,426","9.0%","9,709","4.9%","20,717","14.6%","1,557","6.7%","889","5.7%","668","8.6%","4,364","8.0%","1,872","5.3%","2,492","12.8%"
"        $75,000 or more","301,985","61.2%","217,144","71.4%","84,841","44.9%","38,214","49.9%","32,291","56.9%","5,923","29.9%","216,857","64.0%","150,159","76.4%","66,698","46.9%","13,504","57.9%","9,384","60.4%","4,120","53.0%","33,399","61.2%","25,310","71.9%","8,089","41.7%"
"            Less than 20 percent","161,591","32.8%","128,024","42.1%","33,567","17.7%","24,281","31.7%","22,122","39.0%","2,159","10.9%","110,636","32.7%","85,093","43.3%","25,543","18.0%","7,344","31.5%","5,450","35.1%","1,894","24.4%","19,319","35.4%","15,359","43.6%","3,960","20.4%"
"            20 to 29 percent","73,843","15.0%","45,351","14.9%","28,492","15.1%","7,468","9.8%","5,184","9.1%","2,284","11.5%","56,977","16.8%","34,592","17.6%","22,385","15.7%","3,037","13.0%","1,563","10.1%","1,474","19.0%","6,361","11.6%","4,012","11.4%","2,349","12.1%"
"            30 percent or more","66,551","13.5%","43,769","14.4%","22,782","12.0%","6,465","8.4%","4,985","8.8%","1,480","7.5%","49,244","14.5%","30,474","15.5%","18,770","13.2%","3,123","13.4%","2,371","15.3%","752","9.7%","7,719","14.1%","5,939","16.9%","1,780","9.2%"
"        Zero or negative income","5,506","1.1%","2,907","1.0%","2,599","1.4%","1,494","2.0%","1,162","2.0%","332","1.7%","3,375","1.0%","1,476","0.8%","1,899","1.3%","105","0.5%","60","0.4%","45","0.6%","532","1.0%","209","0.6%","323","1.7%"
"        No cash rent","12,428","2.5%","(X)","(X)","12,428","6.6%","3,068","4.0%","(X)","(X)","3,068","15.5%","6,949","2.1%","(X)","(X)","6,949","4.9%","218","0.9%","(X)","(X)","218","2.8%","2,174","4.0%","(X)","(X)","2,174","11.2%"
