"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"        One race","1,021,490","6.1%","0.5%","4.4%","1.1%","N","N","N","N","N","723,467","6.5%","0.4%","5.0%","1.3%","N","N","N","N","N","N","N","N","N","N"
"            White","311,162","6.9%","0.5%","9.8%","1.7%","61,587","8.1%","0.1%","4.0%","0.6%","178,297","8.3%","0.4%","13.3%","2.7%","21,186","1.6%","0.0%","4.7%","0.4%","50,092","2.8%","1.7%","6.5%","0.2%"
"            Black or African American","23,889","8.3%","0.6%","12.9%","3.1%","1,358","18.0%","0.0%","19.5%","1.0%","20,645","8.1%","0.0%","13.7%","3.5%","N","N","N","N","N","N","N","N","N","N"
"            American Indian and Alaska Native","2,733","12.7%","0.0%","6.3%","0.0%","N","N","N","N","N","2,334","7.9%","0.0%","7.4%","0.0%","N","N","N","N","N","N","N","N","N","N"
"            Asian","523,925","4.8%","0.4%","1.6%","0.8%","39,543","3.5%","0.1%","1.7%","0.9%","416,453","5.1%","0.3%","1.6%","0.7%","24,031","2.8%","2.5%","1.2%","1.2%","43,878","4.4%","0.4%","1.7%","1.2%"
"            Native Hawaiian and Other Pacific Islander","134,717","7.6%","0.8%","1.1%","0.9%","N","N","N","N","N","90,524","8.2%","1.1%","1.4%","0.6%","N","N","N","N","N","N","N","N","N","N"
"            Some other race","25,064","11.5%","1.3%","7.0%","1.3%","N","N","N","N","N","15,214","12.0%","0.4%","9.4%","2.0%","N","N","N","N","N","N","N","N","N","N"
"        Two or more races","398,522","6.8%","0.7%","3.3%","0.5%","75,516","7.7%","0.3%","2.5%","0.4%","255,492","7.2%","0.5%","4.0%","0.6%","19,224","3.1%","2.0%","2.3%","0.7%","48,290","4.3%","1.8%","1.6%","0.1%"
"        Hispanic or Latino origin (of any race)","142,240","9.8%","0.4%","7.4%","0.7%","23,710","14.9%","0.1%","5.1%","0.6%","93,283","9.2%","0.4%","9.2%","0.9%","N","N","N","N","N","N","N","N","N","N"
"        White alone, not Hispanic or Latino","296,863","6.6%","0.6%","9.5%","1.7%","60,796","8.2%","0.1%","3.9%","0.6%","167,339","7.8%","0.4%","13.0%","2.7%","20,734","1.4%","0.0%","4.8%","0.4%","47,994","2.9%","1.8%","6.5%","0.2%"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native","1,164,577","6.5%","0.6%","4.4%","0.6%","181,934","7.5%","0.2%","2.7%","0.2%","789,981","7.0%","0.5%","5.2%","0.7%","N","N","N","N","N","132,551","4.1%","1.5%","3.1%","0.6%"
"        Foreign born","255,435","5.3%","0.4%","2.8%","2.4%","22,271","5.6%","0.0%","2.8%","2.7%","188,978","5.5%","0.2%","2.8%","2.5%","N","N","N","N","N","30,780","4.9%","0.7%","3.0%","1.9%"
"            Naturalized U.S. citizen","160,171","3.8%","0.2%","2.9%","0.6%","12,024","6.9%","0.0%","2.7%","1.0%","124,168","3.8%","0.1%","3.2%","0.6%","N","N","N","N","N","17,219","2.4%","0.4%","1.7%","0.0%"
"            Not a U.S. citizen","95,264","7.9%","0.6%","2.5%","5.4%","10,247","4.0%","0.0%","3.0%","4.7%","64,810","8.8%","0.6%","1.9%","6.1%","N","N","N","N","N","13,561","8.2%","1.1%","4.7%","4.3%"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,188,673","6.2%","0.6%","4.2%","1.0%","171,872","6.5%","0.1%","3.0%","0.6%","819,818","6.8%","0.5%","4.6%","1.1%","60,832","2.8%","1.8%","2.6%","0.8%","136,131","4.0%","1.3%","3.3%","1.0%"
"        Never married","403,060","8.7%","0.9%","5.3%","1.4%","57,331","10.1%","0.2%","3.8%","0.8%","281,978","9.3%","0.8%","6.1%","1.4%","19,800","2.2%","1.9%","1.9%","1.8%","43,931","5.5%","1.7%","3.5%","2.1%"
"        Now married, except separated","591,167","4.8%","0.4%","4.0%","0.8%","81,320","3.5%","0.1%","2.9%","0.5%","413,401","5.3%","0.2%","4.4%","1.0%","29,233","4.0%","2.2%","2.4%","0.5%","67,213","3.6%","0.8%","3.4%","0.3%"
"        Divorced or separated","124,176","6.9%","0.8%","3.2%","0.8%","22,437","9.5%","0.0%","2.7%","0.3%","77,198","7.5%","0.7%","3.0%","1.1%","7,048","1.5%","1.0%","7.3%","0.0%","17,493","3.3%","2.3%","3.5%","0.0%"
"        Widowed","70,270","2.8%","0.4%","0.9%","0.7%","10,784","4.1%","0.2%","0.4%","0.5%","47,241","3.2%","0.4%","1.1%","0.5%","4,751","0.4%","0.0%","0.0%","0.0%","7,494","0.2%","0.9%","0.8%","3.0%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","1,024,897","5.9%","0.5%","3.4%","0.9%","149,785","5.9%","0.2%","2.8%","0.6%","702,068","6.5%","0.4%","3.6%","1.0%","N","N","N","N","N","119,314","3.5%","1.1%","3.4%","0.6%"
"        Less than high school graduate","71,830","7.2%","1.8%","1.3%","0.7%","10,256","11.7%","0.0%","2.0%","1.7%","48,489","7.6%","1.9%","0.8%","0.6%","N","N","N","N","N","8,758","2.4%","1.9%","2.5%","0.0%"
"        High school graduate (includes equivalency)","269,469","6.1%","0.6%","1.7%","0.9%","42,938","6.9%","0.4%","0.9%","1.0%","176,766","6.5%","0.6%","2.0%","1.0%","N","N","N","N","N","34,391","4.2%","1.5%","1.5%","0.8%"
"        Some college or associate's degree","304,389","6.0%","0.5%","3.4%","0.7%","49,173","4.9%","0.1%","2.5%","0.2%","198,694","7.2%","0.3%","3.8%","1.0%","N","N","N","N","N","38,956","3.3%","0.8%","2.9%","0.2%"
"        Bachelor's degree","237,228","5.3%","0.3%","4.7%","0.8%","28,968","5.5%","0.1%","3.4%","0.3%","173,598","5.5%","0.3%","4.7%","0.9%","N","N","N","N","N","24,137","4.1%","0.8%","5.7%","0.3%"
"        Graduate or professional degree","141,981","5.3%","0.2%","5.9%","1.1%","18,450","3.8%","0.0%","7.2%","0.3%","104,521","6.1%","0.1%","5.6%","1.2%","N","N","N","N","N","13,072","2.2%","0.7%","5.9%","1.7%"
"INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,188,673","6.2%","0.6%","4.2%","1.0%","171,872","6.5%","0.1%","3.0%","0.6%","819,818","6.8%","0.5%","4.6%","1.1%","N","N","N","N","N","136,131","4.0%","1.3%","3.3%","1.0%"
"        $1 to $9,999 or loss","125,659","6.8%","0.8%","5.1%","1.6%","19,203","12.8%","0.1%","2.6%","0.6%","86,492","6.5%","0.7%","5.5%","2.3%","N","N","N","N","N","14,006","3.6%","0.9%","6.2%","0.0%"
"        $10,000 to $14,999","68,406","8.5%","1.0%","3.0%","0.2%","14,432","5.7%","0.2%","4.7%","0.1%","43,284","10.0%","0.9%","3.2%","0.2%","N","N","N","N","N","6,967","8.2%","2.7%","0.0%","0.0%"
"        $15,000 to $24,999","130,236","6.9%","0.8%","4.9%","1.1%","22,746","8.3%","0.2%","3.3%","1.0%","84,070","7.0%","0.7%","5.8%","1.0%","N","N","N","N","N","16,420","5.6%","1.7%","3.8%","2.3%"
"        $25,000 to $34,999","113,006","6.8%","0.9%","4.4%","0.3%","15,308","4.9%","0.0%","1.5%","0.2%","75,801","8.3%","0.6%","5.5%","0.4%","N","N","N","N","N","15,006","2.4%","1.6%","2.7%","0.1%"
"        $35,000 to $49,999","156,997","5.9%","0.4%","3.9%","1.0%","21,952","4.0%","0.0%","2.0%","0.1%","105,939","7.3%","0.2%","4.6%","1.1%","N","N","N","N","N","20,623","3.1%","1.4%","2.9%","1.7%"
"        $50,000 to $64,999","130,394","6.9%","0.5%","3.9%","0.3%","18,312","7.3%","0.2%","3.7%","0.4%","87,587","8.0%","0.6%","4.3%","0.4%","N","N","N","N","N","16,189","2.0%","0.4%","1.8%","0.0%"
"        $65,000 to $74,999","62,300","5.6%","0.4%","4.1%","1.6%","5,955","8.2%","0.4%","4.3%","0.0%","44,852","5.6%","0.0%","4.7%","1.7%","N","N","N","N","N","7,655","4.7%","1.5%","2.4%","3.0%"
"        $75,000 or more","263,581","4.5%","0.2%","4.5%","0.7%","28,799","3.9%","0.0%","4.2%","0.1%","197,629","4.9%","0.2%","4.5%","0.8%","N","N","N","N","N","25,789","2.3%","0.9%","5.3%","0.2%"
"        Median income (dollars)","41,998","36,510","26,445","41,209","38,050","36,042","23,904","23,095","40,804","23,794","44,284","38,828","21,204","40,895","37,952","41,753","56,266","26,632","47,985","41,972","40,452","29,230","31,430","48,046","39,022"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over for whom poverty status is determined","1,384,551","6.1%","0.5%","3.6%","0.9%","201,347","7.1%","0.1%","2.8%","0.5%","948,529","6.5%","0.3%","4.0%","0.9%","N","N","N","N","N","161,842","4.1%","1.3%","3.1%","0.9%"
"        Below 100 percent of the poverty level","140,342","12.0%","1.1%","3.9%","1.0%","34,744","15.5%","0.1%","2.0%","0.8%","85,867","12.2%","1.1%","5.0%","1.2%","N","N","N","N","N","14,199","5.8%","2.6%","1.9%","0.5%"
"        100 to 149 percent of the poverty level","79,613","8.2%","0.6%","5.0%","0.3%","11,471","4.2%","0.2%","4.0%","0.0%","49,656","9.8%","0.6%","6.1%","0.5%","N","N","N","N","N","12,593","8.8%","0.8%","2.6%","0.0%"
"        At or above 150 percent of the poverty level","1,164,596","5.3%","0.4%","3.5%","0.9%","155,132","5.4%","0.1%","2.8%","0.5%","813,006","5.7%","0.2%","3.8%","0.9%","N","N","N","N","N","135,050","3.5%","1.2%","3.3%","1.0%"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over in housing units","1,379,884","5.7%","0.5%","3.6%","0.9%","201,417","6.8%","0.1%","2.8%","0.5%","944,958","6.1%","0.3%","4.0%","1.0%","72,771","2.3%","1.5%","2.5%","0.7%","160,738","3.7%","1.3%","3.1%","0.9%"
"        Householder lived in owner-occupied housing units","910,610","3.5%","0.3%","1.7%","0.5%","150,651","4.6%","0.1%","2.7%","0.4%","600,606","3.7%","0.2%","1.4%","0.6%","52,906","1.9%","0.9%","1.9%","0.7%","106,447","2.1%","0.6%","1.7%","0.4%"
"        Householder lived in renter-occupied housing units","469,274","10.1%","0.8%","7.4%","1.5%","50,766","13.6%","0.1%","3.1%","0.8%","344,352","10.4%","0.5%","8.5%","1.6%","19,865","3.5%","3.0%","4.0%","0.8%","54,291","6.8%","2.7%","5.8%","1.7%"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Residence 1 year ago","13.8%","(X)","(X)","(X)","(X)","9.0%","(X)","(X)","(X)","(X)","15.0%","(X)","(X)","(X)","(X)","15.5%","(X)","(X)","(X)","(X)","12.0%","(X)","(X)","(X)","(X)"
