"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"        75 years and over","116,232","2.5%","0.3%","0.9%","0.6%","16,080","2.9%","0.0%","1.9%","0.2%","81,560","2.5%","0.1%","0.8%","0.5%","N","N","N","N","N","12,381","2.8%","2.5%","0.1%","2.1%"
"        Median age (years)","40.1","30.5","30.4","31.0","32.9","43.6","35.2","26.0","45.8","28.9","38.9","29.5","30.1","28.1","28.6","42.7","35.7","25.8","44.3","65.6","42.4","35.9","55.3","39.0","40.8"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","698,082","8.1%","0.5%","3.4%","1.0%","99,046","5.7%","0.8%","2.5%","0.7%","483,339","9.1%","0.3%","3.8%","1.1%","34,394","5.2%","0.6%","3.3%","0.1%","81,298","6.3%","1.1%","2.2%","1.1%"
"        Female","698,737","7.6%","0.5%","3.7%","1.1%","100,772","7.9%","0.6%","3.0%","0.8%","477,855","8.1%","0.4%","4.0%","1.1%","36,948","4.0%","1.7%","2.8%","0.3%","83,152","5.9%","0.7%","3.1%","1.7%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","1,087,842","7.5%","0.5%","3.9%","1.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            White","337,216","9.5%","0.8%","8.5%","1.7%","65,664","9.2%","0.3%","4.7%","0.7%","193,699","10.4%","0.6%","10.9%","2.0%","22,271","8.0%","0.5%","7.5%","0.0%","55,577","7.4%","2.2%","4.7%","2.2%"
"            Black or African American","26,691","15.9%","1.5%","11.1%","6.0%","N","N","N","N","N","25,009","16.5%","1.5%","10.9%","6.1%","N","N","N","N","N","N","N","N","N","N"
"            American Indian and Alaska Native","6,129","6.5%","2.8%","7.3%","1.8%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Asian","543,873","5.1%","0.2%","1.1%","0.8%","46,935","2.4%","0.3%","1.7%","1.9%","425,364","5.8%","0.1%","1.0%","0.7%","N","N","N","N","N","49,775","3.2%","0.3%","1.7%","0.4%"
"            Native Hawaiian and Other Pacific Islander","149,806","9.7%","0.5%","1.6%","1.0%","23,297","11.6%","2.2%","1.9%","0.0%","99,142","10.7%","0.3%","1.8%","0.6%","N","N","N","N","N","19,228","5.2%","0.0%","0.9%","4.5%"
"            Some other race","24,127","12.6%","0.3%","7.8%","1.0%","N","N","N","N","N","16,217","16.2%","0.0%","9.5%","1.5%","N","N","N","N","N","N","N","N","N","N"
"        Two or more races","308,977","8.9%","0.5%","2.4%","0.4%","57,974","6.0%","1.0%","1.5%","0.2%","198,673","10.1%","0.3%","3.0%","0.6%","18,071","4.2%","2.0%","1.1%","0.0%","34,259","9.3%","0.1%","1.5%","0.0%"
"        Hispanic or Latino origin (of any race)","147,733","11.6%","0.7%","3.7%","1.0%","25,617","5.0%","0.7%","1.6%","1.1%","95,158","14.0%","0.5%","4.9%","1.1%","N","N","N","N","N","18,778","10.3%","0.8%","1.1%","1.0%"
"        White alone, not Hispanic or Latino","301,741","9.3%","0.8%","9.0%","1.7%","60,097","9.5%","0.3%","4.9%","0.5%","171,600","10.0%","0.6%","11.6%","2.2%","20,726","7.9%","0.6%","8.1%","0.0%","49,318","7.2%","2.2%","5.1%","2.1%"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native","1,124,299","8.0%","0.6%","4.0%","0.7%","170,352","7.6%","0.8%","2.8%","0.2%","764,982","8.7%","0.4%","4.6%","0.9%","N","N","N","N","N","129,044","6.1%","0.9%","2.7%","0.4%"
"        Foreign born","272,520","7.1%","0.2%","1.6%","2.4%","29,466","2.4%","0.1%","2.7%","4.3%","196,212","8.2%","0.0%","1.2%","1.8%","N","N","N","N","N","35,406","6.0%","0.7%","2.6%","4.8%"
"            Naturalized U.S. citizen","160,627","5.7%","0.2%","1.5%","0.5%","14,202","2.3%","0.1%","4.1%","0.1%","121,571","6.4%","0.0%","1.1%","0.5%","N","N","N","N","N","19,427","4.8%","1.3%","2.0%","0.5%"
"            Not a U.S. citizen","111,893","9.2%","0.1%","1.7%","5.3%","15,264","2.4%","0.0%","1.5%","8.3%","74,641","11.2%","0.0%","1.3%","4.0%","N","N","N","N","N","15,979","7.6%","0.0%","3.3%","9.9%"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,163,465","7.6%","0.5%","3.5%","1.1%","165,270","6.8%","0.6%","3.1%","0.8%","801,814","8.2%","0.4%","3.7%","1.1%","59,065","4.9%","1.3%","2.9%","0.3%","137,301","6.0%","0.8%","3.1%","1.6%"
"        Never married","400,482","9.8%","0.7%","3.4%","0.8%","52,653","12.2%","0.9%","3.1%","0.5%","282,185","10.0%","0.5%","3.4%","0.9%","19,057","5.1%","2.5%","2.3%","0.2%","46,582","8.2%","0.4%","4.2%","1.1%"
"        Now married, except separated","570,625","6.2%","0.2%","4.0%","1.3%","82,371","3.1%","0.2%","3.7%","1.2%","390,027","7.2%","0.1%","4.4%","1.3%","29,650","4.5%","1.0%","3.3%","0.4%","68,569","4.8%","0.4%","2.6%","2.0%"
"        Divorced or separated","121,936","8.6%","1.0%","2.6%","0.9%","20,850","6.6%","1.5%","1.9%","0.4%","79,260","9.8%","0.7%","2.6%","1.2%","6,879","7.5%","0.0%","4.2%","0.0%","14,947","5.3%","2.7%","2.6%","0.3%"
"        Widowed","70,422","4.9%","1.0%","1.8%","0.8%","9,396","10.0%","0.6%","0.6%","0.3%","50,342","4.3%","0.7%","2.2%","0.5%","3,479","1.5%","0.0%","0.0%","0.0%","7,203","4.4%","3.6%","1.6%","3.6%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","996,668","7.2%","0.5%","3.1%","1.1%","143,872","6.8%","0.5%","2.9%","0.9%","680,706","7.6%","0.4%","3.2%","1.0%","51,455","4.9%","1.2%","3.3%","0.2%","120,620","6.3%","0.9%","3.1%","1.7%"
"        Less than high school graduate","75,978","4.7%","0.6%","0.7%","1.0%","10,619","5.4%","0.2%","0.9%","0.3%","50,353","5.1%","0.6%","0.4%","1.3%","3,699","2.5%","0.7%","0.8%","3.0%","11,307","3.1%","0.5%","1.6%","0.0%"
"        High school graduate (includes equivalency)","273,421","7.4%","0.3%","1.8%","0.7%","44,801","8.1%","0.3%","1.2%","0.7%","175,946","8.3%","0.2%","2.1%","0.6%","15,629","2.6%","1.0%","3.3%","0.0%","37,043","4.5%","0.6%","0.7%","1.5%"
"        Some college or associate's degree","312,060","8.4%","0.8%","3.0%","1.1%","45,305","7.4%","0.6%","2.9%","0.4%","210,452","8.9%","0.6%","3.3%","1.3%","17,427","6.1%","0.4%","1.9%","0.0%","38,871","8.3%","1.8%","2.2%","1.0%"
"        Bachelor's degree","219,979","6.3%","0.6%","4.1%","1.4%","28,302","2.8%","0.9%","5.9%","2.0%","159,284","6.8%","0.3%","3.5%","1.1%","9,626","6.7%","3.6%","3.9%","0.0%","22,759","6.7%","0.6%","6.3%","3.0%"
"        Graduate or professional degree","115,230","6.8%","0.2%","6.4%","1.2%","14,845","9.4%","0.5%","4.5%","0.9%","84,671","6.4%","0.2%","6.2%","1.0%","5,074","5.6%","0.7%","8.6%","0.0%","10,640","7.1%","0.1%","9.0%","3.8%"
"INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,163,465","7.6%","0.5%","3.5%","1.1%","165,270","6.8%","0.6%","3.1%","0.8%","801,814","8.2%","0.4%","3.7%","1.1%","N","N","N","N","N","137,301","6.0%","0.8%","3.1%","1.6%"
"        $1 to $9,999 or loss","139,433","9.8%","1.0%","4.4%","0.8%","22,527","7.9%","1.0%","2.8%","0.0%","93,820","11.4%","0.8%","5.0%","1.0%","N","N","N","N","N","16,304","4.8%","0.1%","3.9%","0.5%"
"        $10,000 to $14,999","76,747","7.1%","0.6%","2.6%","0.9%","12,854","7.0%","0.8%","0.4%","0.7%","51,085","6.9%","0.1%","2.9%","0.5%","N","N","N","N","N","9,258","6.3%","3.0%","4.6%","3.6%"
"        $15,000 to $24,999","140,013","7.3%","0.2%","3.3%","1.1%","22,213","7.3%","0.2%","3.0%","1.4%","92,386","7.0%","0.2%","3.6%","1.4%","N","N","N","N","N","17,269","10.3%","0.4%","2.9%","0.1%"
"        $25,000 to $34,999","133,448","7.7%","0.8%","3.5%","0.7%","22,525","6.7%","1.5%","2.2%","1.6%","88,755","8.7%","0.4%","4.4%","0.6%","N","N","N","N","N","15,849","4.3%","2.5%","1.1%","0.8%"
"        $35,000 to $49,999","160,570","7.7%","0.3%","3.0%","0.9%","22,837","4.6%","0.4%","3.3%","0.3%","107,528","9.0%","0.2%","2.9%","1.1%","N","N","N","N","N","20,579","6.5%","0.0%","3.3%","1.5%"
"        $50,000 to $64,999","123,310","9.3%","0.6%","2.7%","1.0%","14,392","7.7%","0.6%","3.2%","0.0%","86,830","10.7%","0.6%","2.5%","0.8%","N","N","N","N","N","15,698","5.1%","0.6%","3.4%","3.6%"
"        $65,000 to $74,999","54,426","7.8%","0.4%","2.7%","0.8%","8,409","6.3%","0.8%","0.1%","0.4%","38,713","8.0%","0.4%","3.5%","1.0%","N","N","N","N","N","4,673","9.2%","0.2%","0.4%","0.0%"
"        $75,000 or more","202,190","5.4%","0.5%","4.5%","0.8%","20,882","6.3%","0.3%","7.7%","0.0%","150,093","5.5%","0.3%","4.2%","0.9%","N","N","N","N","N","22,281","4.4%","1.1%","3.4%","1.0%"
"        Median income (dollars)","36,789","34,391","29,953","36,336","37,351","31,496","30,234","29,253","42,156","25,426","38,315","37,170","35,458","34,295","37,825","36,843","26,754","9,879","41,972","-","36,306","32,010","28,778","36,124","42,290"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over for whom poverty status is determined","1,360,651","7.7%","0.4%","3.5%","1.0%","197,114","6.4%","0.6%","2.6%","0.8%","930,227","8.5%","0.3%","3.9%","1.1%","N","N","N","N","N","162,652","6.0%","0.9%","2.6%","1.4%"
"        Below 100 percent of the poverty level","126,187","12.6%","0.5%","3.9%","0.9%","25,956","14.0%","0.2%","1.1%","0.2%","74,661","13.3%","0.5%","5.2%","1.1%","N","N","N","N","N","19,490","10.4%","1.4%","3.3%","1.4%"
"        100 to 149 percent of the poverty level","67,438","9.9%","0.8%","2.3%","1.1%","16,346","6.7%","3.2%","1.1%","0.0%","41,424","10.6%","0.0%","3.2%","1.5%","N","N","N","N","N","5,887","14.4%","0.8%","0.0%","0.3%"
"        At or above 150 percent of the poverty level","1,167,026","7.0%","0.4%","3.5%","1.0%","154,812","5.1%","0.4%","3.1%","1.0%","814,142","7.9%","0.3%","3.8%","1.0%","N","N","N","N","N","137,275","5.1%","0.8%","2.7%","1.4%"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over in housing units","1,353,901","7.5%","0.4%","3.5%","1.0%","196,706","6.4%","0.6%","2.7%","0.7%","925,250","8.3%","0.3%","3.9%","1.1%","70,413","4.4%","1.2%","2.9%","0.2%","161,524","5.5%","0.7%","2.7%","1.3%"
"        Householder lived in owner-occupied housing units","857,424","3.8%","0.3%","1.7%","0.6%","138,993","2.5%","0.3%","2.4%","1.0%","565,438","4.2%","0.1%","1.3%","0.5%","49,569","2.6%","1.2%","2.7%","0.2%","103,424","4.0%","0.5%","1.9%","1.0%"
"        Householder lived in renter-occupied housing units","496,477","13.8%","0.7%","6.7%","1.6%","57,713","15.6%","1.4%","3.2%","0.1%","359,812","14.8%","0.5%","8.0%","1.9%","20,844","8.7%","1.2%","3.5%","0.0%","58,100","8.2%","1.0%","4.0%","1.8%"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Residence 1 year ago","10.8%","(X)","(X)","(X)","(X)","6.1%","(X)","(X)","(X)","(X)","11.8%","(X)","(X)","(X)","(X)","13.7%","(X)","(X)","(X)","(X)","9.5%","(X)","(X)","(X)","(X)"
