"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"        Male","717,985","7.2%","0.6%","4.2%","1.0%","101,990","5.2%","0.5%","3.0%","0.4%","498,754","7.7%","0.6%","4.7%","1.2%","36,814","6.1%","0.2%","2.2%","0.0%","80,359","7.4%","1.0%","3.4%","0.8%"
"        Female","707,626","6.6%","0.6%","3.7%","0.7%","103,105","6.3%","0.4%","2.8%","0.4%","487,295","7.1%","0.5%","4.2%","0.8%","36,238","3.9%","1.6%","1.3%","0.0%","80,988","4.8%","1.1%","2.7%","0.5%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","1,020,838","7.0%","0.7%","4.3%","0.9%","N","N","N","N","N","723,807","7.3%","0.6%","4.9%","1.0%","N","N","N","N","N","N","N","N","N","N"
"            White","316,958","7.5%","0.8%","9.6%","1.0%","62,706","6.0%","0.5%","6.4%","0.4%","182,991","7.9%","1.0%","12.9%","1.3%","21,477","7.7%","1.0%","3.8%","0.0%","49,778","7.8%","0.8%","3.8%","0.8%"
"            Black or African American","25,844","11.6%","1.0%","15.1%","4.2%","N","N","N","N","N","22,028","12.6%","1.2%","16.4%","4.9%","N","N","N","N","N","N","N","N","N","N"
"            American Indian and Alaska Native","4,100","15.6%","0.0%","8.1%","0.0%","N","N","N","N","N","2,235","7.2%","0.0%","5.0%","0.0%","N","N","N","N","N","N","N","N","N","N"
"            Asian","504,066","5.4%","0.6%","1.2%","0.6%","36,167","4.0%","0.6%","1.4%","1.2%","405,423","6.1%","0.4%","1.3%","0.6%","N","N","N","N","N","41,986","2.0%","2.1%","0.5%","0.7%"
"            Native Hawaiian and Other Pacific Islander","142,188","10.5%","0.6%","1.1%","0.9%","26,459","9.3%","0.7%","0.0%","0.0%","93,978","11.1%","0.5%","1.6%","1.3%","N","N","N","N","N","15,016","12.8%","1.7%","0.0%","0.1%"
"            Some other race","27,682","5.0%","0.6%","6.7%","2.0%","N","N","N","N","N","17,152","4.4%","0.7%","8.5%","1.7%","N","N","N","N","N","N","N","N","N","N"
"        Two or more races","404,773","6.7%","0.3%","3.1%","0.7%","72,035","5.3%","0.2%","1.5%","0.0%","262,242","7.6%","0.3%","3.4%","1.0%","21,631","5.3%","0.7%","1.5%","0.0%","48,819","4.9%","0.3%","4.5%","0.1%"
"        Hispanic or Latino origin (of any race)","156,808","7.2%","0.3%","5.7%","1.2%","N","N","N","N","N","100,760","7.7%","0.4%","6.6%","1.7%","N","N","N","N","N","18,994","9.5%","0.0%","9.6%","1.3%"
"        White alone, not Hispanic or Latino","296,022","7.5%","0.8%","9.5%","1.0%","60,911","6.0%","0.5%","6.6%","0.5%","167,230","7.9%","1.0%","12.9%","1.4%","20,804","8.0%","1.0%","3.9%","0.0%","47,071","7.8%","0.8%","3.6%","0.9%"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native","1,179,010","7.1%","0.6%","4.4%","0.6%","179,815","6.2%","0.4%","2.9%","0.1%","798,404","7.5%","0.6%","5.1%","0.8%","N","N","N","N","N","138,669","6.4%","1.1%","3.1%","0.2%"
"        Foreign born","246,601","6.1%","0.4%","1.9%","2.0%","25,280","3.0%","0.4%","2.9%","2.2%","187,645","6.9%","0.2%","1.8%","1.9%","N","N","N","N","N","22,678","4.4%","0.8%","2.7%","3.3%"
"            Naturalized U.S. citizen","152,362","5.8%","0.2%","2.0%","0.3%","13,999","3.3%","0.4%","5.1%","0.0%","117,347","6.4%","0.2%","1.7%","0.4%","N","N","N","N","N","13,750","4.5%","0.7%","2.8%","0.3%"
"            Not a U.S. citizen","94,239","6.6%","0.6%","1.7%","4.8%","11,281","2.8%","0.4%","0.3%","4.9%","70,298","7.6%","0.2%","1.9%","4.6%","N","N","N","N","N","8,928","4.3%","1.0%","2.6%","8.0%"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,190,764","6.8%","0.7%","3.8%","0.8%","170,476","5.6%","0.5%","3.2%","0.2%","823,496","7.3%","0.6%","4.2%","1.0%","61,062","5.5%","0.9%","1.9%","0.0%","135,662","5.7%","1.0%","2.4%","0.7%"
"        Never married","410,806","8.6%","0.9%","4.3%","1.0%","55,232","8.8%","0.4%","2.0%","0.0%","289,007","8.7%","0.8%","5.1%","1.4%","20,646","9.0%","2.3%","2.4%","0.0%","45,859","7.3%","1.6%","3.1%","0.7%"
"        Now married, except separated","580,064","5.5%","0.4%","3.8%","0.7%","82,997","3.0%","0.5%","3.9%","0.4%","399,229","6.4%","0.4%","4.3%","0.9%","30,273","3.5%","0.2%","2.0%","0.0%","67,565","4.1%","0.8%","1.4%","0.6%"
"        Divorced or separated","129,274","8.4%","0.8%","2.8%","0.5%","20,775","8.4%","0.6%","2.5%","0.0%","86,241","8.4%","0.9%","2.7%","0.6%","7,231","4.9%","0.0%","0.4%","0.0%","15,021","9.7%","0.7%","4.7%","0.8%"
"        Widowed","70,620","4.0%","0.6%","1.8%","0.2%","11,472","4.0%","0.7%","4.8%","0.0%","49,019","4.2%","0.7%","1.3%","0.3%","2,912","2.6%","0.0%","0.0%","0.0%","7,217","2.5%","0.0%","1.7%","0.0%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","1,023,843","6.6%","0.7%","3.1%","0.8%","149,453","4.9%","0.6%","3.3%","0.2%","701,785","7.2%","0.6%","3.3%","1.0%","N","N","N","N","N","119,668","6.0%","1.0%","2.2%","0.6%"
"        Less than high school graduate","72,742","5.0%","1.5%","1.5%","0.3%","11,020","3.0%","0.6%","1.9%","0.0%","49,056","5.9%","1.0%","1.7%","0.4%","N","N","N","N","N","8,548","1.3%","3.5%","0.6%","0.3%"
"        High school graduate (includes equivalency)","273,910","7.2%","0.6%","1.8%","0.5%","43,183","5.4%","0.4%","1.6%","0.0%","180,223","7.6%","0.6%","1.9%","0.6%","N","N","N","N","N","35,926","8.7%","0.6%","1.8%","0.6%"
"        Some college or associate's degree","314,487","6.4%","0.6%","3.4%","0.7%","47,244","5.8%","0.3%","4.8%","0.2%","208,004","6.9%","0.7%","3.5%","1.0%","N","N","N","N","N","40,472","6.1%","1.0%","1.8%","0.5%"
"        Bachelor's degree","226,124","6.3%","0.6%","3.6%","1.1%","27,998","3.9%","0.5%","2.9%","0.2%","164,988","6.9%","0.6%","3.9%","1.4%","N","N","N","N","N","23,486","4.6%","0.5%","2.8%","1.1%"
"        Graduate or professional degree","136,580","7.2%","0.6%","5.0%","1.0%","20,008","4.4%","1.4%","4.4%","0.9%","99,514","8.2%","0.2%","5.4%","1.2%","N","N","N","N","N","11,236","3.7%","1.6%","4.4%","0.4%"
"INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,190,764","6.8%","0.7%","3.8%","0.8%","170,476","5.6%","0.5%","3.2%","0.2%","823,496","7.3%","0.6%","4.2%","1.0%","N","N","N","N","N","135,662","5.7%","1.0%","2.4%","0.7%"
"        $1 to $9,999 or loss","128,618","8.1%","1.5%","4.4%","1.1%","18,545","10.5%","0.6%","3.8%","0.0%","91,387","7.7%","1.5%","4.5%","1.4%","N","N","N","N","N","12,358","7.7%","2.1%","5.2%","1.2%"
"        $10,000 to $14,999","78,658","5.9%","0.5%","3.1%","0.9%","14,638","5.8%","0.0%","3.8%","0.6%","50,039","5.6%","0.7%","2.9%","0.8%","N","N","N","N","N","9,416","8.7%","0.3%","3.7%","2.0%"
"        $15,000 to $24,999","121,481","5.9%","0.2%","2.7%","0.7%","17,783","5.7%","0.0%","1.5%","0.5%","79,431","6.7%","0.3%","3.2%","0.8%","N","N","N","N","N","15,882","2.9%","0.5%","2.7%","0.8%"
"        $25,000 to $34,999","121,312","6.1%","1.0%","4.5%","0.7%","18,680","6.5%","0.2%","1.3%","0.0%","81,756","6.6%","1.4%","6.0%","0.9%","N","N","N","N","N","14,762","1.6%","0.4%","1.6%","0.3%"
"        $35,000 to $49,999","154,799","8.8%","0.5%","3.3%","0.8%","22,306","7.2%","0.1%","3.1%","0.3%","105,823","9.0%","0.5%","3.5%","1.1%","N","N","N","N","N","19,986","10.1%","0.9%","2.3%","0.3%"
"        $50,000 to $64,999","128,814","6.2%","0.7%","2.9%","0.4%","17,258","3.4%","2.5%","3.1%","0.1%","87,996","6.9%","0.2%","3.4%","0.6%","N","N","N","N","N","15,904","5.5%","1.2%","0.4%","0.1%"
"        $65,000 to $74,999","59,834","9.3%","0.4%","4.2%","0.6%","9,210","9.8%","1.2%","5.7%","0.0%","41,673","8.9%","0.1%","4.4%","0.9%","N","N","N","N","N","6,033","10.5%","1.2%","2.7%","0.0%"
"        $75,000 or more","257,042","6.1%","0.3%","4.5%","0.8%","28,392","3.1%","0.1%","5.4%","0.3%","188,799","7.0%","0.1%","4.8%","0.9%","N","N","N","N","N","28,357","4.0%","1.1%","2.4%","0.9%"
"        Median income (dollars)","41,754","42,588","28,119","42,485","36,573","37,540","30,760","53,824","51,822","40,112","42,825","45,060","25,231","43,122","37,357","38,258","37,925","47,780","44,350","-","40,907","43,554","49,697","26,548","21,301"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over for whom poverty status is determined","1,388,741","6.8%","0.4%","3.7%","0.8%","202,656","5.5%","0.4%","2.8%","0.4%","954,472","7.4%","0.3%","4.2%","0.9%","N","N","N","N","N","159,134","5.7%","1.0%","3.1%","0.7%"
"        Below 100 percent of the poverty level","140,911","9.3%","1.1%","3.5%","0.7%","30,630","9.3%","0.3%","1.0%","0.0%","92,226","9.7%","0.7%","3.5%","0.7%","N","N","N","N","N","13,326","8.0%","3.7%","10.6%","2.2%"
"        100 to 149 percent of the poverty level","87,748","8.7%","0.2%","3.4%","0.8%","13,128","6.0%","0.0%","1.9%","0.0%","58,503","9.0%","0.1%","3.6%","1.1%","N","N","N","N","N","11,053","12.4%","0.7%","5.7%","0.1%"
"        At or above 150 percent of the poverty level","1,160,082","6.3%","0.4%","3.8%","0.8%","158,898","4.8%","0.5%","3.3%","0.5%","803,743","7.0%","0.3%","4.3%","0.9%","N","N","N","N","N","134,755","4.9%","0.8%","2.1%","0.5%"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over in housing units","1,384,767","6.6%","0.4%","3.7%","0.8%","202,297","5.4%","0.4%","2.8%","0.4%","952,093","7.1%","0.3%","4.2%","0.9%","72,176","4.8%","0.9%","1.8%","0.0%","158,168","5.2%","0.9%","3.0%","0.7%"
"        Householder lived in owner-occupied housing units","897,799","4.5%","0.3%","1.9%","0.4%","142,356","3.5%","0.3%","3.0%","0.2%","603,819","4.9%","0.1%","1.6%","0.5%","45,236","2.9%","0.5%","1.9%","0.0%","106,388","4.0%","0.9%","1.8%","0.7%"
"        Householder lived in renter-occupied housing units","486,968","10.4%","0.7%","7.2%","1.4%","59,941","9.9%","0.6%","2.4%","0.8%","348,274","11.0%","0.5%","8.6%","1.7%","26,940","7.8%","1.6%","1.6%","0.0%","51,780","7.8%","1.1%","5.7%","0.5%"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Residence 1 year ago","13.8%","(X)","(X)","(X)","(X)","13.5%","(X)","(X)","(X)","(X)","14.3%","(X)","(X)","(X)","(X)","9.1%","(X)","(X)","(X)","(X)","13.5%","(X)","(X)","(X)","(X)"
