"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"        $25,000 to $34,999","114,478","7.2%","0.2%","4.7%","0.7%","17,162","1.4%","1.1%","2.5%","1.3%","76,994","8.8%","0.0%","5.7%","0.8%","N","N","N","N","N","11,775","7.9%","0.0%","1.2%","0.0%"
"        $35,000 to $49,999","154,539","6.3%","0.1%","3.5%","0.7%","20,865","4.0%","0.0%","1.2%","0.2%","108,995","6.7%","0.2%","4.3%","0.9%","N","N","N","N","N","17,194","9.3%","0.2%","1.3%","0.0%"
"        $50,000 to $64,999","143,868","6.6%","0.6%","3.0%","0.4%","17,354","2.5%","0.9%","1.9%","0.2%","98,927","7.6%","0.2%","3.6%","0.5%","N","N","N","N","N","19,892","5.4%","1.4%","1.9%","0.2%"
"        $65,000 to $74,999","62,224","8.4%","0.2%","3.9%","0.9%","8,804","2.9%","0.0%","5.8%","3.2%","43,171","8.2%","0.2%","4.2%","0.6%","N","N","N","N","N","6,856","15.7%","0.5%","1.2%","0.0%"
"        $75,000 or more","291,894","5.2%","0.5%","3.4%","0.5%","33,742","4.5%","1.1%","2.5%","0.0%","213,829","5.0%","0.2%","3.8%","0.7%","N","N","N","N","N","31,507","7.8%","0.8%","2.5%","0.1%"
"        Median income (dollars)","45,681","40,690","28,083","40,928","30,116","37,318","23,906","26,760","30,012","22,243","47,409","40,552","22,707","41,592","33,606","40,501","51,566","51,612","35,104","-","48,419","49,682","55,422","57,266","54,199"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over for whom poverty status is determined","1,397,002","6.6%","0.4%","3.4%","0.8%","205,165","5.0%","0.8%","2.8%","0.7%","958,554","7.0%","0.2%","4.0%","1.0%","72,521","5.1%","1.4%","1.3%","0.2%","160,687","7.1%","0.9%","1.6%","0.1%"
"        Below 100 percent of the poverty level","139,611","11.9%","1.1%","4.6%","1.6%","33,958","9.3%","1.6%","4.9%","1.2%","84,556","14.1%","0.6%","5.3%","2.0%","5,449","6.8%","2.1%","0.0%","2.0%","15,648","7.8%","2.0%","1.8%","0.0%"
"        100 to 149 percent of the poverty level","74,995","10.2%","0.1%","2.9%","0.5%","17,231","4.9%","0.0%","0.5%","0.7%","46,659","12.7%","0.2%","4.2%","0.6%","2,829","13.5%","0.0%","0.0%","0.0%","8,246","6.3%","0.0%","1.4%","0.0%"
"        At or above 150 percent of the poverty level","1,182,396","5.8%","0.4%","3.3%","0.8%","153,976","4.0%","0.7%","2.6%","0.6%","827,339","6.0%","0.1%","3.8%","1.0%","64,243","4.6%","1.4%","1.4%","0.0%","136,793","7.0%","0.8%","1.5%","0.1%"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over in housing units","1,391,683","6.4%","0.4%","3.4%","0.8%","205,387","4.8%","0.8%","2.8%","0.7%","953,190","6.8%","0.2%","4.0%","1.0%","72,470","5.1%","1.3%","1.3%","0.2%","160,591","6.8%","0.8%","1.6%","0.1%"
"        Householder lived in owner-occupied housing units","898,739","3.6%","0.4%","1.5%","0.5%","149,898","2.9%","1.1%","2.1%","0.4%","589,537","3.5%","0.1%","1.5%","0.7%","47,518","4.7%","0.7%","0.7%","0.2%","111,786","4.6%","0.9%","1.2%","0.1%"
"        Householder lived in renter-occupied housing units","492,944","11.5%","0.4%","6.8%","1.4%","55,489","10.1%","0.0%","4.8%","1.5%","363,653","12.0%","0.3%","8.0%","1.6%","24,952","6.1%","2.4%","2.5%","0.0%","48,805","11.9%","0.5%","2.4%","0.0%"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Residence 1 year ago","13.0%","(X)","(X)","(X)","(X)","13.4%","(X)","(X)","(X)","(X)","13.0%","(X)","(X)","(X)","(X)","11.0%","(X)","(X)","(X)","(X)","13.5%","(X)","(X)","(X)","(X)"
