"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Labor Force Participation Rate!!Estimate","Puerto Rico!!Employment/Population Ratio!!Estimate","Puerto Rico!!Unemployment rate!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Arecibo Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Arecibo Municipio, Puerto Rico!!Unemployment rate!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Bayamón Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Bayamón Municipio, Puerto Rico!!Unemployment rate!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Caguas Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Caguas Municipio, Puerto Rico!!Unemployment rate!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Carolina Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Carolina Municipio, Puerto Rico!!Unemployment rate!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Guaynabo Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Guaynabo Municipio, Puerto Rico!!Unemployment rate!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Mayagüez Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Mayagüez Municipio, Puerto Rico!!Unemployment rate!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Ponce Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Ponce Municipio, Puerto Rico!!Unemployment rate!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","San Juan Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","San Juan Municipio, Puerto Rico!!Unemployment rate!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Toa Alta Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Toa Alta Municipio, Puerto Rico!!Unemployment rate!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Toa Baja Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Toa Baja Municipio, Puerto Rico!!Unemployment rate!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Unemployment rate!!Estimate"
"        Female","966,346","63.1%","57.9%","8.2%","25,687","62.9%","54.8%","12.8%","54,260","67.0%","64.4%","3.9%","39,575","68.0%","64.8%","4.8%","46,090","73.1%","67.7%","6.8%","27,199","77.8%","76.5%","1.7%","19,319","51.1%","46.2%","9.5%","36,217","61.5%","53.2%","13.5%","100,013","68.1%","61.9%","9.0%","N","N","N","N","22,395","77.3%","71.0%","8.1%","N","N","N","N"
"            With own children under 18 years","249,873","73.3%","65.9%","10.1%","N","N","N","N","14,148","76.4%","71.8%","6.0%","N","N","N","N","12,096","76.0%","71.6%","5.9%","N","N","N","N","N","N","N","N","11,221","72.6%","59.7%","17.9%","26,468","74.4%","63.0%","15.3%","N","N","N","N","N","N","N","N","N","N","N","N"
"                With own children under 6 years only","45,016","67.5%","59.6%","11.7%","N","N","N","N","2,356","54.4%","42.8%","21.3%","N","N","N","N","1,760","66.5%","66.5%","0.0%","N","N","N","N","N","N","N","N","1,685","66.4%","42.6%","35.8%","5,755","66.8%","62.1%","7.1%","N","N","N","N","N","N","N","N","N","N","N","N"
"                With own children under 6 years and 6 to 17  years","29,380","69.4%","55.7%","19.8%","N","N","N","N","1,631","72.8%","72.8%","0.0%","N","N","N","N","2,410","79.8%","62.2%","22.0%","N","N","N","N","N","N","N","N","1,676","60.2%","41.3%","31.4%","2,914","78.7%","67.4%","14.3%","N","N","N","N","N","N","N","N","N","N","N","N"
"                With own children 6 to 17 years only","175,477","75.4%","69.2%","8.2%","N","N","N","N","10,161","82.1%","78.4%","4.5%","N","N","N","N","7,926","77.0%","75.5%","1.9%","N","N","N","N","N","N","N","N","7,860","76.7%","67.2%","12.3%","17,799","76.1%","62.6%","17.8%","N","N","N","N","N","N","N","N","N","N","N","N"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Below poverty level","600,940","46.2%","35.6%","22.6%","16,166","48.7%","35.3%","27.5%","26,405","39.8%","33.8%","15.2%","20,385","37.6%","31.4%","16.3%","18,938","55.1%","39.3%","28.6%","9,085","44.1%","38.8%","11.9%","17,634","38.5%","29.3%","24.0%","29,748","51.6%","33.7%","34.6%","58,039","49.8%","34.7%","30.0%","N","N","N","N","10,788","64.6%","51.6%","20.0%","9,171","50.1%","41.9%","16.4%"
"        At or above the poverty level","1,236,683","77.7%","74.4%","3.9%","32,197","76.0%","70.8%","6.7%","74,622","81.6%","79.0%","2.7%","53,609","83.9%","82.6%","1.5%","67,684","83.3%","79.4%","3.8%","41,706","85.9%","84.7%","1.4%","19,494","70.7%","67.6%","3.5%","37,717","79.2%","75.3%","4.7%","128,470","83.1%","80.3%","3.2%","N","N","N","N","32,231","86.7%","83.4%","3.9%","31,731","71.0%","69.5%","2.1%"
"    DISABILITY STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With any disability","304,134","36.3%","32.4%","11.0%","8,789","32.5%","28.9%","10.9%","18,302","48.7%","42.8%","12.1%","11,589","32.7%","29.5%","9.7%","8,787","46.5%","38.8%","16.5%","7,485","50.1%","50.1%","0.0%","7,729","21.3%","16.6%","21.9%","13,847","34.3%","29.6%","13.6%","23,446","38.2%","35.2%","8.0%","N","N","N","N","10,831","63.6%","59.1%","7.0%","8,231","45.6%","44.1%","3.3%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","1,638,551","67.6%","62.7%","7.0%","44,329","67.6%","60.2%","10.8%","92,755","68.5%","65.5%","4.0%","66,017","71.6%","69.8%","2.5%","77,036","79.1%","72.3%","7.8%","45,234","77.2%","75.9%","1.7%","28,559","58.7%","53.3%","8.6%","62,615","63.5%","54.9%","13.4%","166,238","74.3%","68.2%","8.1%","N","N","N","N","37,607","80.8%","75.3%","6.8%","N","N","N","N"
"        Less than high school graduate","177,532","36.8%","31.2%","15.3%","3,858","44.5%","39.8%","10.5%","5,556","33.2%","31.3%","5.7%","5,017","27.4%","26.0%","5.2%","3,495","53.1%","30.1%","43.4%","3,307","41.2%","35.2%","14.4%","4,978","22.1%","16.3%","26.6%","6,355","24.4%","17.2%","29.5%","17,266","55.1%","46.4%","15.8%","N","N","N","N","3,358","44.6%","42.8%","3.9%","N","N","N","N"
"        High school graduate (includes equivalency)","437,406","59.1%","53.0%","10.2%","9,950","62.7%","44.5%","29.1%","18,506","55.5%","52.6%","5.2%","13,874","58.0%","55.1%","4.9%","19,624","76.0%","62.3%","18.1%","6,320","64.5%","63.1%","2.1%","8,191","49.6%","44.9%","9.6%","20,456","58.7%","45.4%","22.6%","40,444","65.1%","55.3%","15.1%","N","N","N","N","9,694","79.9%","74.4%","6.8%","N","N","N","N"
"        Some college or associate's degree","468,064","70.1%","64.6%","7.5%","16,137","66.0%","60.6%","7.8%","33,205","67.0%","62.7%","5.3%","19,665","73.4%","72.6%","1.1%","20,120","76.3%","72.3%","2.0%","10,178","65.0%","63.8%","1.8%","7,178","67.8%","63.7%","5.9%","17,406","71.9%","60.5%","15.2%","36,576","71.1%","66.6%","6.1%","N","N","N","N","11,182","83.9%","75.1%","10.5%","N","N","N","N"
"        Bachelor's degree or higher","555,549","82.1%","78.8%","3.7%","14,384","79.0%","76.1%","3.7%","35,488","82.3%","80.1%","2.6%","27,461","85.3%","83.2%","2.4%","33,797","85.3%","82.5%","3.2%","25,429","89.9%","89.2%","0.8%","8,212","81.8%","75.0%","6.8%","18,398","74.5%","73.2%","1.8%","71,952","85.7%","81.4%","4.7%","N","N","N","N","13,373","87.8%","84.1%","4.2%","N","N","N","N"
