"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Labor Force Participation Rate!!Estimate","Puerto Rico!!Employment/Population Ratio!!Estimate","Puerto Rico!!Unemployment rate!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Arecibo Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Arecibo Municipio, Puerto Rico!!Unemployment rate!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Bayamón Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Bayamón Municipio, Puerto Rico!!Unemployment rate!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Caguas Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Caguas Municipio, Puerto Rico!!Unemployment rate!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Carolina Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Carolina Municipio, Puerto Rico!!Unemployment rate!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Guaynabo Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Guaynabo Municipio, Puerto Rico!!Unemployment rate!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Mayagüez Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Mayagüez Municipio, Puerto Rico!!Unemployment rate!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Ponce Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Ponce Municipio, Puerto Rico!!Unemployment rate!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","San Juan Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","San Juan Municipio, Puerto Rico!!Unemployment rate!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Toa Alta Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Toa Alta Municipio, Puerto Rico!!Unemployment rate!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Toa Baja Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Toa Baja Municipio, Puerto Rico!!Unemployment rate!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Unemployment rate!!Estimate"
"        65 to 74 years","384,375","11.5%","11.0%","4.6%","9,905","8.3%","8.3%","0.0%","21,189","16.6%","15.5%","6.5%","14,102","14.8%","14.8%","0.0%","16,774","16.4%","15.2%","7.1%","11,891","16.5%","14.7%","10.7%","8,452","8.8%","8.8%","0.0%","16,853","9.3%","8.7%","6.6%","40,982","20.7%","20.1%","3.0%","N","N","N","N","8,108","15.6%","13.1%","15.8%","N","N","N","N"
"        75 years and over","386,486","2.8%","2.6%","6.5%","11,000","0.5%","0.5%","0.0%","24,005","3.4%","3.0%","11.1%","14,687","3.5%","3.5%","0.0%","21,240","3.3%","3.2%","3.8%","11,704","7.3%","6.6%","9.9%","10,421","2.8%","2.8%","0.0%","17,034","1.8%","1.8%","0.0%","46,329","5.3%","5.3%","0.0%","N","N","N","N","8,337","7.0%","5.5%","21.4%","N","N","N","N"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","657,421","44.2%","40.0%","9.5%","N","N","N","N","16,379","39.7%","37.7%","5.0%","26,717","51.1%","42.2%","17.4%","16,350","34.5%","32.2%","6.8%","16,802","49.7%","47.6%","4.3%","N","N","N","N","27,182","34.8%","33.0%","4.7%","56,094","49.4%","46.3%","5.4%","N","N","N","N","N","N","N","N","N","N","N","N"
"        Black or African American alone","151,900","49.9%","45.7%","7.9%","N","N","N","N","N","N","N","N","N","N","N","N","18,523","57.6%","53.2%","6.2%","N","N","N","N","N","N","N","N","N","N","N","N","24,668","53.2%","48.1%","9.7%","N","N","N","N","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","877,031","48.7%","44.6%","8.4%","N","N","N","N","79,395","52.5%","49.5%","5.8%","29,252","55.2%","50.4%","7.5%","37,511","55.1%","49.1%","10.8%","39,829","49.8%","47.1%","5.5%","42,903","45.5%","36.1%","20.7%","13,806","49.1%","45.0%","8.5%","73,230","52.3%","47.5%","8.9%","N","N","N","N","32,203","60.7%","57.6%","5.2%","N","N","N","N"
"        Two or more races","1,080,662","47.0%","42.3%","9.9%","46,225","44.2%","37.8%","14.3%","55,391","45.7%","42.3%","7.4%","43,153","45.2%","42.9%","5.1%","58,511","53.5%","49.5%","7.3%","19,060","59.1%","56.7%","4.1%","7,668","34.9%","29.9%","14.1%","66,001","45.6%","34.7%","23.6%","134,380","49.9%","44.4%","10.9%","40,769","57.3%","53.7%","5.3%","22,023","44.0%","41.2%","5.8%","36,691","60.8%","55.9%","8.1%"
"        Hispanic or Latino origin (of any race)","2,749,189","47.0%","42.7%","9.2%","72,753","43.8%","38.5%","12.2%","155,189","48.8%","45.7%","6.4%","107,065","50.6%","46.1%","8.6%","130,055","52.5%","48.2%","8.2%","77,109","51.5%","49.0%","4.8%","59,873","42.4%","34.2%","19.4%","110,858","43.0%","35.4%","17.3%","284,880","50.6%","45.9%","9.0%","57,004","55.1%","51.9%","5.1%","61,774","55.3%","52.3%","5.2%","58,297","59.9%","55.6%","7.1%"
"        White alone, not Hispanic or Latino","17,246","50.4%","43.1%","14.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Population 20 to 64 years","1,855,240","65.8%","59.9%","8.8%","49,270","61.8%","54.8%","11.4%","104,506","66.7%","63.2%","5.3%","73,809","68.7%","63.1%","7.8%","86,792","73.7%","67.9%","7.6%","51,288","73.2%","70.2%","4.0%","37,683","62.7%","51.4%","18.1%","72,477","62.4%","51.0%","17.6%","188,719","71.0%","64.2%","9.3%","N","N","N","N","42,189","74.9%","71.7%","4.0%","N","N","N","N"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","890,223","70.2%","63.9%","8.6%","23,544","65.6%","58.3%","11.1%","50,064","69.9%","66.4%","5.1%","34,732","76.3%","70.1%","7.4%","40,543","78.7%","73.9%","5.6%","24,704","81.1%","79.0%","2.6%","19,004","66.2%","55.1%","16.8%","34,782","63.4%","53.3%","14.4%","88,044","75.5%","69.0%","8.1%","N","N","N","N","19,930","78.6%","73.7%","5.8%","N","N","N","N"
"        Female","965,017","61.8%","56.2%","9.0%","25,726","58.4%","51.6%","11.7%","54,442","63.7%","60.2%","5.6%","39,077","61.9%","56.8%","8.3%","46,249","69.4%","62.7%","9.6%","26,584","65.9%","62.1%","5.7%","18,679","59.1%","47.6%","19.6%","37,695","61.6%","48.9%","20.6%","100,675","67.0%","60.0%","10.3%","N","N","N","N","22,259","71.6%","69.9%","2.3%","N","N","N","N"
"            With own children under 18 years","270,903","72.4%","65.1%","10.1%","N","N","N","N","15,328","67.6%","64.5%","4.6%","11,665","68.6%","61.4%","10.6%","11,543","79.4%","72.7%","8.4%","6,135","69.3%","69.3%","0.0%","5,413","69.0%","62.1%","10.0%","11,166","73.9%","62.2%","15.8%","22,548","74.2%","65.4%","11.9%","N","N","N","N","N","N","N","N","N","N","N","N"
"                With own children under 6 years only","53,599","67.9%","59.8%","11.9%","N","N","N","N","4,642","59.3%","58.1%","2.0%","2,015","57.4%","57.4%","0.0%","2,064","67.3%","60.2%","10.5%","1,494","67.9%","67.9%","0.0%","1,890","68.4%","66.8%","2.4%","1,803","92.6%","69.2%","25.3%","5,473","60.1%","52.6%","12.4%","N","N","N","N","N","N","N","N","N","N","N","N"
"                With own children under 6 years and 6 to 17  years","33,818","69.7%","62.0%","11.1%","N","N","N","N","1,826","81.1%","67.9%","16.3%","747","35.9%","28.4%","20.9%","1,051","54.7%","54.7%","0.0%","931","50.3%","50.3%","0.0%","549","32.1%","32.1%","0.0%","2,156","56.3%","56.3%","0.0%","2,907","77.7%","57.1%","26.5%","N","N","N","N","N","N","N","N","N","N","N","N"
"                With own children 6 to 17 years only","183,486","74.3%","67.2%","9.5%","N","N","N","N","8,860","69.2%","67.1%","3.0%","8,903","73.9%","65.0%","12.0%","8,428","85.4%","78.1%","8.6%","3,710","74.7%","74.7%","0.0%","2,974","76.3%","64.7%","15.1%","7,207","74.4%","62.2%","16.4%","14,168","78.9%","72.0%","8.8%","N","N","N","N","N","N","N","N","N","N","N","N"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Below poverty level","650,943","46.2%","35.4%","23.4%","14,462","39.7%","24.0%","39.4%","28,955","39.7%","32.3%","18.6%","23,148","45.1%","35.3%","21.7%","18,264","50.7%","37.9%","25.2%","8,589","38.2%","31.0%","19.1%","20,221","51.7%","33.0%","36.1%","33,822","52.0%","34.0%","34.6%","65,908","50.3%","37.8%","25.0%","13,801","47.3%","40.8%","13.7%","10,102","55.6%","45.6%","18.0%","7,337","53.8%","35.9%","33.4%"
"        At or above the poverty level","1,187,839","77.5%","74.2%","4.1%","33,951","72.8%","69.3%","4.9%","72,150","80.7%","78.5%","2.7%","50,511","79.7%","76.0%","4.2%","68,486","79.9%","76.0%","4.7%","41,810","81.9%","79.8%","2.6%","16,671","78.6%","75.7%","3.8%","35,367","78.2%","72.0%","6.6%","120,556","83.5%","79.7%","4.1%","28,285","82.1%","79.2%","2.4%","32,078","81.0%","79.9%","1.0%","32,515","87.6%","84.2%","3.8%"
"    DISABILITY STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With any disability","322,451","36.7%","32.2%","12.2%","9,562","25.6%","18.4%","28.1%","13,093","34.9%","29.4%","15.7%","15,678","44.5%","37.5%","15.6%","12,015","36.4%","31.3%","13.9%","8,196","55.9%","54.9%","1.9%","5,553","34.2%","28.3%","17.0%","14,001","37.8%","24.2%","35.2%","28,203","37.0%","30.7%","17.0%","5,650","28.9%","21.2%","26.6%","7,349","55.7%","50.7%","9.0%","3,989","58.2%","46.5%","20.2%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","1,636,393","66.9%","61.5%","7.8%","43,978","62.0%","55.3%","10.7%","92,559","68.4%","64.6%","5.5%","65,692","69.5%","64.3%","7.2%","76,997","75.5%","70.6%","6.1%","46,434","76.7%","73.8%","3.7%","29,357","65.7%","55.6%","15.4%","62,811","62.8%","53.4%","14.1%","166,639","74.1%","67.6%","8.5%","37,565","72.3%","68.1%","4.9%","37,774","74.5%","71.8%","3.7%","34,635","83.2%","77.9%","6.4%"
"        Less than high school graduate","169,312","37.3%","31.7%","15.0%","4,004","32.3%","32.3%","0.0%","7,372","27.2%","25.8%","5.3%","6,048","44.8%","32.8%","26.8%","5,039","56.2%","46.9%","16.6%","2,945","38.1%","38.1%","0.0%","3,587","38.2%","25.6%","33.1%","5,644","28.2%","14.2%","49.6%","12,909","53.1%","42.9%","19.1%","3,431","49.2%","43.3%","12.0%","2,915","51.2%","44.7%","12.7%","1,175","55.3%","40.3%","27.1%"
"        High school graduate (includes equivalency)","436,872","58.3%","51.2%","12.0%","10,915","52.7%","38.5%","27.0%","18,699","60.2%","56.3%","6.4%","16,829","57.6%","53.0%","8.1%","18,254","73.4%","65.8%","10.3%","8,838","70.0%","64.2%","8.4%","9,186","64.6%","52.4%","18.8%","18,373","53.4%","43.1%","19.4%","31,838","56.1%","46.4%","17.4%","7,556","60.6%","56.2%","1.6%","10,402","69.6%","69.1%","0.6%","3,677","63.8%","54.5%","14.6%"
"        Some college or associate's degree","451,823","69.7%","63.8%","8.2%","12,246","58.4%","49.3%","15.6%","30,048","72.4%","66.5%","8.1%","16,178","73.7%","68.7%","6.8%","21,427","69.7%","65.2%","5.3%","7,960","76.9%","72.5%","5.8%","7,301","69.0%","59.8%","13.4%","17,983","72.3%","60.4%","14.8%","43,424","72.2%","66.3%","7.7%","12,776","73.4%","70.9%","3.4%","11,765","77.6%","72.3%","6.8%","13,137","80.2%","75.7%","5.7%"
"        Bachelor's degree or higher","578,386","79.8%","76.2%","4.3%","16,813","77.6%","76.1%","1.9%","36,440","77.7%","75.2%","3.2%","26,637","80.1%","75.9%","4.4%","32,277","83.4%","80.6%","3.4%","26,691","83.1%","81.4%","2.0%","9,283","75.0%","67.2%","10.4%","20,811","72.2%","67.1%","6.2%","78,468","85.9%","80.9%","5.4%","13,802","83.4%","78.2%","6.2%","12,692","81.0%","79.6%","1.6%","16,646","91.9%","87.5%","4.8%"
