"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Labor Force Participation Rate!!Estimate","Puerto Rico!!Employment/Population Ratio!!Estimate","Puerto Rico!!Unemployment rate!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Arecibo Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Arecibo Municipio, Puerto Rico!!Unemployment rate!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Bayamón Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Bayamón Municipio, Puerto Rico!!Unemployment rate!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Caguas Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Caguas Municipio, Puerto Rico!!Unemployment rate!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Carolina Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Carolina Municipio, Puerto Rico!!Unemployment rate!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Guaynabo Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Guaynabo Municipio, Puerto Rico!!Unemployment rate!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Mayagüez Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Mayagüez Municipio, Puerto Rico!!Unemployment rate!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Ponce Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Ponce Municipio, Puerto Rico!!Unemployment rate!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","San Juan Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","San Juan Municipio, Puerto Rico!!Unemployment rate!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Toa Alta Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Toa Alta Municipio, Puerto Rico!!Unemployment rate!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Toa Baja Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Toa Baja Municipio, Puerto Rico!!Unemployment rate!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Unemployment rate!!Estimate"
"        65 to 74 years","366,492","11.1%","10.6%","5.1%","9,646","10.1%","10.1%","0.0%","18,642","15.8%","15.6%","1.4%","13,645","8.7%","8.7%","0.0%","16,883","15.7%","15.7%","0.0%","10,006","16.4%","16.4%","0.0%","8,750","11.1%","11.1%","0.0%","16,283","14.6%","14.4%","1.7%","37,221","20.0%","18.0%","10.4%","N","N","N","N","8,228","11.4%","11.4%","0.0%","N","N","N","N"
"        75 years and over","313,173","2.9%","2.9%","2.2%","8,711","1.7%","1.7%","0.0%","19,521","3.3%","3.3%","0.0%","12,452","2.0%","1.5%","25.2%","17,133","2.7%","2.7%","0.0%","9,334","7.0%","7.0%","0.0%","9,017","1.3%","1.3%","0.0%","13,791","5.4%","5.4%","0.0%","37,562","5.1%","5.1%","0.0%","N","N","N","N","6,858","1.2%","0.4%","68.2%","N","N","N","N"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","1,749,952","44.0%","38.3%","12.7%","48,004","43.6%","35.3%","19.1%","100,380","46.1%","41.3%","10.0%","78,237","49.0%","44.4%","9.4%","72,578","48.6%","42.6%","12.3%","49,121","54.0%","49.0%","8.7%","23,628","38.0%","32.6%","14.4%","90,384","36.8%","33.2%","9.7%","163,544","48.6%","42.0%","13.6%","51,791","49.2%","47.7%","3.2%","48,518","51.9%","44.2%","13.8%","32,039","52.8%","50.4%","3.9%"
"        Black or African American alone","338,894","44.6%","37.5%","15.9%","N","N","N","N","12,675","58.6%","50.9%","13.0%","N","N","N","N","22,067","48.8%","41.8%","14.3%","N","N","N","N","N","N","N","N","N","N","N","N","34,586","56.7%","40.7%","28.2%","N","N","N","N","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","416,411","48.9%","39.5%","19.2%","17,101","45.3%","35.1%","22.6%","9,477","65.0%","57.8%","9.4%","N","N","N","N","24,053","59.6%","51.3%","13.8%","11,899","59.2%","52.7%","10.9%","35,566","43.4%","30.2%","30.6%","N","N","N","N","40,911","56.1%","42.0%","25.1%","N","N","N","N","N","N","N","N","N","N","N","N"
"        Two or more races","186,268","47.6%","42.0%","11.6%","N","N","N","N","22,100","55.0%","51.5%","6.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","31,786","58.5%","48.3%","16.5%","N","N","N","N","N","N","N","N","N","N","N","N"
"        Hispanic or Latino origin (of any race)","2,652,114","45.0%","38.6%","14.1%","68,797","43.4%","34.7%","19.9%","142,824","49.4%","44.6%","9.5%","103,381","49.1%","44.3%","9.8%","123,560","51.4%","44.8%","12.8%","71,402","54.5%","49.5%","8.4%","61,083","41.1%","31.2%","24.1%","109,069","36.4%","32.7%","10.1%","264,960","52.1%","42.5%","18.2%","60,044","48.8%","46.7%","4.2%","61,509","51.6%","45.1%","12.3%","53,441","53.7%","52.1%","2.5%"
"        White alone, not Hispanic or Latino","34,302","50.6%","44.5%","10.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Population 20 to 64 years","1,846,604","61.7%","53.1%","13.8%","47,550","59.1%","47.1%","20.3%","98,212","67.8%","61.1%","9.4%","73,010","69.1%","62.3%","9.9%","83,979","71.4%","62.5%","12.5%","49,759","73.6%","66.7%","8.6%","38,811","61.6%","47.1%","23.5%","73,562","50.7%","45.6%","9.9%","181,573","71.1%","58.8%","17.2%","N","N","N","N","43,697","69.0%","59.8%","12.4%","N","N","N","N"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","882,491","68.1%","58.8%","13.4%","22,604","62.1%","52.0%","16.2%","47,013","73.5%","67.0%","8.1%","34,196","75.4%","66.1%","12.4%","38,932","75.4%","65.6%","13.0%","24,000","79.1%","70.5%","9.6%","19,136","66.3%","51.1%","23.0%","36,009","53.9%","48.8%","9.6%","84,457","79.2%","66.3%","15.9%","N","N","N","N","20,446","78.1%","69.2%","9.6%","N","N","N","N"
"        Female","964,113","55.9%","47.9%","14.3%","24,946","56.4%","42.6%","24.4%","51,199","62.5%","55.6%","10.8%","38,814","63.6%","58.9%","7.3%","45,047","67.9%","59.8%","12.0%","25,759","68.6%","63.2%","7.5%","19,675","57.0%","43.2%","24.2%","37,553","47.5%","42.6%","10.3%","97,116","64.1%","52.2%","18.6%","N","N","N","N","23,251","61.0%","51.6%","15.5%","N","N","N","N"
"            With own children under 18 years","289,579","67.8%","57.4%","15.2%","8,543","73.2%","62.2%","15.1%","16,380","75.6%","68.4%","8.9%","N","N","N","N","13,019","77.6%","66.7%","14.0%","7,182","76.3%","72.1%","5.6%","5,325","73.5%","61.0%","17.0%","11,996","55.3%","50.6%","8.4%","29,483","68.4%","54.7%","20.0%","N","N","N","N","8,266","67.4%","53.5%","20.6%","N","N","N","N"
"                With own children under 6 years only","56,415","66.7%","53.4%","19.8%","1,585","78.0%","56.7%","27.3%","4,290","83.1%","75.4%","9.3%","N","N","N","N","2,052","70.1%","63.3%","9.7%","1,192","78.4%","78.4%","0.0%","1,279","54.7%","51.4%","6.0%","2,205","25.3%","21.7%","14.0%","6,989","67.8%","57.3%","15.4%","N","N","N","N","1,730","57.6%","57.6%","0.0%","N","N","N","N"
"                With own children under 6 years and 6 to 17  years","36,274","62.8%","52.5%","16.4%","879","96.1%","84.5%","12.1%","2,644","66.3%","61.8%","6.7%","N","N","N","N","1,087","100.0%","70.0%","30.0%","607","93.7%","93.7%","0.0%","1,092","69.5%","35.3%","49.1%","2,342","64.7%","60.6%","6.3%","3,621","57.4%","49.8%","13.3%","N","N","N","N","1,147","52.1%","43.9%","15.9%","N","N","N","N"
"                With own children 6 to 17 years only","196,890","69.0%","59.5%","13.7%","6,079","68.6%","60.4%","12.1%","9,446","74.7%","67.0%","9.3%","N","N","N","N","9,880","76.6%","67.0%","12.5%","5,383","73.9%","68.2%","7.7%","2,954","83.1%","74.6%","10.3%","7,449","61.2%","56.0%","8.5%","18,873","70.7%","54.7%","22.7%","N","N","N","N","5,389","73.8%","54.3%","26.4%","N","N","N","N"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Below poverty level","733,758","45.1%","30.3%","32.7%","22,963","48.1%","29.5%","38.6%","28,034","55.3%","39.4%","28.8%","24,580","47.5%","32.8%","30.9%","25,151","54.1%","33.3%","38.4%","10,317","45.8%","33.2%","27.5%","19,193","51.9%","27.1%","47.8%","36,352","34.0%","26.9%","21.1%","64,578","57.8%","31.9%","44.7%","12,363","31.2%","28.4%","8.8%","15,233","48.3%","32.8%","32.1%","8,564","59.9%","56.5%","5.6%"
"        At or above the poverty level","1,095,553","73.7%","69.1%","6.0%","24,238","70.3%","64.4%","8.5%","66,233","77.1%","73.9%","3.5%","48,135","80.6%","77.7%","3.6%","58,616","79.0%","75.2%","4.9%","39,177","81.5%","76.0%","5.8%","18,911","72.7%","68.1%","6.3%","34,866","71.3%","68.2%","4.3%","113,234","80.4%","75.4%","6.0%","33,065","74.3%","72.4%","2.6%","28,305","80.6%","74.7%","5.9%","27,796","78.0%","76.0%","2.0%"
"    DISABILITY STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With any disability","299,334","29.0%","23.7%","18.2%","7,329","19.1%","16.3%","14.6%","19,596","44.0%","37.6%","14.5%","15,577","41.8%","35.3%","15.5%","11,486","34.2%","26.9%","21.4%","8,388","40.3%","36.5%","9.3%","4,392","25.7%","18.9%","26.5%","11,865","17.5%","15.4%","12.0%","20,339","38.6%","28.3%","26.7%","3,000","30.3%","27.2%","10.4%","6,370","44.8%","35.5%","20.8%","6,801","48.9%","48.9%","0.0%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","1,622,070","62.6%","55.2%","11.5%","41,569","59.0%","49.7%","15.8%","86,560","68.7%","62.2%","8.9%","64,802","70.4%","64.7%","8.2%","74,056","72.6%","65.4%","9.9%","44,383","73.6%","68.8%","5.6%","30,891","65.0%","53.3%","18.0%","64,277","52.6%","48.4%","7.9%","159,826","72.6%","61.7%","14.9%","40,190","64.9%","62.8%","3.1%","38,671","70.7%","62.7%","10.3%","32,805","75.4%","74.0%","1.4%"
"        Less than high school graduate","212,499","36.1%","27.1%","24.9%","4,452","30.6%","23.0%","24.8%","8,698","43.2%","32.8%","23.9%","5,795","35.2%","31.2%","11.4%","5,728","40.4%","25.8%","36.1%","3,659","32.1%","26.0%","18.9%","3,837","37.1%","23.4%","37.1%","8,434","25.6%","21.2%","17.0%","17,823","60.2%","43.1%","28.4%","3,551","27.2%","24.5%","9.8%","3,845","41.2%","32.5%","21.2%","3,378","43.1%","43.1%","0.0%"
"        High school graduate (includes equivalency)","456,903","53.3%","45.0%","15.6%","13,434","54.1%","44.8%","17.2%","17,156","64.8%","57.7%","11.0%","17,748","65.3%","54.6%","16.4%","16,609","59.7%","48.9%","18.0%","8,280","66.1%","57.6%","12.9%","8,318","51.5%","43.9%","14.7%","20,769","43.1%","38.4%","10.9%","32,042","61.2%","42.4%","30.8%","8,392","45.3%","43.0%","5.3%","9,297","63.8%","50.1%","21.6%","5,955","71.7%","71.7%","0.0%"
"        Some college or associate's degree","446,459","66.9%","58.7%","12.0%","11,613","65.5%","54.7%","16.4%","30,746","69.1%","61.8%","9.5%","16,519","75.1%","68.0%","9.4%","22,937","75.8%","68.0%","10.3%","10,098","68.8%","62.7%","8.0%","8,209","76.7%","58.6%","23.6%","13,519","50.5%","46.8%","7.4%","38,647","69.8%","56.0%","19.7%","16,469","73.9%","72.0%","2.7%","13,936","76.9%","68.4%","9.3%","8,545","80.5%","78.5%","0.7%"
"        Bachelor's degree or higher","506,209","78.2%","73.3%","6.0%","12,070","68.6%","60.0%","12.6%","29,960","77.9%","73.7%","4.9%","24,740","79.3%","77.5%","2.3%","28,782","84.1%","80.8%","3.8%","22,346","85.3%","82.6%","1.8%","10,527","76.6%","67.4%","12.0%","21,555","73.6%","69.8%","5.2%","71,314","82.3%","78.0%","4.8%","11,778","77.4%","75.7%","2.2%","11,593","78.4%","75.8%","1.9%","14,927","81.2%","79.2%","2.4%"
