"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Labor Force Participation Rate!!Estimate","Puerto Rico!!Employment/Population Ratio!!Estimate","Puerto Rico!!Unemployment rate!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Arecibo Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Arecibo Municipio, Puerto Rico!!Unemployment rate!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Bayamón Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Bayamón Municipio, Puerto Rico!!Unemployment rate!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Caguas Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Caguas Municipio, Puerto Rico!!Unemployment rate!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Carolina Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Carolina Municipio, Puerto Rico!!Unemployment rate!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Guaynabo Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Guaynabo Municipio, Puerto Rico!!Unemployment rate!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Mayagüez Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Mayagüez Municipio, Puerto Rico!!Unemployment rate!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Ponce Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Ponce Municipio, Puerto Rico!!Unemployment rate!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","San Juan Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","San Juan Municipio, Puerto Rico!!Unemployment rate!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Toa Alta Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Toa Alta Municipio, Puerto Rico!!Unemployment rate!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Toa Baja Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Toa Baja Municipio, Puerto Rico!!Unemployment rate!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Unemployment rate!!Estimate"
"        65 to 74 years","383,979","11.7%","11.2%","3.7%","9,971","7.6%","6.6%","13.4%","21,020","14.6%","12.8%","12.4%","14,102","11.2%","11.2%","0.0%","17,044","17.0%","16.7%","1.6%","11,653","28.3%","26.8%","5.1%","8,607","8.7%","8.7%","0.0%","17,018","8.1%","7.7%","4.8%","41,007","19.7%","18.7%","4.9%","6,467","9.1%","9.1%","0.0%","8,191","17.5%","17.5%","0.0%","N","N","N","N"
"        75 years and over","372,867","2.9%","2.9%","0.5%","10,698","2.9%","2.9%","0.0%","23,433","3.3%","3.1%","6.9%","14,278","1.7%","1.7%","0.0%","20,488","4.4%","4.4%","0.0%","11,331","4.2%","4.2%","0.0%","10,234","3.2%","3.2%","0.0%","16,535","2.4%","2.4%","0.0%","44,658","5.8%","5.8%","0.0%","4,932","0.0%","0.0%","-","8,081","4.6%","4.6%","0.0%","N","N","N","N"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","732,762","43.5%","39.1%","9.9%","N","N","N","N","19,224","36.8%","35.7%","3.0%","N","N","N","N","25,070","48.6%","44.8%","7.5%","9,473","47.4%","43.8%","4.1%","6,792","24.1%","19.3%","19.8%","26,449","31.1%","29.5%","3.4%","77,314","51.2%","47.3%","7.2%","N","N","N","N","N","N","N","N","N","N","N","N"
"        Black or African American alone","164,531","44.7%","40.4%","9.4%","N","N","N","N","N","N","N","N","N","N","N","N","14,049","47.0%","40.1%","14.6%","N","N","N","N","N","N","N","N","N","N","N","N","35,633","53.1%","46.3%","12.1%","N","N","N","N","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","805,482","49.8%","44.7%","10.0%","16,925","30.3%","26.3%","9.9%","49,311","54.4%","49.8%","8.0%","28,850","46.5%","42.4%","9.0%","48,776","58.8%","52.3%","10.2%","18,054","60.7%","57.9%","4.6%","45,505","46.2%","34.4%","25.2%","17,899","43.8%","40.3%","8.1%","69,922","57.5%","49.4%","13.8%","21,115","61.9%","54.3%","10.4%","45,086","61.2%","55.8%","8.9%","N","N","N","N"
"        Two or more races","1,067,361","46.5%","41.7%","10.0%","50,939","50.1%","45.0%","10.1%","78,145","46.0%","41.8%","8.6%","31,847","51.3%","46.9%","8.5%","42,939","54.8%","48.8%","10.9%","49,050","52.2%","48.6%","6.9%","N","N","N","N","62,978","40.8%","34.4%","15.5%","106,027","50.8%","46.7%","8.1%","30,309","52.5%","47.1%","10.1%","N","N","N","N","26,076","61.6%","58.0%","5.7%"
"        Hispanic or Latino origin (of any race)","2,753,102","46.5%","41.7%","9.9%","74,392","44.2%","39.0%","11.2%","155,498","47.5%","43.6%","7.9%","106,986","48.2%","44.8%","7.0%","129,336","54.1%","48.3%","10.3%","77,289","53.2%","50.1%","6.0%","61,418","43.1%","33.6%","21.7%","111,698","38.4%","33.5%","12.3%","285,313","52.6%","47.2%","9.9%","56,660","55.7%","50.0%","9.4%","62,585","56.0%","51.2%","8.5%","58,248","54.8%","51.8%","5.5%"
"        White alone, not Hispanic or Latino","15,888","56.9%","53.5%","3.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Population 20 to 64 years","1,864,363","64.8%","58.4%","9.5%","50,196","62.3%","55.0%","11.2%","105,072","66.3%","61.0%","7.5%","74,881","67.0%","62.2%","7.1%","87,177","76.0%","68.2%","9.8%","51,863","73.2%","69.0%","5.2%","38,033","63.3%","49.6%","21.4%","72,790","55.9%","48.9%","12.1%","190,248","73.1%","65.9%","9.5%","42,181","71.4%","65.1%","8.0%","43,926","75.7%","69.3%","8.3%","N","N","N","N"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","891,068","69.8%","63.3%","8.9%","23,971","69.2%","60.3%","12.0%","50,288","67.5%","61.6%","8.0%","35,161","71.7%","67.7%","5.7%","40,661","79.0%","72.8%","6.9%","24,994","78.0%","73.3%","6.1%","19,009","64.6%","50.3%","21.7%","35,420","62.9%","53.5%","14.1%","88,617","76.8%","69.8%","8.5%","20,117","79.1%","71.6%","8.6%","20,431","79.6%","72.8%","8.3%","N","N","N","N"
"        Female","973,295","60.2%","54.0%","10.2%","26,225","56.0%","50.2%","10.4%","54,784","65.2%","60.5%","7.0%","39,720","62.8%","57.4%","8.5%","46,516","73.4%","64.2%","12.5%","26,869","68.6%","65.1%","4.3%","19,024","62.0%","48.9%","21.1%","37,370","49.4%","44.6%","9.8%","101,631","69.9%","62.5%","10.5%","22,064","64.4%","59.2%","7.3%","23,495","72.3%","66.3%","8.3%","N","N","N","N"
"            With own children under 18 years","274,114","69.6%","61.6%","11.4%","6,839","74.8%","69.0%","7.8%","15,471","72.9%","67.1%","7.3%","10,010","83.9%","73.1%","12.9%","13,938","81.6%","66.3%","18.8%","N","N","N","N","5,654","75.2%","54.6%","27.3%","11,821","52.2%","46.1%","11.5%","26,095","72.0%","61.7%","14.3%","N","N","N","N","7,238","77.8%","66.1%","15.1%","N","N","N","N"
"                With own children under 6 years only","47,943","70.5%","60.4%","13.9%","1,021","60.7%","60.7%","0.0%","2,229","65.7%","65.7%","0.0%","1,688","90.6%","61.3%","32.4%","2,609","79.6%","52.2%","34.5%","N","N","N","N","1,158","87.8%","38.9%","55.7%","1,855","25.0%","18.0%","28.0%","4,884","83.6%","72.5%","13.2%","N","N","N","N","1,437","86.5%","69.9%","19.2%","N","N","N","N"
"                With own children under 6 years and 6 to 17  years","37,930","58.9%","49.4%","16.3%","1,283","53.2%","42.0%","21.1%","2,609","58.1%","49.1%","15.4%","1,352","80.5%","80.5%","0.0%","2,276","80.8%","68.3%","15.4%","N","N","N","N","533","48.6%","34.9%","28.2%","2,026","43.6%","19.3%","55.8%","2,926","36.0%","34.1%","5.4%","N","N","N","N","1,583","62.0%","36.8%","40.6%","N","N","N","N"
"                With own children 6 to 17 years only","188,241","71.5%","64.4%","9.9%","4,535","84.1%","78.5%","6.7%","10,633","78.1%","71.8%","7.1%","6,970","82.9%","74.5%","10.1%","9,053","82.4%","69.8%","15.2%","N","N","N","N","3,963","75.0%","61.9%","17.6%","7,940","60.7%","59.6%","1.8%","18,285","74.6%","63.2%","15.3%","N","N","N","N","4,218","80.7%","75.8%","6.2%","N","N","N","N"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Below poverty level","696,551","46.9%","36.0%","22.9%","15,386","48.6%","37.4%","23.0%","34,974","48.2%","36.9%","23.1%","26,333","50.6%","40.7%","19.5%","23,350","56.8%","43.3%","23.4%","13,800","47.3%","37.4%","20.9%","18,074","53.9%","32.0%","40.0%","35,598","41.1%","30.1%","26.4%","65,165","54.5%","41.9%","23.0%","9,473","53.5%","41.1%","23.1%","11,953","56.8%","45.6%","19.7%","10,958","44.4%","36.8%","17.0%"
"        At or above the poverty level","1,154,033","76.3%","72.6%","4.6%","33,408","71.0%","65.2%","7.5%","66,099","79.9%","77.5%","2.5%","48,522","75.9%","73.9%","2.6%","63,802","83.0%","77.3%","6.4%","38,057","82.5%","80.5%","1.9%","19,539","72.8%","66.3%","9.0%","34,026","76.5%","72.9%","4.2%","122,942","84.0%","79.6%","4.9%","32,704","76.6%","72.1%","4.9%","31,973","82.8%","78.2%","5.4%","29,108","81.8%","78.6%","3.9%"
"    DISABILITY STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With any disability","334,126","35.8%","31.3%","12.2%","6,515","30.9%","29.2%","5.3%","16,721","42.1%","38.8%","7.9%","15,524","39.1%","35.1%","10.2%","9,318","28.7%","25.5%","11.1%","6,625","39.9%","37.3%","6.4%","5,644","27.7%","18.8%","32.2%","12,908","31.4%","23.5%","25.2%","32,355","49.9%","45.2%","9.3%","7,515","44.5%","38.1%","14.5%","10,726","57.8%","51.4%","11.0%","6,836","64.1%","54.6%","14.9%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","1,647,592","65.6%","59.9%","8.3%","44,103","62.0%","55.4%","10.0%","92,831","67.7%","63.1%","6.3%","65,710","69.0%","64.2%","6.9%","77,147","76.7%","69.4%","9.4%","46,605","75.4%","71.6%","4.6%","29,890","66.1%","51.5%","21.7%","63,788","57.0%","50.9%","10.5%","167,679","74.0%","67.5%","8.6%","37,413","74.0%","67.9%","7.3%","38,124","75.0%","69.9%","6.7%","N","N","N","N"
"        Less than high school graduate","176,747","37.8%","31.9%","15.7%","3,222","40.7%","35.4%","13.1%","7,622","31.8%","27.0%","15.1%","4,210","46.3%","41.5%","10.3%","4,510","43.8%","40.8%","6.7%","3,278","49.1%","38.3%","21.9%","4,272","53.0%","31.4%","40.8%","7,408","17.5%","8.6%","51.0%","15,499","49.5%","42.2%","14.7%","1,878","52.3%","38.4%","26.6%","2,297","46.2%","44.5%","3.8%","N","N","N","N"
"        High school graduate (includes equivalency)","450,491","56.6%","50.3%","11.1%","12,744","44.4%","36.9%","16.9%","20,030","52.3%","48.2%","7.9%","14,688","56.0%","52.1%","7.0%","18,677","67.9%","62.8%","7.5%","6,906","65.0%","63.4%","2.5%","10,816","62.3%","45.3%","27.3%","19,012","43.7%","38.7%","11.3%","35,006","66.1%","56.4%","14.7%","10,553","60.8%","59.1%","2.8%","8,933","75.3%","62.4%","17.2%","N","N","N","N"
"        Some college or associate's degree","458,224","68.5%","61.7%","9.8%","12,520","69.4%","63.2%","9.0%","30,706","76.3%","69.0%","8.2%","20,977","70.2%","63.1%","10.2%","22,660","79.6%","68.0%","14.7%","10,942","71.5%","65.1%","6.9%","7,134","67.0%","53.0%","21.0%","16,797","65.1%","56.4%","13.4%","36,857","72.7%","66.0%","9.2%","11,995","72.4%","63.1%","12.9%","14,756","73.2%","68.4%","6.6%","N","N","N","N"
"        Bachelor's degree or higher","562,130","79.1%","75.1%","4.6%","15,617","74.7%","68.3%","7.1%","34,473","77.1%","74.5%","3.3%","25,835","79.0%","75.7%","4.1%","31,300","84.5%","78.6%","6.9%","25,479","83.3%","81.0%","2.8%","7,668","77.8%","70.2%","8.5%","20,571","76.8%","72.9%","4.7%","80,317","82.8%","78.0%","5.5%","12,987","89.2%","83.6%","3.9%","12,138","82.4%","81.9%","0.0%","N","N","N","N"
