"Label (Grouping)","Puerto Rico!!Occupied housing units!!Estimate","Puerto Rico!!Percent occupied housing units!!Estimate","Puerto Rico!!Owner-occupied housing units!!Estimate","Puerto Rico!!Percent owner-occupied housing units!!Estimate","Puerto Rico!!Renter-occupied housing units!!Estimate","Puerto Rico!!Percent renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate"
"        $75,000 to $99,999","52,813","4.5%","46,716","5.8%","6,097","1.7%","363","1.3%","363","2.2%","0","0.0%","3,169","4.8%","2,856","6.3%","313","1.5%","2,346","4.9%","2,253","7.1%","93","0.6%","5,052","8.6%","4,031","10.1%","1,021","5.3%","2,387","7.3%","2,006","8.2%","381","4.5%","579","2.1%","370","2.7%","209","1.5%","1,869","3.7%","1,803","5.0%","66","0.5%","8,300","6.1%","6,692","9.6%","1,608","2.4%","1,750","8.4%","1,750","10.0%","0","0.0%","1,672","5.9%","1,223","5.9%","449","5.9%","1,987","8.0%","1,987","9.6%","0","0.0%"
"        $100,000 to $149,999","38,823","3.3%","33,869","4.2%","4,954","1.4%","597","2.1%","597","3.6%","0","0.0%","3,263","4.9%","2,828","6.2%","435","2.1%","1,811","3.8%","1,413","4.4%","398","2.5%","2,032","3.4%","1,714","4.3%","318","1.7%","3,650","11.1%","3,244","13.3%","406","4.8%","685","2.5%","685","5.0%","0","0.0%","1,132","2.3%","1,063","3.0%","69","0.5%","6,836","5.0%","5,860","8.4%","976","1.5%","791","3.8%","616","3.5%","175","5.0%","1,048","3.7%","1,048","5.1%","0","0.0%","1,683","6.8%","1,181","5.7%","502","12.0%"
"        $150,000 or more","27,768","2.4%","25,107","3.1%","2,661","0.7%","259","0.9%","204","1.2%","55","0.5%","1,060","1.6%","959","2.1%","101","0.5%","2,164","4.5%","2,046","6.4%","118","0.8%","1,410","2.4%","899","2.3%","511","2.7%","3,421","10.4%","3,004","12.3%","417","4.9%","527","1.9%","527","3.8%","0","0.0%","1,075","2.1%","986","2.8%","89","0.6%","6,958","5.1%","5,877","8.4%","1,081","1.6%","222","1.1%","222","1.3%","0","0.0%","568","2.0%","509","2.5%","59","0.8%","1,187","4.8%","1,187","5.7%","0","0.0%"
"        Median household income (dollars)","22,237","22,237","27,185","27,185","13,807","13,807","18,341","18,341","24,532","24,532","12,248","12,248","26,014","26,014","32,015","32,015","14,221","14,221","26,473","26,473","33,246","33,246","14,713","14,713","30,734","30,734","35,014","35,014","21,650","21,650","44,673","44,673","52,320","52,320","21,096","21,096","15,941","15,941","18,853","18,853","11,459","11,459","17,876","17,876","22,970","22,970","8,338","8,338","22,175","22,175","38,054","38,054","11,146","11,146","26,292","26,292","30,837","30,837","11,793","11,793","30,561","30,561","33,029","33,029","23,399","23,399","36,349","36,349","38,389","38,389","21,547","21,547"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $300","486,442","41.7%","438,306","54.8%","48,136","13.2%","11,170","38.9%","10,146","60.5%","N","N","23,346","35.2%","20,914","45.8%","2,432","11.7%","14,076","29.6%","12,692","39.8%","1,384","8.8%","16,046","27.2%","13,607","34.3%","2,439","12.7%","8,635","26.3%","8,190","33.6%","N","N","12,181","44.4%","8,749","63.8%","3,432","25.0%","25,004","50.0%","21,714","60.7%","3,290","23.1%","34,011","25.0%","22,475","32.1%","11,536","17.5%","8,123","38.8%","7,730","44.4%","N","N","9,127","32.3%","8,951","43.4%","N","N","9,068","36.4%","8,358","40.3%","N","N"
"        $300 to $499","142,417","12.2%","76,549","9.6%","65,868","18.0%","3,510","12.2%","1,238","7.4%","N","N","6,665","10.0%","4,293","9.4%","2,372","11.5%","5,293","11.1%","2,962","9.3%","2,331","14.8%","7,407","12.6%","5,269","13.3%","2,138","11.1%","4,675","14.2%","3,474","14.3%","N","N","4,896","17.8%","1,445","10.5%","3,451","25.1%","4,913","9.8%","3,027","8.5%","1,886","13.2%","23,949","17.6%","10,677","15.3%","13,272","20.2%","1,303","6.2%","878","5.0%","N","N","2,575","9.1%","1,959","9.5%","N","N","3,874","15.6%","3,370","16.3%","N","N"
"        $500 to $799","201,119","17.2%","124,381","15.5%","76,738","21.0%","5,352","18.6%","3,805","22.7%","N","N","13,950","21.0%","7,416","16.2%","6,534","31.5%","9,608","20.2%","5,280","16.6%","4,328","27.5%","11,745","19.9%","6,425","16.2%","5,320","27.7%","2,674","8.1%","1,966","8.1%","N","N","3,651","13.3%","1,902","13.9%","1,749","12.7%","9,731","19.5%","5,969","16.7%","3,762","26.4%","27,984","20.6%","11,560","16.5%","16,424","24.9%","2,419","11.6%","2,029","11.6%","N","N","5,495","19.4%","3,836","18.6%","N","N","3,705","14.9%","2,939","14.2%","N","N"
"        $800 to $999","86,258","7.4%","64,732","8.1%","21,526","5.9%","1,471","5.1%","1,151","6.9%","N","N","9,436","14.2%","5,742","12.6%","3,694","17.8%","5,932","12.5%","4,494","14.1%","1,438","9.1%","8,469","14.4%","6,119","15.4%","2,350","12.2%","2,719","8.3%","2,107","8.7%","N","N","566","2.1%","492","3.6%","74","0.5%","3,871","7.7%","2,583","7.2%","1,288","9.0%","13,411","9.9%","7,553","10.8%","5,858","8.9%","2,043","9.8%","2,043","11.7%","N","N","3,678","13.0%","2,680","13.0%","N","N","2,218","8.9%","1,794","8.7%","N","N"
"        $1,000 to $1,499","76,954","6.6%","63,063","7.9%","13,891","3.8%","354","1.2%","354","2.1%","N","N","7,205","10.9%","5,790","12.7%","1,415","6.8%","3,963","8.3%","3,586","11.3%","377","2.4%","8,297","14.1%","6,204","15.6%","2,093","10.9%","4,921","15.0%","3,701","15.2%","N","N","1,071","3.9%","430","3.1%","641","4.7%","2,329","4.7%","1,973","5.5%","356","2.5%","14,636","10.8%","10,312","14.7%","4,324","6.6%","3,682","17.6%","3,223","18.5%","N","N","2,610","9.2%","2,086","10.1%","N","N","3,363","13.5%","3,178","15.3%","N","N"
"        $1,500 to $1,999","20,664","1.8%","18,337","2.3%","2,327","0.6%","84","0.3%","84","0.5%","N","N","714","1.1%","714","1.6%","0","0.0%","1,418","3.0%","1,418","4.5%","0","0.0%","1,785","3.0%","1,420","3.6%","365","1.9%","3,046","9.3%","2,279","9.4%","N","N","486","1.8%","486","3.5%","0","0.0%","435","0.9%","401","1.1%","34","0.2%","2,965","2.2%","2,775","4.0%","190","0.3%","1,455","7.0%","1,455","8.4%","N","N","1,056","3.7%","917","4.4%","N","N","473","1.9%","473","2.3%","N","N"
"        $2,000 to $2,499","8,867","0.8%","8,131","1.0%","736","0.2%","0","0.0%","0","0.0%","N","N","377","0.6%","377","0.8%","0","0.0%","1,149","2.4%","1,149","3.6%","0","0.0%","512","0.9%","490","1.2%","22","0.1%","906","2.8%","758","3.1%","N","N","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","2,573","1.9%","2,206","3.2%","367","0.6%","0","0.0%","0","0.0%","N","N","107","0.4%","107","0.5%","N","N","434","1.7%","302","1.5%","N","N"
"        $2,500 to $2,999","3,796","0.3%","3,327","0.4%","469","0.1%","0","0.0%","0","0.0%","N","N","285","0.4%","285","0.6%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","185","0.3%","185","0.5%","0","0.0%","755","2.3%","718","2.9%","N","N","205","0.7%","205","1.5%","0","0.0%","106","0.2%","106","0.3%","0","0.0%","1,558","1.1%","1,126","1.6%","432","0.7%","0","0.0%","0","0.0%","N","N","0","0.0%","0","0.0%","N","N","157","0.6%","157","0.8%","N","N"
"        $3,000 or more","4,381","0.4%","3,729","0.5%","652","0.2%","0","0.0%","0","0.0%","N","N","142","0.2%","142","0.3%","0","0.0%","284","0.6%","284","0.9%","0","0.0%","100","0.2%","0","0.0%","100","0.5%","1,652","5.0%","1,153","4.7%","N","N","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","1,329","1.0%","1,329","1.9%","0","0.0%","63","0.3%","63","0.4%","N","N","77","0.3%","77","0.4%","N","N","156","0.6%","156","0.8%","N","N"
"        No cash rent","135,084","11.6%","(X)","(X)","135,084","37.0%","6,801","23.7%","(X)","(X)","N","N","4,265","6.4%","(X)","(X)","4,265","20.6%","5,863","12.3%","(X)","(X)","5,863","37.3%","4,384","7.4%","(X)","(X)","4,384","22.8%","2,843","8.7%","(X)","(X)","N","N","4,391","16.0%","(X)","(X)","4,391","32.0%","3,618","7.2%","(X)","(X)","3,618","25.4%","13,449","9.9%","(X)","(X)","13,449","20.4%","1,830","8.7%","(X)","(X)","N","N","3,551","12.6%","(X)","(X)","N","N","1,450","5.8%","(X)","(X)","N","N"
"        Median (dollars)","343","343","259","259","504","504","294","294","237","237","438","438","524","524","371","371","617","617","555","555","518","518","602","602","581","581","542","542","645","645","664","664","560","560","948","948","270","270","197","197","401","401","268","268","211","211","515","515","528","528","536","536","524","524","528","528","527","527","555","555","536","536","443","443","692","692","436","436","442","442","566","566"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","392,202","33.6%","280,415","35.0%","111,787","30.6%","N","N","N","N","N","N","20,538","30.9%","13,149","28.8%","7,389","35.7%","13,301","28.0%","8,157","25.6%","5,144","32.7%","15,082","25.6%","9,664","24.3%","5,418","28.2%","6,046","18.4%","4,510","18.5%","1,536","18.1%","12,803","46.6%","6,944","50.7%","5,859","42.6%","18,489","37.0%","13,228","37.0%","5,261","37.0%","42,830","31.5%","18,484","26.4%","24,346","37.0%","N","N","N","N","N","N","7,586","26.8%","6,318","30.7%","1,268","16.5%","N","N","N","N","N","N"
"            Less than 20 percent","156,561","13.4%","149,709","18.7%","6,852","1.9%","N","N","N","N","N","N","5,815","8.8%","5,746","12.6%","69","0.3%","3,658","7.7%","3,454","10.8%","204","1.3%","4,472","7.6%","4,045","10.2%","427","2.2%","2,230","6.8%","2,230","9.2%","0","0.0%","4,862","17.7%","4,329","31.6%","533","3.9%","8,075","16.1%","7,349","20.5%","726","5.1%","7,344","5.4%","6,128","8.8%","1,216","1.8%","N","N","N","N","N","N","3,136","11.1%","2,960","14.4%","176","2.3%","N","N","N","N","N","N"
"            20 to 29 percent","52,035","4.5%","33,329","4.2%","18,706","5.1%","N","N","N","N","N","N","2,246","3.4%","1,573","3.4%","673","3.2%","1,253","2.6%","522","1.6%","731","4.6%","2,042","3.5%","1,310","3.3%","732","3.8%","780","2.4%","661","2.7%","119","1.4%","2,192","8.0%","535","3.9%","1,657","12.1%","2,549","5.1%","1,923","5.4%","626","4.4%","5,496","4.0%","2,401","3.4%","3,095","4.7%","N","N","N","N","N","N","995","3.5%","946","4.6%","49","0.6%","N","N","N","N","N","N"
"            30 percent or more","183,606","15.7%","97,377","12.2%","86,229","23.6%","N","N","N","N","N","N","12,477","18.8%","5,830","12.8%","6,647","32.1%","8,390","17.6%","4,181","13.1%","4,209","26.8%","8,568","14.5%","4,309","10.8%","4,259","22.2%","3,036","9.2%","1,619","6.6%","1,417","16.7%","5,749","20.9%","2,080","15.2%","3,669","26.7%","7,865","15.7%","3,956","11.1%","3,909","27.5%","29,990","22.1%","9,955","14.2%","20,035","30.4%","N","N","N","N","N","N","3,455","12.2%","2,412","11.7%","1,043","13.6%","N","N","N","N","N","N"
