"Label (Grouping)","Puerto Rico!!Occupied housing units!!Estimate","Puerto Rico!!Percent occupied housing units!!Estimate","Puerto Rico!!Owner-occupied housing units!!Estimate","Puerto Rico!!Percent owner-occupied housing units!!Estimate","Puerto Rico!!Renter-occupied housing units!!Estimate","Puerto Rico!!Percent renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate"
"        $75,000 to $99,999","80,135","6.4%","65,641","7.6%","14,494","3.8%","1,188","3.5%","1,188","4.7%","0","0.0%","5,709","7.7%","4,405","8.3%","1,304","6.3%","4,329","10.0%","3,455","11.8%","874","6.2%","6,575","10.6%","5,235","13.0%","1,340","6.1%","2,880","8.1%","2,255","8.1%","625","8.1%","918","3.3%","510","3.9%","408","2.9%","2,520","4.5%","2,476","6.6%","44","0.2%","10,893","7.4%","8,562","10.7%","2,331","3.5%","2,849","12.0%","2,475","13.1%","374","7.7%","3,483","12.1%","2,308","12.5%","1,175","11.5%","2,398","9.6%","1,913","11.1%","485","6.2%"
"        $100,000 to $149,999","59,648","4.8%","49,938","5.8%","9,710","2.5%","1,265","3.7%","1,004","4.0%","261","2.9%","4,638","6.3%","3,714","7.0%","924","4.5%","3,135","7.2%","2,611","8.9%","524","3.7%","5,483","8.8%","4,927","12.2%","556","2.5%","4,543","12.8%","3,996","14.4%","547","7.1%","1,027","3.7%","907","6.9%","120","0.8%","1,965","3.5%","1,412","3.8%","553","2.9%","9,082","6.2%","6,863","8.6%","2,219","3.3%","1,937","8.1%","1,606","8.5%","331","6.8%","953","3.3%","573","3.1%","380","3.7%","1,335","5.3%","1,101","6.4%","234","3.0%"
"        $150,000 or more","42,765","3.4%","38,310","4.4%","4,455","1.2%","652","1.9%","652","2.6%","0","0.0%","3,128","4.2%","2,551","4.8%","577","2.8%","1,517","3.5%","1,454","4.9%","63","0.4%","1,597","2.6%","1,275","3.2%","322","1.5%","5,068","14.3%","4,955","17.8%","113","1.5%","374","1.4%","374","2.8%","0","0.0%","732","1.3%","732","1.9%","0","0.0%","9,439","6.5%","8,152","10.2%","1,287","1.9%","1,748","7.3%","1,748","9.2%","0","0.0%","1,038","3.6%","926","5.0%","112","1.1%","1,883","7.5%","1,883","10.9%","0","0.0%"
"        Median household income (dollars)","27,213","27,213","32,237","32,237","18,571","18,571","22,309","22,309","25,917","25,917","15,071","15,071","32,481","32,481","36,669","36,669","21,212","21,212","33,859","33,859","41,171","41,171","16,801","16,801","35,868","35,868","46,004","46,004","24,547","24,547","44,659","44,659","56,701","56,701","27,567","27,567","16,803","16,803","25,995","25,995","10,770","10,770","22,210","22,210","29,656","29,656","9,787","9,787","30,447","30,447","42,620","42,620","17,936","17,936","40,321","40,321","43,191","43,191","31,442","31,442","33,420","33,420","35,660","35,660","27,800","27,800","38,457","38,457","48,698","48,698","21,938","21,938"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $300","477,411","38.4%","440,265","51.1%","37,146","9.7%","15,869","46.4%","15,063","59.8%","N","N","21,887","29.6%","20,563","38.5%","1,324","6.4%","13,464","31.0%","12,545","42.7%","N","N","16,432","26.4%","14,138","35.0%","2,294","10.5%","8,943","25.2%","8,283","29.8%","N","N","9,510","34.7%","8,623","65.2%","N","N","24,737","43.8%","22,194","59.0%","2,543","13.5%","32,795","22.4%","23,418","29.3%","9,377","14.1%","7,809","32.8%","7,271","38.4%","N","N","9,494","33.1%","8,817","47.8%","N","N","6,210","24.8%","6,085","35.3%","N","N"
"        $300 to $499","160,688","12.9%","102,468","11.9%","58,220","15.3%","4,590","13.4%","3,083","12.2%","N","N","8,812","11.9%","6,846","12.8%","1,966","9.5%","5,533","12.7%","3,319","11.3%","N","N","7,205","11.6%","5,092","12.6%","2,113","9.7%","3,651","10.3%","3,122","11.2%","N","N","5,722","20.9%","1,846","14.0%","N","N","8,469","15.0%","5,211","13.9%","3,258","17.3%","26,033","17.8%","12,885","16.1%","13,148","19.8%","2,363","9.9%","2,130","11.2%","N","N","3,325","11.6%","1,941","10.5%","N","N","3,392","13.6%","2,512","14.6%","N","N"
"        $500 to $799","207,025","16.7%","125,709","14.6%","81,316","21.3%","4,058","11.9%","2,625","10.4%","N","N","13,897","18.8%","8,827","16.5%","5,070","24.5%","6,126","14.1%","4,496","15.3%","N","N","11,743","18.9%","6,554","16.2%","5,189","23.7%","4,573","12.9%","3,640","13.1%","N","N","4,374","15.9%","982","7.4%","N","N","9,789","17.3%","5,869","15.6%","3,920","20.8%","27,313","18.7%","14,297","17.9%","13,016","19.6%","3,846","16.2%","2,206","11.6%","N","N","6,484","22.6%","2,996","16.2%","N","N","3,547","14.2%","1,803","10.5%","N","N"
"        $800 to $999","100,105","8.1%","68,906","8.0%","31,199","8.2%","3,290","9.6%","2,313","9.2%","N","N","10,051","13.6%","6,953","13.0%","3,098","15.0%","4,918","11.3%","3,077","10.5%","N","N","7,398","11.9%","5,066","12.6%","2,332","10.7%","3,819","10.8%","2,805","10.1%","N","N","1,783","6.5%","577","4.4%","N","N","2,662","4.7%","1,773","4.7%","889","4.7%","15,601","10.7%","7,957","9.9%","7,644","11.5%","3,157","13.3%","2,285","12.1%","N","N","3,284","11.5%","2,036","11.0%","N","N","1,952","7.8%","1,513","8.8%","N","N"
"        $1,000 to $1,499","102,520","8.3%","78,482","9.1%","24,038","6.3%","1,479","4.3%","1,393","5.5%","N","N","10,350","14.0%","7,752","14.5%","2,598","12.6%","4,487","10.3%","3,162","10.8%","N","N","8,699","14.0%","6,817","16.9%","1,882","8.6%","5,198","14.6%","3,810","13.7%","N","N","794","2.9%","668","5.0%","N","N","2,500","4.4%","1,598","4.2%","902","4.8%","17,718","12.1%","10,585","13.2%","7,133","10.8%","3,980","16.7%","3,359","17.7%","N","N","2,989","10.4%","2,120","11.5%","N","N","4,955","19.8%","4,117","23.9%","N","N"
"        $1,500 to $1,999","29,340","2.4%","24,375","2.8%","4,965","1.3%","294","0.9%","294","1.2%","N","N","1,997","2.7%","1,699","3.2%","298","1.4%","1,377","3.2%","1,266","4.3%","N","N","2,016","3.2%","1,386","3.4%","630","2.9%","3,997","11.3%","3,208","11.5%","N","N","551","2.0%","273","2.1%","N","N","510","0.9%","396","1.1%","114","0.6%","6,359","4.3%","4,780","6.0%","1,579","2.4%","1,227","5.2%","1,046","5.5%","N","N","447","1.6%","447","2.4%","N","N","540","2.2%","481","2.8%","N","N"
"        $2,000 to $2,499","11,942","1.0%","10,096","1.2%","1,846","0.5%","177","0.5%","177","0.7%","N","N","243","0.3%","105","0.2%","138","0.7%","1,399","3.2%","1,399","4.8%","N","N","666","1.1%","666","1.7%","0","0.0%","1,867","5.3%","1,813","6.5%","N","N","48","0.2%","48","0.4%","N","N","375","0.7%","375","1.0%","0","0.0%","2,375","1.6%","1,545","1.9%","830","1.3%","334","1.4%","334","1.8%","N","N","0","0.0%","0","0.0%","N","N","710","2.8%","607","3.5%","N","N"
"        $2,500 to $2,999","4,107","0.3%","3,092","0.4%","1,015","0.3%","92","0.3%","92","0.4%","N","N","358","0.5%","283","0.5%","75","0.4%","0","0.0%","0","0.0%","N","N","518","0.8%","325","0.8%","193","0.9%","571","1.6%","325","1.2%","N","N","112","0.4%","112","0.8%","N","N","154","0.3%","154","0.4%","0","0.0%","1,846","1.3%","1,345","1.7%","501","0.8%","187","0.8%","187","1.0%","N","N","80","0.3%","80","0.4%","N","N","0","0.0%","0","0.0%","N","N"
"        $3,000 or more","9,030","0.7%","7,655","0.9%","1,375","0.4%","150","0.4%","150","0.6%","N","N","424","0.6%","322","0.6%","102","0.5%","230","0.5%","138","0.5%","N","N","298","0.5%","298","0.7%","0","0.0%","803","2.3%","803","2.9%","N","N","120","0.4%","100","0.8%","N","N","94","0.2%","42","0.1%","52","0.3%","3,895","2.7%","3,159","4.0%","736","1.1%","125","0.5%","125","0.7%","N","N","0","0.0%","0","0.0%","N","N","111","0.4%","111","0.6%","N","N"
"        No cash rent","140,441","11.3%","(X)","(X)","140,441","36.8%","4,227","12.4%","(X)","(X)","N","N","6,008","8.1%","(X)","(X)","6,008","29.1%","5,953","13.7%","(X)","(X)","N","N","7,236","11.6%","(X)","(X)","7,236","33.1%","2,080","5.9%","(X)","(X)","N","N","4,422","16.1%","(X)","(X)","N","N","7,134","12.6%","(X)","(X)","7,134","37.9%","12,344","8.4%","(X)","(X)","12,344","18.6%","757","3.2%","(X)","(X)","N","N","2,571","9.0%","(X)","(X)","N","N","3,611","14.4%","(X)","(X)","N","N"
"        Median (dollars)","383","383","292","292","580","580","282","282","238","238","514","514","586","586","470","470","736","736","490","490","415","415","643","643","632","632","586","586","664","664","744","744","673","673","905","905","363","363","234","234","510","510","299","299","245","245","502","502","594","594","595","595","594","594","600","600","509","509","712","712","518","518","338","338","678","678","621","621","504","504","663","663"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","349,431","28.1%","250,784","29.1%","98,647","25.9%","N","N","N","N","N","N","19,697","26.6%","14,890","27.9%","4,807","23.2%","9,361","21.5%","6,262","21.3%","3,099","22.0%","13,339","21.4%","7,633","18.9%","5,706","26.1%","5,973","16.8%","4,509","16.2%","1,464","19.0%","10,306","37.6%","4,693","35.5%","5,613","39.5%","18,383","32.6%","11,787","31.3%","6,596","35.1%","36,038","24.6%","14,738","18.4%","21,300","32.1%","5,140","21.6%","3,885","20.5%","1,255","25.9%","7,867","27.4%","5,063","27.5%","2,804","27.4%","N","N","N","N","N","N"
"            Less than 20 percent","136,553","11.0%","127,965","14.9%","8,588","2.3%","N","N","N","N","N","N","6,377","8.6%","6,110","11.5%","267","1.3%","3,207","7.4%","2,709","9.2%","498","3.5%","3,333","5.4%","2,559","6.3%","774","3.5%","1,691","4.8%","1,600","5.8%","91","1.2%","2,469","9.0%","2,449","18.5%","20","0.1%","6,963","12.3%","6,210","16.5%","753","4.0%","6,623","4.5%","4,139","5.2%","2,484","3.7%","1,472","6.2%","1,361","7.2%","111","2.3%","2,650","9.2%","2,479","13.4%","171","1.7%","N","N","N","N","N","N"
"            20 to 29 percent","48,853","3.9%","35,236","4.1%","13,617","3.6%","N","N","N","N","N","N","2,392","3.2%","1,552","2.9%","840","4.1%","1,006","2.3%","425","1.4%","581","4.1%","1,927","3.1%","1,417","3.5%","510","2.3%","1,211","3.4%","900","3.2%","311","4.0%","1,431","5.2%","972","7.3%","459","3.2%","3,177","5.6%","1,834","4.9%","1,343","7.1%","4,684","3.2%","2,331","2.9%","2,353","3.5%","660","2.8%","553","2.9%","107","2.2%","957","3.3%","682","3.7%","275","2.7%","N","N","N","N","N","N"
"            30 percent or more","164,025","13.2%","87,583","10.2%","76,442","20.0%","N","N","N","N","N","N","10,928","14.8%","7,228","13.5%","3,700","17.9%","5,148","11.8%","3,128","10.6%","2,020","14.3%","8,079","13.0%","3,657","9.1%","4,422","20.2%","3,071","8.7%","2,009","7.2%","1,062","13.8%","6,406","23.3%","1,272","9.6%","5,134","36.1%","8,243","14.6%","3,743","10.0%","4,500","23.9%","24,731","16.9%","8,268","10.3%","16,463","24.8%","3,008","12.6%","1,971","10.4%","1,037","21.4%","4,260","14.9%","1,902","10.3%","2,358","23.0%","N","N","N","N","N","N"
