"Label (Grouping)","Puerto Rico!!Occupied housing units!!Estimate","Puerto Rico!!Percent occupied housing units!!Estimate","Puerto Rico!!Owner-occupied housing units!!Estimate","Puerto Rico!!Percent owner-occupied housing units!!Estimate","Puerto Rico!!Renter-occupied housing units!!Estimate","Puerto Rico!!Percent renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate"
"        Median household income (dollars)","25,621","25,621","31,474","31,474","16,095","16,095","25,496","25,496","27,778","27,778","18,176","18,176","30,660","30,660","37,162","37,162","17,679","17,679","30,589","30,589","40,888","40,888","15,620","15,620","35,391","35,391","43,002","43,002","20,352","20,352","48,084","48,084","62,711","62,711","30,986","30,986","16,836","16,836","27,588","27,588","11,106","11,106","18,889","18,889","28,190","28,190","9,341","9,341","27,403","27,403","41,420","41,420","15,442","15,442","31,635","31,635","40,464","40,464","18,139","18,139","31,814","31,814","40,359","40,359","21,527","21,527","49,261","49,261","59,804","59,804","30,848","30,848"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $300","477,940","37.4%","432,505","49.5%","45,435","11.3%","12,767","38.1%","12,068","52.9%","N","N","22,699","29.8%","19,643","36.7%","3,056","13.5%","16,818","32.6%","14,846","42.2%","1,972","12.0%","17,606","27.7%","15,178","33.0%","2,428","13.9%","6,077","17.8%","5,611","24.0%","N","N","11,950","38.4%","8,954","63.1%","2,996","17.7%","22,556","39.7%","18,865","54.0%","3,691","16.9%","36,575","24.2%","25,179","30.8%","11,396","16.5%","7,381","30.1%","6,886","34.1%","N","N","8,490","28.0%","8,192","37.7%","N","N","5,838","21.4%","5,130","24.6%","N","N"
"        $300 to $499","159,371","12.5%","95,518","10.9%","63,853","15.8%","3,422","10.2%","2,036","8.9%","N","N","9,683","12.7%","6,859","12.8%","2,824","12.5%","7,576","14.7%","4,804","13.7%","2,772","16.9%","7,317","11.5%","5,699","12.4%","1,618","9.3%","4,039","11.8%","3,332","14.3%","N","N","5,790","18.6%","1,592","11.2%","4,198","24.8%","8,719","15.4%","5,180","14.8%","3,539","16.2%","21,207","14.0%","11,105","13.6%","10,102","14.6%","2,434","9.9%","1,861","9.2%","N","N","3,633","12.0%","2,857","13.1%","N","N","3,685","13.5%","3,395","16.3%","N","N"
"        $500 to $799","225,856","17.7%","131,985","15.1%","93,871","23.3%","6,808","20.3%","4,409","19.3%","N","N","15,909","20.9%","9,490","17.7%","6,419","28.4%","9,237","17.9%","5,805","16.5%","3,432","20.9%","12,735","20.1%","7,167","15.6%","5,568","31.9%","4,082","11.9%","2,719","11.6%","N","N","5,304","17.0%","1,617","11.4%","3,687","21.8%","9,125","16.1%","4,755","13.6%","4,370","20.0%","31,621","20.9%","12,454","15.2%","19,167","27.7%","3,453","14.1%","2,223","11.0%","N","N","5,528","18.2%","3,706","17.0%","N","N","3,985","14.6%","3,032","14.6%","N","N"
"        $800 to $999","103,973","8.1%","76,234","8.7%","27,739","6.9%","2,543","7.6%","2,152","9.4%","N","N","8,672","11.4%","6,224","11.6%","2,448","10.8%","3,296","6.4%","1,838","5.2%","1,458","8.9%","7,594","12.0%","6,057","13.2%","1,537","8.8%","2,881","8.4%","2,229","9.5%","N","N","1,321","4.2%","571","4.0%","750","4.4%","4,076","7.2%","1,882","5.4%","2,194","10.1%","14,796","9.8%","8,344","10.2%","6,452","9.3%","3,038","12.4%","2,685","13.3%","N","N","5,299","17.5%","3,824","17.6%","N","N","3,421","12.5%","1,951","9.4%","N","N"
"        $1,000 to $1,499","108,627","8.5%","87,454","10.0%","21,173","5.2%","2,119","6.3%","1,794","7.9%","N","N","11,917","15.6%","9,576","17.9%","2,341","10.3%","6,381","12.4%","4,654","13.2%","1,727","10.5%","9,522","15.0%","8,115","17.6%","1,407","8.1%","4,815","14.1%","3,151","13.5%","N","N","1,232","4.0%","560","3.9%","672","4.0%","4,250","7.5%","3,490","10.0%","760","3.5%","18,999","12.6%","13,286","16.2%","5,713","8.3%","4,483","18.3%","4,227","20.9%","N","N","3,741","12.3%","2,600","12.0%","N","N","4,402","16.1%","3,929","18.9%","N","N"
"        $1,500 to $1,999","31,900","2.5%","26,760","3.1%","5,140","1.3%","303","0.9%","303","1.3%","N","N","1,273","1.7%","822","1.5%","451","2.0%","1,407","2.7%","1,264","3.6%","143","0.9%","3,070","4.8%","2,920","6.3%","150","0.9%","3,239","9.5%","2,545","10.9%","N","N","653","2.1%","442","3.1%","211","1.2%","480","0.8%","440","1.3%","40","0.2%","7,682","5.1%","5,184","6.3%","2,498","3.6%","1,323","5.4%","1,323","6.5%","N","N","369","1.2%","369","1.7%","N","N","2,239","8.2%","2,239","10.8%","N","N"
"        $2,000 to $2,499","12,408","1.0%","10,637","1.2%","1,771","0.4%","0","0.0%","0","0.0%","N","N","335","0.4%","335","0.6%","0","0.0%","1,108","2.1%","1,108","3.1%","0","0.0%","347","0.5%","347","0.8%","0","0.0%","2,160","6.3%","1,374","5.9%","N","N","352","1.1%","352","2.5%","0","0.0%","331","0.6%","169","0.5%","162","0.7%","2,924","1.9%","2,254","2.8%","670","1.0%","747","3.1%","747","3.7%","N","N","164","0.5%","164","0.8%","N","N","858","3.1%","858","4.1%","N","N"
"        $2,500 to $2,999","6,553","0.5%","5,202","0.6%","1,351","0.3%","0","0.0%","0","0.0%","N","N","229","0.3%","229","0.4%","0","0.0%","744","1.4%","694","2.0%","50","0.3%","359","0.6%","359","0.8%","0","0.0%","839","2.5%","653","2.8%","N","N","0","0.0%","0","0.0%","0","0.0%","189","0.3%","0","0.0%","189","0.9%","2,309","1.5%","1,781","2.2%","528","0.8%","51","0.2%","51","0.3%","N","N","0","0.0%","0","0.0%","N","N","0","0.0%","0","0.0%","N","N"
"        $3,000 or more","9,307","0.7%","7,601","0.9%","1,706","0.4%","68","0.2%","68","0.3%","N","N","384","0.5%","384","0.7%","0","0.0%","444","0.9%","179","0.5%","265","1.6%","298","0.5%","145","0.3%","153","0.9%","2,173","6.4%","1,731","7.4%","N","N","94","0.3%","94","0.7%","0","0.0%","390","0.7%","170","0.5%","220","1.0%","2,655","1.8%","2,208","2.7%","447","0.6%","215","0.9%","215","1.1%","N","N","60","0.2%","29","0.1%","N","N","293","1.1%","293","1.4%","N","N"
"        No cash rent","141,551","11.1%","(X)","(X)","141,551","35.1%","5,436","16.2%","(X)","(X)","N","N","5,102","6.7%","(X)","(X)","5,102","22.5%","4,568","8.9%","(X)","(X)","4,568","27.9%","4,599","7.2%","(X)","(X)","4,599","26.3%","3,879","11.3%","(X)","(X)","N","N","4,415","14.2%","(X)","(X)","4,415","26.1%","6,656","11.7%","(X)","(X)","6,656","30.5%","12,201","8.1%","(X)","(X)","12,201","17.6%","1,361","5.6%","(X)","(X)","N","N","3,020","10.0%","(X)","(X)","N","N","2,578","9.4%","(X)","(X)","N","N"
"        Median (dollars)","412","412","310","310","557","557","387","387","284","284","536","536","579","579","511","511","662","662","481","481","423","423","590","590","616","616","624","624","609","609","888","888","801","801","1,079","1,079","346","346","248","248","447","447","347","347","277","277","526","526","609","609","612","612","607","607","643","643","671","671","566","566","589","589","488","488","772","772","715","715","702","702","749","749"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","371,120","29.1%","257,334","29.4%","113,786","28.2%","N","N","N","N","N","N","20,721","27.2%","12,952","24.2%","7,769","34.3%","12,175","23.6%","7,097","20.2%","5,078","31.0%","12,022","18.9%","7,386","16.1%","4,636","26.6%","5,680","16.6%","3,717","15.9%","1,963","18.1%","10,672","34.3%","4,251","30.0%","6,421","37.9%","20,047","35.3%","12,540","35.9%","7,507","34.4%","40,978","27.1%","16,555","20.2%","24,423","35.3%","6,688","27.3%","5,249","26.0%","1,439","33.7%","6,095","20.1%","4,209","19.4%","1,886","22.0%","4,097","15.0%","3,096","14.9%","1,001","15.5%"
"            Less than 20 percent","133,699","10.5%","127,470","14.6%","6,229","1.5%","N","N","N","N","N","N","5,379","7.1%","5,175","9.7%","204","0.9%","3,534","6.9%","3,431","9.7%","103","0.6%","3,034","4.8%","2,510","5.5%","524","3.0%","1,499","4.4%","1,461","6.3%","38","0.4%","2,763","8.9%","2,254","15.9%","509","3.0%","6,780","11.9%","6,038","17.3%","742","3.4%","7,441","4.9%","5,374","6.6%","2,067","3.0%","1,717","7.0%","1,621","8.0%","96","2.2%","2,314","7.6%","2,224","10.2%","90","1.1%","1,406","5.2%","1,406","6.8%","0","0.0%"
"            20 to 29 percent","54,539","4.3%","36,118","4.1%","18,421","4.6%","N","N","N","N","N","N","2,896","3.8%","1,637","3.1%","1,259","5.6%","1,791","3.5%","1,074","3.1%","717","4.4%","1,124","1.8%","522","1.1%","602","3.4%","911","2.7%","532","2.3%","379","3.5%","1,976","6.4%","719","5.1%","1,257","7.4%","3,127","5.5%","1,830","5.2%","1,297","5.9%","5,187","3.4%","1,789","2.2%","3,398","4.9%","1,174","4.8%","1,086","5.4%","88","2.1%","587","1.9%","455","2.1%","132","1.5%","547","2.0%","75","0.4%","472","7.3%"
"            30 percent or more","182,882","14.3%","93,746","10.7%","89,136","22.1%","N","N","N","N","N","N","12,446","16.3%","6,140","11.5%","6,306","27.9%","6,850","13.3%","2,592","7.4%","4,258","26.0%","7,864","12.4%","4,354","9.5%","3,510","20.1%","3,270","9.6%","1,724","7.4%","1,546","14.3%","5,933","19.1%","1,278","9.0%","4,655","27.5%","10,140","17.9%","4,672","13.4%","5,468","25.1%","28,350","18.8%","9,392","11.5%","18,958","27.4%","3,797","15.5%","2,542","12.6%","1,255","29.4%","3,194","10.5%","1,530","7.0%","1,664","19.4%","2,144","7.9%","1,615","7.8%","529","8.2%"
