"Label (Grouping)","Puerto Rico!!Occupied housing units!!Estimate","Puerto Rico!!Percent occupied housing units!!Estimate","Puerto Rico!!Owner-occupied housing units!!Estimate","Puerto Rico!!Percent owner-occupied housing units!!Estimate","Puerto Rico!!Renter-occupied housing units!!Estimate","Puerto Rico!!Percent renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate"
"        $75,000 to $99,999","49,955","4.3%","43,806","5.5%","6,149","1.7%","414","1.3%","414","2.1%","0","0.0%","3,583","5.2%","3,114","6.6%","469","2.2%","2,313","4.9%","2,075","6.7%","238","1.4%","2,921","5.0%","1,961","4.9%","960","5.2%","3,662","11.1%","3,219","14.4%","443","4.1%","696","2.4%","537","3.6%","159","1.2%","1,524","2.9%","1,491","4.2%","33","0.2%","7,991","5.8%","6,006","7.8%","1,985","3.2%","1,523","6.7%","1,523","7.8%","0","0.0%","1,752","6.2%","1,484","7.2%","268","3.5%","1,529","6.6%","1,529","9.4%","0","0.0%"
"        $100,000 to $149,999","33,682","2.9%","30,492","3.8%","3,190","0.9%","33","0.1%","33","0.2%","0","0.0%","2,083","3.0%","1,948","4.1%","135","0.6%","2,086","4.4%","1,828","5.9%","258","1.6%","2,397","4.1%","2,238","5.6%","159","0.9%","2,215","6.7%","1,854","8.3%","361","3.4%","554","1.9%","554","3.7%","0","0.0%","1,467","2.8%","1,414","4.0%","53","0.3%","7,051","5.1%","5,615","7.3%","1,436","2.3%","1,002","4.4%","1,002","5.1%","0","0.0%","582","2.1%","582","2.8%","0","0.0%","1,756","7.5%","1,643","10.1%","113","1.6%"
"        $150,000 or more","23,632","2.0%","20,830","2.6%","2,802","0.8%","455","1.4%","455","2.3%","0","0.0%","877","1.3%","762","1.6%","115","0.5%","1,200","2.5%","1,008","3.2%","192","1.2%","1,145","2.0%","1,050","2.6%","95","0.5%","3,383","10.2%","2,868","12.8%","515","4.8%","658","2.3%","658","4.4%","0","0.0%","1,155","2.2%","1,004","2.8%","151","0.9%","6,737","4.9%","5,875","7.6%","862","1.4%","249","1.1%","249","1.3%","0","0.0%","131","0.5%","131","0.6%","0","0.0%","880","3.8%","880","5.4%","0","0.0%"
"        Median household income (dollars)","20,474","20,474","25,264","25,264","11,937","11,937","18,977","18,977","25,993","25,993","11,261","11,261","27,386","27,386","33,123","33,123","15,888","15,888","24,507","24,507","30,892","30,892","13,952","13,952","27,658","27,658","30,491","30,491","20,103","20,103","37,499","37,499","49,037","49,037","19,906","19,906","14,525","14,525","22,846","22,846","6,915","6,915","15,130","15,130","21,314","21,314","7,626","7,626","23,005","23,005","35,002","35,002","10,695","10,695","28,440","28,440","31,931","31,931","14,130","14,130","23,368","23,368","25,823","25,823","18,390","18,390","32,244","32,244","42,998","42,998","16,747","16,747"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $300","492,816","42.1%","439,012","54.6%","53,804","14.6%","13,802","43.0%","12,322","63.3%","1,480","11.7%","22,826","33.1%","19,625","41.3%","3,201","14.9%","17,920","37.6%","15,495","49.8%","2,425","14.6%","16,470","28.1%","13,566","33.7%","2,904","15.9%","7,807","23.6%","6,437","28.8%","N","N","13,926","48.6%","9,902","65.6%","4,024","29.7%","27,640","52.3%","22,098","61.9%","5,542","32.3%","40,780","29.4%","27,476","35.6%","13,304","21.6%","8,167","36.1%","8,167","41.9%","N","N","10,876","38.4%","10,464","50.5%","N","N","7,235","31.1%","5,876","36.1%","N","N"
"        $300 to $499","139,503","11.9%","73,463","9.1%","66,040","18.0%","4,510","14.1%","1,884","9.7%","2,626","20.8%","7,968","11.6%","4,455","9.4%","3,513","16.4%","4,740","9.9%","2,529","8.1%","2,211","13.3%","6,588","11.2%","4,664","11.6%","1,924","10.5%","3,505","10.6%","2,568","11.5%","N","N","5,318","18.6%","2,049","13.6%","3,269","24.1%","6,318","12.0%","3,557","10.0%","2,761","16.1%","21,104","15.2%","9,842","12.8%","11,262","18.3%","1,940","8.6%","1,737","8.9%","N","N","2,716","9.6%","1,583","7.6%","N","N","2,550","11.0%","1,332","8.2%","N","N"
"        $500 to $799","194,971","16.7%","123,312","15.3%","71,659","19.5%","4,749","14.8%","2,160","11.1%","2,589","20.5%","14,167","20.5%","8,999","18.9%","5,168","24.1%","8,449","17.7%","4,912","15.8%","3,537","21.3%","11,116","19.0%","6,730","16.7%","4,386","24.0%","4,472","13.5%","2,960","13.2%","N","N","3,762","13.1%","1,622","10.8%","2,140","15.8%","8,106","15.3%","5,002","14.0%","3,104","18.1%","29,310","21.1%","11,720","15.2%","17,590","28.5%","3,662","16.2%","2,661","13.6%","N","N","6,391","22.6%","3,955","19.1%","N","N","3,484","15.0%","2,285","14.0%","N","N"
"        $800 to $999","81,650","7.0%","63,537","7.9%","18,113","4.9%","2,140","6.7%","1,880","9.7%","260","2.1%","8,646","12.5%","6,592","13.9%","2,054","9.6%","4,233","8.9%","2,794","9.0%","1,439","8.7%","8,786","15.0%","6,432","16.0%","2,354","12.9%","2,457","7.4%","1,448","6.5%","N","N","849","3.0%","648","4.3%","201","1.5%","2,662","5.0%","1,572","4.4%","1,090","6.4%","13,205","9.5%","8,191","10.6%","5,014","8.1%","2,306","10.2%","2,099","10.8%","N","N","2,442","8.6%","1,853","8.9%","N","N","2,501","10.8%","1,709","10.5%","N","N"
"        $1,000 to $1,499","80,650","6.9%","68,177","8.5%","12,473","3.4%","1,151","3.6%","1,095","5.6%","56","0.4%","8,322","12.1%","6,333","13.3%","1,989","9.3%","3,879","8.1%","3,587","11.5%","292","1.8%","7,605","13.0%","6,081","15.1%","1,524","8.3%","4,456","13.5%","3,546","15.9%","N","N","797","2.8%","531","3.5%","266","2.0%","3,005","5.7%","2,566","7.2%","439","2.6%","14,928","10.8%","11,058","14.3%","3,870","6.3%","4,015","17.7%","3,326","17.0%","N","N","2,397","8.5%","2,151","10.4%","N","N","3,312","14.2%","3,254","20.0%","N","N"
"        $1,500 to $1,999","23,189","2.0%","21,444","2.7%","1,745","0.5%","118","0.4%","118","0.6%","0","0.0%","1,046","1.5%","1,046","2.2%","0","0.0%","641","1.3%","641","2.1%","0","0.0%","1,984","3.4%","1,883","4.7%","101","0.6%","3,123","9.4%","2,900","13.0%","N","N","336","1.2%","336","2.2%","0","0.0%","908","1.7%","674","1.9%","234","1.4%","4,627","3.3%","3,771","4.9%","856","1.4%","1,318","5.8%","1,318","6.8%","N","N","774","2.7%","711","3.4%","N","N","1,426","6.1%","1,276","7.8%","N","N"
"        $2,000 to $2,499","6,956","0.6%","5,595","0.7%","1,361","0.4%","0","0.0%","0","0.0%","0","0.0%","371","0.5%","291","0.6%","80","0.4%","427","0.9%","427","1.4%","0","0.0%","721","1.2%","471","1.2%","250","1.4%","1,287","3.9%","1,136","5.1%","N","N","0","0.0%","0","0.0%","0","0.0%","42","0.1%","42","0.1%","0","0.0%","2,213","1.6%","1,560","2.0%","653","1.1%","204","0.9%","204","1.0%","N","N","0","0.0%","0","0.0%","N","N","438","1.9%","438","2.7%","N","N"
"        $2,500 to $2,999","4,598","0.4%","4,094","0.5%","504","0.1%","0","0.0%","0","0.0%","0","0.0%","121","0.2%","93","0.2%","28","0.1%","706","1.5%","706","2.3%","0","0.0%","500","0.9%","365","0.9%","135","0.7%","1,096","3.3%","811","3.6%","N","N","0","0.0%","0","0.0%","0","0.0%","159","0.3%","159","0.4%","0","0.0%","1,159","0.8%","1,103","1.4%","56","0.1%","0","0.0%","0","0.0%","N","N","0","0.0%","0","0.0%","N","N","101","0.4%","101","0.6%","N","N"
"        $3,000 or more","5,404","0.5%","4,826","0.6%","578","0.2%","0","0.0%","0","0.0%","0","0.0%","70","0.1%","70","0.1%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","237","0.4%","110","0.3%","127","0.7%","622","1.9%","551","2.5%","N","N","0","0.0%","0","0.0%","0","0.0%","31","0.1%","31","0.1%","0","0.0%","2,703","1.9%","2,402","3.1%","301","0.5%","0","0.0%","0","0.0%","N","N","0","0.0%","0","0.0%","N","N","0","0.0%","0","0.0%","N","N"
"        No cash rent","141,245","12.1%","(X)","(X)","141,245","38.4%","5,620","17.5%","(X)","(X)","5,620","44.5%","5,443","7.9%","(X)","(X)","5,443","25.3%","6,674","14.0%","(X)","(X)","6,674","40.3%","4,595","7.8%","(X)","(X)","4,595","25.1%","4,300","13.0%","(X)","(X)","N","N","3,661","12.8%","(X)","(X)","3,661","27.0%","3,966","7.5%","(X)","(X)","3,966","23.1%","8,771","6.3%","(X)","(X)","8,771","14.2%","1,038","4.6%","(X)","(X)","N","N","2,695","9.5%","(X)","(X)","N","N","2,216","9.5%","(X)","(X)","N","N"
"        Median (dollars)","334","334","255","255","482","482","269","269","190","190","451","451","518","518","481","481","542","542","427","427","304","304","525","525","625","625","616","616","639","639","703","703","722","722","644","644","259","259","186","186","363","363","247","247","203","203","373","373","528","528","537","537","526","526","580","580","485","485","717","717","426","426","296","296","592","592","542","542","613","613","483","483"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","408,205","34.9%","295,924","36.8%","112,281","30.6%","10,624","33.1%","6,792","34.9%","3,832","30.3%","19,065","27.6%","11,431","24.1%","7,634","35.5%","14,665","30.8%","9,760","31.4%","4,905","29.6%","16,869","28.8%","11,308","28.1%","5,561","30.4%","6,958","21.0%","4,597","20.6%","2,361","21.9%","11,065","38.6%","5,553","36.8%","5,512","40.6%","21,268","40.3%","14,082","39.4%","7,186","41.9%","45,161","32.5%","20,220","26.2%","24,941","40.4%","N","N","N","N","N","N","9,633","34.0%","7,656","37.0%","1,977","26.1%","5,484","23.6%","3,850","23.7%","1,634","23.4%"
"            Less than 20 percent","163,709","14.0%","154,669","19.3%","9,040","2.5%","4,471","13.9%","3,982","20.5%","489","3.9%","6,329","9.2%","5,879","12.4%","450","2.1%","6,129","12.9%","5,511","17.7%","618","3.7%","3,557","6.1%","2,996","7.4%","561","3.1%","1,970","5.9%","1,623","7.3%","347","3.2%","4,439","15.5%","3,641","24.1%","798","5.9%","7,995","15.1%","7,218","20.2%","777","4.5%","9,215","6.6%","7,520","9.8%","1,695","2.7%","N","N","N","N","N","N","3,773","13.3%","3,694","17.8%","79","1.0%","1,701","7.3%","1,542","9.5%","159","2.3%"
"            20 to 29 percent","57,424","4.9%","37,454","4.7%","19,970","5.4%","1,281","4.0%","846","4.3%","435","3.4%","2,529","3.7%","1,261","2.7%","1,268","5.9%","1,464","3.1%","698","2.2%","766","4.6%","2,346","4.0%","966","2.4%","1,380","7.5%","1,631","4.9%","930","4.2%","701","6.5%","1,904","6.6%","618","4.1%","1,286","9.5%","3,715","7.0%","1,919","5.4%","1,796","10.5%","6,005","4.3%","2,707","3.5%","3,298","5.3%","N","N","N","N","N","N","1,170","4.1%","948","4.6%","222","2.9%","922","4.0%","533","3.3%","389","5.6%"
"            30 percent or more","187,072","16.0%","103,801","12.9%","83,271","22.7%","4,872","15.2%","1,964","10.1%","2,908","23.0%","10,207","14.8%","4,291","9.0%","5,916","27.5%","7,072","14.8%","3,551","11.4%","3,521","21.2%","10,966","18.7%","7,346","18.2%","3,620","19.8%","3,357","10.1%","2,044","9.1%","1,313","12.2%","4,722","16.5%","1,294","8.6%","3,428","25.3%","9,558","18.1%","4,945","13.9%","4,613","26.9%","29,941","21.6%","9,993","13.0%","19,948","32.3%","N","N","N","N","N","N","4,690","16.6%","3,014","14.5%","1,676","22.1%","2,861","12.3%","1,775","10.9%","1,086","15.5%"
