"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Moved; within same municipio!!Estimate","Puerto Rico!!Moved; from different municipio!!Estimate","Puerto Rico!!Moved; from the U.S.!!Estimate","Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate"
"        Hispanic or Latino origin (of any race)","3,152,601","2.4%","1.7%","0.7%","0.1%","85,640","1.2%","0.6%","1.0%","0.0%","178,466","2.6%","3.1%","0.7%","0.2%","122,002","4.8%","1.5%","0.2%","0.0%","147,571","1.9%","2.1%","0.8%","0.0%","87,421","1.4%","3.1%","1.7%","0.3%","67,433","6.4%","3.8%","0.1%","0.7%","127,634","3.7%","1.5%","1.2%","0.0%","326,583","3.2%","1.5%","0.2%","0.6%","N","N","N","N","N","70,715","1.4%","1.5%","0.6%","0.4%","N","N","N","N","N"
"        White alone, not Hispanic or Latino","22,654","3.3%","5.0%","4.2%","4.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native","3,101,621","2.3%","1.7%","0.8%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","294,945","3.1%","1.4%","0.2%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Foreign born","86,836","2.6%","2.7%","1.0%","4.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","35,879","4.2%","2.3%","0.0%","4.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Naturalized U.S. citizen","47,976","2.2%","2.2%","0.0%","1.8%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","19,952","2.9%","1.5%","0.0%","1.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Not a U.S. citizen","38,860","3.2%","3.3%","2.3%","6.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","15,927","5.8%","3.3%","0.0%","7.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","2,829,567","2.2%","1.8%","0.7%","0.2%","N","N","N","N","N","160,473","2.3%","2.9%","0.5%","0.2%","N","N","N","N","N","133,658","2.0%","1.8%","0.7%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","295,290","3.1%","1.7%","0.2%","0.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Never married","1,219,389","2.9%","2.5%","0.9%","0.2%","N","N","N","N","N","65,683","2.5%","4.6%","1.0%","0.1%","N","N","N","N","N","55,191","2.3%","2.7%","0.7%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","145,207","3.6%","1.9%","0.2%","0.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Now married, except separated","921,309","1.4%","1.3%","0.6%","0.3%","N","N","N","N","N","52,279","2.0%","1.9%","0.3%","0.4%","N","N","N","N","N","41,375","1.6%","0.7%","0.0%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","79,183","2.6%","1.7%","0.2%","0.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Divorced or separated","452,858","2.6%","1.7%","0.9%","0.1%","N","N","N","N","N","27,731","2.9%","1.6%","0.3%","0.0%","N","N","N","N","N","26,091","1.9%","2.4%","2.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","46,073","3.6%","1.5%","0.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Widowed","236,011","1.4%","1.0%","0.3%","0.1%","N","N","N","N","N","14,780","1.4%","1.2%","0.0%","0.4%","N","N","N","N","N","11,001","2.1%","0.0%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","24,827","1.1%","1.1%","0.5%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","2,428,065","2.2%","1.6%","0.7%","0.1%","N","N","N","N","N","138,853","2.3%","2.4%","0.5%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","96,971","3.8%","1.5%","1.2%","0.0%","255,379","3.4%","1.3%","0.2%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Less than high school graduate","439,217","1.8%","1.1%","0.7%","0.2%","N","N","N","N","N","17,699","1.1%","3.3%","0.3%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","15,421","3.4%","2.0%","1.3%","0.0%","35,436","3.0%","0.8%","0.0%","1.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        High school graduate (includes equivalency)","675,932","2.6%","1.7%","0.7%","0.2%","N","N","N","N","N","31,958","2.2%","2.8%","0.4%","0.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","32,892","5.8%","1.8%","0.9%","0.0%","62,682","4.2%","0.4%","0.2%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some college or associate's degree","591,789","2.2%","1.6%","1.0%","0.0%","N","N","N","N","N","42,326","2.8%","3.3%","1.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","23,607","2.3%","1.4%","1.6%","0.2%","54,331","2.4%","1.4%","0.3%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree","506,436","2.0%","1.9%","0.3%","0.1%","N","N","N","N","N","34,468","2.1%","1.2%","0.0%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","17,603","2.3%","0.2%","0.0%","0.0%","60,653","3.5%","2.6%","0.4%","0.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Graduate or professional degree","214,691","2.1%","1.8%","1.1%","0.3%","N","N","N","N","N","12,402","2.5%","0.8%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7,448","5.0%","2.3%","4.3%","0.0%","42,277","3.4%","0.9%","0.2%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","2,829,567","2.2%","1.8%","0.7%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $1 to $9,999 or loss","569,435","2.6%","1.9%","0.8%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $10,000 to $14,999","397,416","1.8%","1.2%","0.8%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $15,000 to $24,999","548,914","2.5%","1.9%","0.5%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $25,000 to $34,999","283,889","1.5%","1.3%","0.9%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $35,000 to $49,999","209,140","2.0%","1.4%","0.5%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $50,000 to $64,999","99,467","2.4%","3.5%","0.6%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $65,000 to $74,999","40,212","0.9%","3.7%","1.6%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $75,000 or more","111,570","2.3%","1.3%","1.4%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Median income (dollars)","17,849","17,097","18,565","18,112","13,794","18,731","23,318","16,250","7,118","-","20,834","22,511","19,689","18,064","-","20,505","20,472","16,311","-","-","21,392","24,527","19,436","16,813","-","N","N","N","N","N","13,690","10,240","5,577","-","7,623","15,865","16,159","15,593","21,473","-","21,269","22,220","18,206","33,432","10,699","21,431","-","4,921","-","-","20,524","25,347","23,635","11,993","2,500-","22,708","35,168","70,337","-","14,889"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over for whom poverty status is determined","3,161,421","2.3%","1.6%","0.8%","0.2%","N","N","N","N","N","175,933","2.7%","2.6%","0.7%","0.2%","N","N","N","N","N","149,309","1.9%","1.9%","0.8%","0.0%","N","N","N","N","N","N","N","N","N","N","124,175","3.3%","0.4%","1.2%","0.0%","326,891","3.2%","1.4%","0.2%","0.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Below 100 percent of the poverty level","1,176,654","3.3%","1.8%","0.8%","0.1%","N","N","N","N","N","53,807","3.1%","4.2%","1.3%","0.0%","N","N","N","N","N","39,513","1.3%","2.8%","0.8%","0.0%","N","N","N","N","N","N","N","N","N","N","55,434","4.3%","0.8%","1.5%","0.1%","112,889","4.6%","2.0%","0.2%","0.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
