"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Moved; within same municipio!!Estimate","Puerto Rico!!Moved; from different municipio!!Estimate","Puerto Rico!!Moved; from the U.S.!!Estimate","Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate"
"        Male","1,508,829","2.7%","2.2%","0.7%","0.1%","40,264","2.8%","5.0%","0.7%","0.0%","83,831","2.7%","3.1%","0.4%","0.1%","56,720","4.2%","3.2%","0.4%","0.2%","68,796","2.9%","3.4%","0.8%","0.7%","41,271","3.8%","4.0%","1.0%","0.1%","33,650","5.2%","4.2%","0.4%","0.6%","61,627","4.4%","2.9%","0.4%","0.0%","150,237","3.2%","2.0%","0.7%","0.2%","30,595","1.4%","0.7%","0.5%","0.0%","32,894","2.7%","1.1%","0.5%","0.0%","31,407","0.7%","3.7%","0.0%","0.0%"
"        Female","1,678,871","2.7%","2.1%","0.8%","0.1%","44,956","1.2%","3.4%","0.6%","0.0%","96,020","3.6%","1.7%","0.6%","0.2%","67,415","5.7%","1.7%","1.0%","0.1%","81,543","2.1%","3.9%","0.8%","0.6%","46,996","4.2%","4.1%","1.3%","0.2%","35,959","4.1%","2.4%","0.7%","0.6%","68,113","4.0%","0.9%","0.0%","0.0%","180,321","3.8%","2.8%","0.5%","0.6%","35,025","1.6%","0.8%","0.5%","0.0%","38,559","4.4%","4.4%","0.5%","0.0%","34,951","0.6%","3.3%","0.0%","0.0%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            White","758,361","2.8%","2.0%","0.8%","0.2%","12,429","4.4%","3.4%","0.0%","0.0%","N","N","N","N","N","32,235","6.8%","0.7%","1.2%","0.2%","19,446","3.0%","3.1%","0.7%","2.8%","18,606","4.6%","4.0%","0.2%","0.0%","8,493","3.3%","11.7%","0.0%","0.0%","30,964","5.6%","2.3%","0.0%","0.0%","62,335","2.6%","3.9%","0.4%","0.9%","N","N","N","N","N","6,185","5.3%","0.4%","0.0%","0.0%","N","N","N","N","N"
"            Black or African American","169,157","3.6%","1.9%","1.2%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Asian","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Some other race","1,017,376","3.0%","2.5%","0.6%","0.1%","N","N","N","N","N","93,882","4.2%","3.5%","0.6%","0.1%","N","N","N","N","N","45,502","1.4%","5.6%","1.8%","0.0%","N","N","N","N","N","48,769","5.8%","1.6%","0.8%","0.3%","N","N","N","N","N","88,765","3.9%","2.1%","0.7%","0.4%","N","N","N","N","N","38,255","3.4%","4.0%","0.0%","0.0%","N","N","N","N","N"
"        Two or more races","1,230,706","2.3%","2.0%","0.7%","0.1%","53,060","1.4%","4.0%","1.1%","0.0%","61,060","2.0%","1.4%","0.3%","0.2%","N","N","N","N","N","64,011","2.1%","3.0%","0.0%","0.7%","21,104","2.2%","2.5%","1.4%","0.0%","N","N","N","N","N","76,251","3.1%","2.1%","0.0%","0.0%","149,423","3.3%","2.3%","0.6%","0.3%","47,549","1.9%","0.8%","0.7%","0.0%","24,053","3.2%","1.3%","1.2%","0.0%","40,729","0.3%","3.0%","0.0%","0.0%"
"        Hispanic or Latino origin (of any race)","3,155,939","2.7%","2.1%","0.7%","0.1%","84,168","2.0%","4.0%","0.7%","0.0%","177,825","3.2%","2.3%","0.5%","0.1%","122,814","4.8%","2.4%","0.7%","0.1%","148,792","2.5%","3.6%","0.8%","0.6%","85,793","4.1%","3.6%","1.2%","0.0%","68,566","4.7%","2.6%","0.6%","0.6%","128,687","4.2%","1.9%","0.1%","0.0%","324,366","3.6%","2.5%","0.6%","0.4%","65,364","1.6%","0.8%","0.5%","0.0%","70,934","3.6%","2.9%","0.5%","0.0%","65,982","0.7%","3.5%","0.0%","0.0%"
"        White alone, not Hispanic or Latino","19,251","1.0%","7.4%","5.2%","1.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native","3,103,528","2.7%","2.1%","0.7%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","141,591","2.6%","3.6%","0.7%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","296,098","3.3%","2.7%","0.6%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Foreign born","84,172","4.2%","3.1%","2.0%","2.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","8,748","0.7%","3.8%","1.6%","4.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","34,460","5.0%","0.4%","0.2%","3.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Naturalized U.S. citizen","43,824","1.8%","3.3%","0.4%","0.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","5,289","1.1%","1.2%","0.0%","3.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","17,351","3.8%","0.8%","0.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Not a U.S. citizen","40,348","6.8%","2.8%","3.8%","4.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3,459","0.0%","7.7%","3.9%","4.9%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","17,109","6.3%","0.0%","0.2%","6.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","2,817,547","2.6%","2.1%","0.7%","0.1%","N","N","N","N","N","159,555","3.0%","2.5%","0.5%","0.2%","109,903","4.6%","2.4%","0.8%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","294,448","3.3%","2.6%","0.6%","0.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Never married","1,178,364","3.2%","3.0%","0.8%","0.1%","N","N","N","N","N","61,898","4.6%","3.0%","0.4%","0.1%","47,586","6.6%","3.5%","1.1%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","140,386","4.0%","3.8%","0.5%","0.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Now married, except separated","957,345","1.6%","1.4%","0.6%","0.2%","N","N","N","N","N","52,918","1.6%","2.6%","0.7%","0.3%","36,961","1.9%","1.5%","0.2%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","83,739","2.3%","1.3%","0.7%","0.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Divorced or separated","461,460","3.0%","1.9%","0.8%","0.1%","N","N","N","N","N","30,116","3.6%","1.5%","0.2%","0.0%","15,917","6.0%","1.2%","0.5%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","46,820","3.3%","1.2%","0.8%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Widowed","220,378","2.4%","0.9%","0.6%","0.1%","N","N","N","N","N","14,623","0.4%","1.3%","0.4%","0.0%","9,439","3.1%","2.2%","1.5%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","23,503","2.7%","2.1%","1.1%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","2,407,254","2.4%","2.0%","0.7%","0.1%","N","N","N","N","N","137,753","2.7%","2.2%","0.5%","0.1%","94,481","3.5%","2.5%","0.9%","0.2%","N","N","N","N","N","70,029","2.3%","3.6%","1.5%","0.1%","N","N","N","N","N","N","N","N","N","N","253,950","3.1%","2.3%","0.7%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Less than high school graduate","432,948","2.2%","1.5%","0.7%","0.1%","N","N","N","N","N","19,066","1.3%","1.9%","0.5%","0.0%","14,861","6.5%","0.8%","0.0%","0.0%","N","N","N","N","N","8,400","5.8%","3.5%","4.5%","0.4%","N","N","N","N","N","N","N","N","N","N","31,004","3.9%","2.2%","0.9%","0.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        High school graduate (includes equivalency)","654,008","2.7%","2.0%","0.8%","0.2%","N","N","N","N","N","31,140","2.2%","2.9%","1.2%","0.0%","24,768","5.9%","2.5%","1.1%","0.2%","N","N","N","N","N","13,506","1.6%","4.9%","1.8%","0.0%","N","N","N","N","N","N","N","N","N","N","50,586","1.8%","2.8%","0.6%","0.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some college or associate's degree","579,179","2.8%","2.0%","0.8%","0.1%","N","N","N","N","N","39,464","4.8%","2.7%","0.3%","0.0%","21,445","2.1%","3.1%","0.8%","0.3%","N","N","N","N","N","11,829","2.6%","1.9%","1.3%","0.0%","N","N","N","N","N","N","N","N","N","N","64,194","2.3%","2.0%","0.6%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree","524,456","2.0%","2.3%","0.5%","0.1%","N","N","N","N","N","37,314","2.1%","1.4%","0.4%","0.1%","22,232","2.1%","4.2%","0.2%","0.0%","N","N","N","N","N","18,609","0.7%","2.9%","0.8%","0.3%","N","N","N","N","N","N","N","N","N","N","65,401","4.2%","2.2%","0.4%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Graduate or professional degree","216,663","1.8%","2.5%","0.9%","0.3%","N","N","N","N","N","10,769","1.2%","2.2%","0.3%","1.1%","11,175","0.0%","0.1%","3.1%","0.3%","N","N","N","N","N","17,685","2.9%","4.4%","0.7%","0.0%","N","N","N","N","N","N","N","N","N","N","42,765","3.6%","2.3%","1.1%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","2,817,547","2.6%","2.1%","0.7%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","294,448","3.3%","2.6%","0.6%","0.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $1 to $9,999 or loss","627,329","2.9%","1.7%","1.0%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","55,637","4.1%","2.5%","0.3%","0.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $10,000 to $14,999","370,502","2.7%","1.5%","0.4%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","33,209","2.2%","1.4%","0.1%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $15,000 to $24,999","529,497","2.6%","2.2%","0.5%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","47,789","4.2%","3.1%","0.3%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $25,000 to $34,999","259,474","2.4%","1.7%","0.7%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","27,864","2.9%","1.7%","1.1%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $35,000 to $49,999","200,006","1.7%","2.0%","0.3%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","27,505","3.5%","2.0%","0.7%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $50,000 to $64,999","93,850","0.8%","1.9%","1.0%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","12,910","0.8%","0.0%","1.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $65,000 to $74,999","33,518","0.6%","2.7%","1.0%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","6,262","0.0%","3.0%","1.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $75,000 or more","105,295","2.6%","2.9%","1.4%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","21,407","4.8%","1.8%","2.1%","0.9%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Median income (dollars)","16,804","14,847","18,757","15,161","15,497","16,442","13,750","18,877","15,582","-","19,837","20,128","22,155","7,933","16,402","18,823","10,030","13,373","29,317","30,164","20,577","27,919","17,497","7,675","17,065","22,423","24,551","47,336","19,715","-","13,836","9,510","9,228","-","15,620","15,058","15,716","12,086","86,875","-","20,075","19,824","19,874","42,194","15,379","17,894","29,157","25,933","-","-","20,368","21,515","18,945","-","-","24,147","7,208","42,356","-","-"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
