"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Moved; within same municipio!!Estimate","Puerto Rico!!Moved; from different municipio!!Estimate","Puerto Rico!!Moved; from the U.S.!!Estimate","Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate"
"        Median age (years)","44.3","30.6","30.7","39.0","28.9","45.4","45.2","34.3","35.9","-","44.1","29.4","32.6","25.6","40.8","44.3","32.2","36.5","27.5","-","45.1","29.5","26.2","61.5","-","47.1","73.6","50.1","-","-","42.8","20.7","21.5","74.2","-","44.1","33.8","24.4","59.2","-","45.5","31.1","28.3","30.8","21.8","40.4","40.4","31.2","-","-","43.1","31.5","25.7","29.9","32.9","43.6","8.4","36.1","43.4","-"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","1,536,873","3.5%","2.3%","0.9%","0.1%","40,863","1.5%","3.9%","2.4%","0.0%","85,339","3.4%","2.4%","0.9%","0.2%","58,495","4.5%","3.1%","1.8%","0.1%","69,106","6.5%","5.4%","2.0%","0.0%","N","N","N","N","N","34,478","3.8%","5.1%","0.1%","0.0%","64,162","6.5%","2.3%","0.2%","0.0%","153,300","5.4%","2.5%","1.3%","0.2%","N","N","N","N","N","33,496","2.9%","0.8%","0.6%","0.2%","N","N","N","N","N"
"        Female","1,711,138","3.1%","2.1%","0.8%","0.1%","45,388","2.7%","1.2%","0.7%","0.0%","96,406","2.9%","2.5%","0.9%","0.0%","67,876","2.8%","3.4%","1.3%","0.0%","82,920","5.8%","4.7%","0.4%","0.0%","N","N","N","N","N","37,133","2.0%","4.3%","0.8%","0.1%","70,312","5.6%","0.6%","0.5%","0.0%","182,477","4.2%","2.8%","1.1%","0.4%","N","N","N","N","N","40,317","1.7%","2.2%","0.5%","0.6%","N","N","N","N","N"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            White","911,124","3.3%","2.3%","1.0%","0.1%","N","N","N","N","N","17,160","2.2%","1.2%","0.0%","0.0%","49,210","2.9%","4.2%","2.1%","0.0%","29,807","3.7%","8.5%","1.1%","0.0%","N","N","N","N","N","N","N","N","N","N","45,782","6.8%","0.8%","1.0%","0.0%","85,450","5.7%","4.2%","3.0%","0.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Black or African American","199,296","3.8%","2.7%","0.6%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","23,698","4.2%","7.2%","2.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","34,376","6.4%","3.8%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Asian","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Some other race","964,120","3.1%","2.4%","0.8%","0.1%","27,133","2.1%","2.7%","0.0%","0.0%","66,717","4.3%","2.4%","1.0%","0.0%","N","N","N","N","N","55,956","6.5%","3.6%","0.9%","0.0%","N","N","N","N","N","57,206","3.3%","4.5%","0.5%","0.0%","N","N","N","N","N","111,191","4.6%","2.1%","1.0%","0.4%","N","N","N","N","N","41,342","2.7%","2.5%","0.0%","0.0%","N","N","N","N","N"
"        Two or more races","1,160,432","3.1%","1.9%","0.8%","0.1%","49,174","2.1%","2.8%","2.3%","0.0%","88,914","1.7%","3.0%","1.1%","0.1%","28,016","6.9%","3.1%","1.4%","0.0%","41,879","8.5%","3.2%","0.8%","0.0%","47,873","1.5%","3.6%","0.0%","0.0%","N","N","N","N","N","70,044","5.2%","0.9%","0.0%","0.0%","103,857","3.6%","1.6%","0.3%","0.2%","34,784","2.2%","3.6%","0.4%","0.7%","N","N","N","N","N","N","N","N","N","N"
"        Hispanic or Latino origin (of any race)","3,223,674","3.2%","2.2%","0.8%","0.1%","85,856","2.1%","2.5%","1.3%","0.0%","180,905","3.1%","2.5%","0.9%","0.1%","125,001","3.6%","3.3%","1.5%","0.0%","151,272","6.1%","5.0%","1.0%","0.0%","87,935","0.9%","4.5%","0.2%","0.0%","71,371","2.9%","4.7%","0.5%","0.1%","133,950","6.0%","1.4%","0.3%","0.0%","329,821","4.8%","2.7%","0.8%","0.3%","67,356","1.3%","4.2%","0.2%","0.4%","73,623","2.3%","1.6%","0.6%","0.4%","66,646","2.7%","5.2%","1.2%","0.0%"
"        White alone, not Hispanic or Latino","14,622","2.7%","0.5%","15.3%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native","3,160,373","3.2%","2.2%","0.8%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","143,117","6.3%","4.8%","1.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","299,364","4.6%","2.7%","1.2%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Foreign born","87,638","4.4%","3.6%","1.6%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","8,909","3.2%","8.9%","2.7%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","36,413","6.4%","1.9%","0.8%","0.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Naturalized U.S. citizen","41,848","3.5%","2.6%","0.7%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,813","2.0%","13.3%","3.5%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","15,433","3.7%","0.0%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Not a U.S. citizen","45,790","5.2%","4.4%","2.4%","0.8%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,096","4.7%","3.7%","1.7%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","20,980","8.4%","3.4%","1.5%","1.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","2,833,104","2.8%","2.1%","0.8%","0.1%","N","N","N","N","N","159,896","3.1%","2.5%","1.0%","0.1%","110,445","3.4%","3.3%","1.3%","0.0%","133,845","5.2%","4.3%","1.3%","0.0%","N","N","N","N","N","N","N","N","N","N","116,213","5.4%","1.3%","0.4%","0.0%","295,398","4.1%","2.7%","0.9%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Never married","1,224,864","3.6%","2.7%","0.8%","0.1%","N","N","N","N","N","66,074","4.3%","3.2%","1.2%","0.1%","47,461","4.1%","3.3%","1.4%","0.0%","56,291","6.3%","6.7%","0.7%","0.0%","N","N","N","N","N","N","N","N","N","N","54,640","6.1%","2.1%","0.4%","0.0%","145,409","5.1%","3.2%","0.8%","0.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Now married, except separated","903,223","1.8%","1.3%","0.9%","0.1%","N","N","N","N","N","53,381","1.9%","1.4%","1.5%","0.3%","32,880","2.0%","4.3%","1.3%","0.1%","36,888","4.5%","1.2%","1.9%","0.0%","N","N","N","N","N","N","N","N","N","N","36,446","3.6%","0.1%","0.7%","0.0%","77,501","3.3%","2.2%","0.9%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Divorced or separated","476,830","3.1%","2.5%","0.9%","0.1%","N","N","N","N","N","27,721","3.3%","3.9%","0.0%","0.0%","20,808","5.2%","2.8%","1.2%","0.0%","29,809","5.3%","5.2%","2.1%","0.0%","N","N","N","N","N","N","N","N","N","N","14,918","8.0%","1.9%","0.0%","0.0%","51,649","3.9%","2.5%","1.8%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Widowed","228,187","2.1%","1.0%","0.4%","0.0%","N","N","N","N","N","12,720","1.5%","1.0%","0.0%","0.0%","9,296","1.1%","0.7%","1.6%","0.0%","10,857","1.5%","0.1%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","10,209","3.9%","0.2%","0.0%","0.0%","20,839","1.1%","1.6%","0.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","2,401,409","2.7%","1.9%","0.8%","0.1%","N","N","N","N","N","136,945","2.8%","2.4%","0.6%","0.1%","N","N","N","N","N","114,608","5.2%","3.6%","1.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","252,577","4.1%","2.2%","0.9%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Less than high school graduate","488,780","3.0%","1.3%","0.4%","0.0%","N","N","N","N","N","20,591","3.3%","3.1%","0.0%","0.3%","N","N","N","N","N","14,638","2.6%","2.5%","1.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","38,943","5.9%","2.3%","0.5%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        High school graduate (includes equivalency)","671,940","2.9%","1.7%","1.1%","0.0%","N","N","N","N","N","32,563","3.3%","1.2%","0.2%","0.0%","N","N","N","N","N","32,552","6.6%","4.2%","2.1%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","57,928","2.7%","2.3%","0.7%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some college or associate's degree","556,795","2.9%","2.5%","0.9%","0.0%","N","N","N","N","N","41,681","2.7%","2.7%","0.9%","0.1%","N","N","N","N","N","29,254","3.9%","3.6%","1.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","55,241","4.2%","2.4%","0.7%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree","493,356","2.5%","2.0%","0.7%","0.1%","N","N","N","N","N","31,628","2.9%","2.7%","1.2%","0.3%","N","N","N","N","N","28,917","7.2%","3.8%","0.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","60,184","4.4%","2.5%","1.1%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Graduate or professional degree","190,538","1.8%","2.0%","0.8%","0.4%","N","N","N","N","N","10,482","0.2%","1.8%","0.5%","0.0%","N","N","N","N","N","9,247","2.1%","2.7%","1.8%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40,281","3.6%","1.4%","1.8%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","2,833,104","2.8%","2.1%","0.8%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","133,845","5.2%","4.3%","1.3%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","295,398","4.1%","2.7%","0.9%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $1 to $9,999 or loss","743,512","2.8%","1.9%","1.1%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","28,675","4.7%","2.9%","3.4%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","82,074","4.9%","3.5%","0.8%","1.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $10,000 to $14,999","379,805","2.5%","1.7%","0.7%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","16,502","6.3%","2.9%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","29,337","2.6%","0.6%","0.6%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $15,000 to $24,999","485,645","2.9%","2.6%","0.6%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","27,525","4.6%","5.9%","0.6%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","43,846","4.5%","2.5%","1.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $25,000 to $34,999","225,732","2.3%","1.6%","0.9%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","12,979","6.0%","2.1%","1.5%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","25,977","3.2%","1.3%","0.8%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $35,000 to $49,999","145,044","2.9%","1.6%","0.3%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10,902","7.0%","4.2%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","18,770","6.5%","1.6%","0.0%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $50,000 to $64,999","67,928","2.8%","3.4%","0.4%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,959","3.5%","12.5%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","9,248","3.2%","2.6%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $65,000 to $74,999","23,350","2.1%","3.0%","2.4%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1,027","27.1%","0.0%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,236","4.1%","0.0%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $75,000 or more","80,085","2.2%","1.7%","1.5%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,812","0.0%","2.5%","4.9%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","17,888","2.6%","1.6%","3.7%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
