"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Moved; within same municipio!!Estimate","Puerto Rico!!Moved; from different municipio!!Estimate","Puerto Rico!!Moved; from the U.S.!!Estimate","Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate"
"        Median age (years)","45.0","31.5","30.5","33.8","31.8","45.8","32.9","30.9","65.8","-","44.7","29.8","26.5","35.5","18.9","44.8","34.2","27.2","41.3","-","46.1","31.3","29.9","59.4","-","46.7","36.2","28.8","30.5","-","43.9","28.8","23.8","57.1","41.3","45.0","28.3","30.7","27.5","-","46.3","34.6","31.3","31.2","35.0","41.5","39.7","41.2","52.8","-","43.5","29.6","23.9","24.9","25.9","44.0","30.0","28.6","26.9","10.5"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","1,518,639","3.0%","2.0%","0.9%","0.1%","41,637","2.3%","1.7%","0.5%","0.0%","84,017","2.0%","2.4%","0.9%","0.1%","57,888","5.4%","1.1%","0.8%","0.0%","68,518","4.5%","2.4%","0.7%","0.0%","41,688","2.4%","2.6%","0.2%","0.2%","33,370","4.3%","4.9%","0.9%","0.5%","62,275","6.0%","2.4%","0.7%","0.0%","151,602","4.1%","3.1%","0.7%","0.2%","30,954","2.9%","2.1%","0.2%","0.6%","34,062","2.3%","0.7%","0.5%","1.0%","31,251","8.3%","5.6%","0.7%","1.0%"
"        Female","1,684,800","3.0%","1.7%","0.8%","0.1%","44,067","2.2%","0.8%","0.6%","0.0%","96,341","3.2%","1.5%","0.5%","0.1%","66,585","5.4%","2.6%","0.0%","0.0%","82,196","4.5%","2.7%","0.9%","0.0%","47,137","2.2%","1.7%","0.5%","0.0%","36,716","5.6%","1.9%","0.1%","0.4%","69,063","3.6%","1.2%","0.8%","0.0%","181,120","4.0%","2.7%","0.4%","0.4%","34,901","1.0%","1.5%","1.7%","0.0%","38,437","3.5%","0.0%","0.3%","0.3%","35,071","6.3%","1.2%","2.9%","1.7%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            White","844,039","3.3%","1.6%","1.2%","0.1%","N","N","N","N","N","N","N","N","N","N","44,938","5.4%","1.7%","0.6%","0.0%","N","N","N","N","N","N","N","N","N","N","7,031","7.8%","3.4%","1.6%","0.0%","31,460","6.6%","4.3%","1.2%","0.0%","88,869","4.2%","3.0%","0.8%","0.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Black or African American","186,807","3.8%","2.0%","0.8%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","41,170","5.4%","3.7%","0.0%","0.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Asian","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Some other race","935,049","3.1%","2.1%","0.7%","0.2%","N","N","N","N","N","58,516","3.3%","2.6%","0.8%","0.0%","N","N","N","N","N","56,752","5.9%","2.3%","0.0%","0.0%","N","N","N","N","N","53,405","5.5%","3.1%","0.2%","0.0%","N","N","N","N","N","82,562","3.2%","3.3%","0.5%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Two or more races","1,224,710","2.6%","1.9%","0.7%","0.1%","59,980","2.0%","1.0%","0.7%","0.0%","90,045","2.0%","2.0%","0.4%","0.1%","37,611","3.8%","3.3%","0.3%","0.0%","48,433","4.2%","4.7%","1.5%","0.0%","55,334","2.7%","1.0%","0.2%","0.1%","7,746","0.1%","4.9%","0.0%","4.2%","73,494","3.5%","1.2%","0.7%","0.0%","117,896","4.1%","1.9%","0.6%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Hispanic or Latino origin (of any race)","3,171,789","3.0%","1.9%","0.8%","0.1%","85,469","2.2%","1.2%","0.6%","0.0%","178,778","2.7%","1.9%","0.7%","0.1%","122,117","4.9%","1.9%","0.3%","0.0%","148,025","4.5%","2.6%","0.8%","0.0%","86,679","2.3%","2.2%","0.4%","0.1%","69,936","5.0%","3.3%","0.5%","0.5%","130,648","4.7%","1.8%","0.7%","0.0%","325,779","4.1%","2.8%","0.5%","0.3%","65,669","1.9%","1.8%","1.0%","0.0%","71,993","2.9%","0.4%","0.4%","0.6%","65,600","7.4%","3.3%","1.9%","1.4%"
"        White alone, not Hispanic or Latino","17,726","7.2%","1.3%","3.1%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native","3,119,262","3.0%","1.9%","0.8%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","296,377","4.0%","2.9%","0.6%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Foreign born","84,177","3.4%","2.7%","1.1%","2.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","36,345","4.6%","2.5%","0.0%","1.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Naturalized U.S. citizen","44,517","2.3%","1.8%","0.8%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","19,066","3.4%","2.0%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Not a U.S. citizen","39,660","4.7%","3.6%","1.4%","5.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","17,279","6.0%","3.0%","0.0%","2.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","2,818,405","2.8%","1.9%","0.8%","0.1%","N","N","N","N","N","159,581","2.5%","1.9%","0.7%","0.1%","N","N","N","N","N","133,265","4.4%","2.6%","0.9%","0.0%","79,406","1.9%","2.0%","0.4%","0.1%","N","N","N","N","N","114,297","4.3%","1.7%","0.7%","0.0%","294,757","3.9%","3.1%","0.5%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Never married","1,171,468","3.5%","2.7%","1.0%","0.1%","N","N","N","N","N","68,373","3.3%","2.7%","0.9%","0.2%","N","N","N","N","N","53,590","6.7%","3.8%","0.7%","0.0%","31,102","2.0%","2.7%","0.6%","0.0%","N","N","N","N","N","48,926","6.5%","3.1%","1.4%","0.0%","140,418","4.9%","4.6%","0.9%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Now married, except separated","978,293","2.0%","0.8%","0.6%","0.2%","N","N","N","N","N","50,003","1.8%","1.0%","0.9%","0.1%","N","N","N","N","N","43,536","1.6%","1.9%","0.9%","0.0%","29,992","1.7%","1.2%","0.0%","0.2%","N","N","N","N","N","38,265","2.7%","1.0%","0.2%","0.0%","85,155","2.7%","1.2%","0.1%","0.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Divorced or separated","454,373","2.7%","2.3%","0.7%","0.1%","N","N","N","N","N","29,392","1.9%","2.2%","0.1%","0.0%","N","N","N","N","N","26,229","5.4%","2.1%","0.7%","0.0%","12,020","1.6%","3.2%","1.1%","0.0%","N","N","N","N","N","17,363","2.6%","0.2%","0.6%","0.0%","43,097","3.8%","1.9%","0.2%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Widowed","214,271","2.2%","1.2%","0.5%","0.0%","N","N","N","N","N","11,813","2.1%","0.0%","0.0%","0.0%","N","N","N","N","N","9,910","1.7%","0.7%","2.0%","0.0%","6,292","2.8%","0.0%","0.0%","0.0%","N","N","N","N","N","9,743","2.8%","0.4%","0.0%","0.0%","26,087","2.6%","3.7%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","2,404,438","2.5%","1.7%","0.8%","0.1%","N","N","N","N","N","137,284","2.1%","1.4%","0.8%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","97,341","4.0%","1.8%","0.7%","0.0%","253,344","3.7%","3.0%","0.5%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Less than high school graduate","440,567","2.3%","1.1%","0.6%","0.1%","N","N","N","N","N","20,618","1.4%","0.0%","1.3%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","19,559","4.8%","3.4%","0.0%","0.0%","35,643","3.7%","2.5%","0.0%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        High school graduate (includes equivalency)","671,662","2.7%","1.7%","0.8%","0.1%","N","N","N","N","N","34,279","2.7%","1.0%","0.8%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","28,628","5.7%","2.2%","0.2%","0.0%","52,851","4.5%","1.7%","0.4%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some college or associate's degree","574,490","2.4%","1.9%","0.7%","0.2%","N","N","N","N","N","39,038","1.9%","2.5%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","21,668","3.3%","1.2%","0.8%","0.0%","53,681","2.6%","2.5%","0.1%","0.8%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree","503,506","2.4%","2.1%","0.9%","0.1%","N","N","N","N","N","30,232","2.7%","1.2%","0.4%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","19,333","1.0%","0.6%","0.7%","0.0%","68,930","2.9%","4.9%","1.0%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Graduate or professional degree","214,213","3.2%","1.9%","1.1%","0.2%","N","N","N","N","N","13,117","0.5%","2.1%","3.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","8,153","5.0%","1.3%","3.6%","0.0%","42,239","5.4%","3.0%","0.9%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","2,818,405","2.8%","1.9%","0.8%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","294,757","3.9%","3.1%","0.5%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $1 to $9,999 or loss","678,971","2.6%","2.0%","0.9%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","67,412","3.9%","4.0%","0.8%","0.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $10,000 to $14,999","367,680","2.3%","1.4%","0.7%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","30,058","5.5%","2.3%","0.0%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $15,000 to $24,999","520,527","3.0%","2.2%","0.6%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","49,685","3.4%","5.5%","0.4%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $25,000 to $34,999","255,022","2.2%","1.6%","1.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","26,872","4.1%","3.4%","0.9%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $35,000 to $49,999","174,980","2.2%","1.5%","0.5%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","22,488","2.1%","1.4%","0.7%","1.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $50,000 to $64,999","83,834","1.8%","0.8%","0.8%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","14,705","1.6%","0.8%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $65,000 to $74,999","25,689","2.5%","2.1%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,248","1.0%","0.0%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        $75,000 or more","99,668","3.8%","1.8%","0.7%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","22,004","5.4%","1.9%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Median income (dollars)","15,823","15,907","16,012","14,493","19,839","N","N","N","N","N","17,076","16,030","22,008","12,776","-","16,526","18,364","8,088","16,798","-","19,517","16,137","19,730","12,429","-","23,382","16,668","17,083","38,497","-","12,840","9,939","5,461","-","38,029","N","N","N","N","N","18,732","16,570","17,573","15,300","9,721","N","N","N","N","N","17,916","16,699","21,280","8,607","23,724","18,877","29,426","16,075","2,500-","-"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
